weapon1	weapon2	weapon3	weapon4
s	s	s	s
ranged/carbine/carbine_dh17.iff	melee/axe/axe_heavy_duty.iff	ranged/grenade/grenade_cryoban.iff	
ranged/carbine/carbine_dh17_black.iff	melee/axe/axe_vibroaxe.iff	ranged/grenade/grenade_fragmentation.iff	
ranged/carbine/carbine_dh17_snubnose.iff	melee/knife/knife_survival.iff	ranged/grenade/grenade_glop.iff	
ranged/pistol/pistol_dh17.iff	melee/knife/knife_vibroblade.iff	ranged/grenade/grenade_cryoban.iff	
ranged/pistol/pistol_dl44.iff	melee/polearm/lance_controllerfp.iff	ranged/grenade/grenade_fragmentation.iff	
ranged/pistol/pistol_dl44_metal.iff	melee/polearm/lance_staff_metal.iff	ranged/grenade/grenade_glop.iff	
ranged/pistol/pistol_srcombat.iff	melee/polearm/lance_vibrolance.iff	ranged/grenade/grenade_cryoban.iff	
ranged/pistol/pistol_striker.iff	melee/polearm/polearm_vibro_axe.iff	ranged/grenade/grenade_fragmentation.iff	
ranged/rifle/rifle_dlt20a.iff	melee/sword/sword_01.iff	ranged/grenade/grenade_glop.iff	
ranged/rifle/rifle_laser.iff	melee/sword/sword_02.iff	ranged/grenade/grenade_cryoban.iff	
ranged/rifle/rifle_sg82.iff	melee/sword/sword_blade_ryyk.iff	ranged/grenade/grenade_fragmentation.iff	
ranged/rifle/rifle_t21.iff	melee/sword/sword_rantok.iff	ranged/grenade/grenade_glop.iff	
