weapon1	weapon2	weapon3	weapon4
s	s	s	s
melee/axe/axe_heavy_duty.iff			
melee/axe/axe_vibroaxe.iff			
melee/knife/knife_survival.iff			
melee/knife/knife_vibroblade.iff			
melee/polearm/lance_staff_metal.iff			
melee/polearm/lance_vibrolance.iff			
melee/polearm/polearm_vibro_axe.iff			
melee/special/vibroknuckler.iff			
melee/sword/sword_blade_ryyk.iff			
melee/polearm/polearm_vibro_axe.iff			
melee/axe/axe_heavy_duty.iff			
melee/axe/axe_vibroaxe.iff			
melee/knife/knife_survival.iff			
melee/knife/knife_vibroblade.iff			
melee/baton/baton_gaderiffi.iff
melee/baton/baton_stun.iff
melee/knife/knife_survival.iff
melee/knife/knife_vibroblade.iff
melee/polearm/lance_controllerfp.iff
melee/polearm/lance_staff_metal.iff
melee/polearm/lance_vibrolance.iff
melee/polearm/polearm_vibro_axe.iff
