droid_effects	strComments	ALL_REPAIRS	HEAVY_REPAIRS	MEDIUM_REPAIRS	LIGHT_REPAIRS
s	c	s	s	s	s
repair1		clienteffect/space_command/shp_astromech_effects_01.cef	evil_raider_hutt_medium	evil_raider_hutt_light	evil_raider_hutt_light
repair2		clienteffect/space_command/shp_astromech_effects_02.cef	evil_raider_hutt_medium_two	evil_raider_hutt_light_two	evil_raider_hutt_light_two
repair3		clienteffect/space_command/shp_astromech_effects_03.cef	evil_raider_hutt_heavy	evil_raider_hutt_medium	evil_raider_hutt_medium
repair4		clienteffect/space_command/shp_astromech_effects_04.cef	evil_raider_hutt_heavy_two	evil_raider_hutt_medium_two	evil_raider_hutt_medium_two
repair5		clienteffect/space_command/shp_astromech_effects_05.cef		evil_raider_hutt_heavy	
repair6		clienteffect/space_command/shp_astromech_trailing_effects_03.cef		evil_raider_hutt_heavy_two	
repair7		clienteffect/space_command/shp_astromech_trailing_effects_04.cef			
repair8		clienteffect/space_command/shp_astromech_trailing_effects_05.cef			
repair9					
