convoEntry	convoParent	convoType	action	data1	data2	convoFile	convoText	gatingObjvar	gatingObjvarCondition	gatingObjvarValue1	gatingObjvarValue2	gatingFaction	gatingFactionCondition	gatingFactionValue1	gatingFactionValue2	gatingObject	destroyGatingObject	gatingPvpFaction
s[required]	s	s[required]	s	s	i	s	s	s	s	i[0]	i[0]	s	s	f[0.0]	f[0.0]	s	i[0]	s
m2_lydasaved		dialogStart				theme_park/alderaan/act2/rebel_missions	m2_lydasaved	coa2.progress	==	8		Rebel	>=	0				
m2_lydasaved_info1	m2_lydasaved	response				theme_park/alderaan/act2/rebel_missions	m2_lydasaved_info1											
m2_lydasaved_info1		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m2_lydasaved_info1_response											
m2_lydasaved_info1		responseAction	remove	m2_lydasaved_info1														
m2_lydasaved_info1		responseAction	add	m2_lydasaved_info1a														
m2_lydasaved_info1a		response				theme_park/alderaan/act2/rebel_missions	m2_lydasaved_info1a											
m2_lydasaved_info1a		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m2_lydasaved_info1a_response											
m2_lydasaved_info1a		responseAction	remove	m2_lydasaved_info1a														
m2_lydasaved_info2	m2_lydasaved	response				theme_park/alderaan/act2/rebel_missions	m2_lydasaved_info2											
m2_lydasaved_info2		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m2_lydasaved_info2_response											
m2_lydasaved_info2		responseAction	remove	m2_lydasaved_info2														
m2_lydasaved_info2		responseAction	add	m2_lydasaved_info2a														
m2_lydasaved_info2a		response				theme_park/alderaan/act2/rebel_missions	m2_lydasaved_info2a											
m2_lydasaved_info2a		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m2_lydasaved_info2a_response											
m2_lydasaved_info2a		responseAction	remove	m2_lydasaved_info2a			
m2_lydasaved_done	m2_lydasaved	response				theme_park/alderaan/act2/rebel_missions	m2_lydasaved_done
m2_lydasaved_done		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m2_lydasaved_done_response
m2_lydasaved_done		responseAction	messageNpc	messageCreateReturnWaypoint		theme_park/alderaan/act2/rebel_missions	
m2_lydasaved_done		responseAction	end				
