convoEntry	convoParent	convoType	action	data1	data2	convoFile	convoText	gatingObjvar	gatingObjvarCondition	gatingObjvarValue1	gatingObjvarValue2	gatingFaction	gatingFactionCondition	gatingFactionValue1	gatingFactionValue2	gatingObject	destroyGatingObject	gatingPvpFaction
s[required]	s	s[required]	s	s	i	s	s	s	s	i[0]	i[0]	s	s	f[0.0]	f[0.0]	s	i[0]	s
rebel_response		dialogStart				theme_park/alderaan/act2/imperial_missions	commander_rebel_response											Rebel
rebel_response2		dialogStart				theme_park/alderaan/act2/imperial_missions	commander_rebel_response					Imperial	<	0				
m5_finish		dialogStart				theme_park/alderaan/act2/imperial_missions	m5_finish	coa2.progress	==	-10		Imperial	>=	0				Imperial
m5_active		dialogStart				theme_park/alderaan/act2/imperial_missions	m5_active	coa2.progress	==	-9		Imperial	>=	0				
m5_active_working	m5_active	response				theme_park/alderaan/act2/imperial_missions	m5_active_working											
m5_active_working		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m5_active_working_response											
m5_active_working		responseAction	end															
m5_active_restart	m5_active	response				theme_park/alderaan/act2/imperial_missions	m5_active_restart											
m5_active_restart		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m5_active_restart_response											
m5_active_restart		responseAction	messageNpc	messageStartMission	5													
m5_active_restart		responseAction	end															
m5_active_abort	m5_active	response				theme_park/alderaan/act2/imperial_missions	m5_active_abort											
m5_active_abort		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m5_active_abort_response											
m5_active_abort		responseAction	setObjvar	coa2.progress	-8													
m5_active_abort		responseAction	messageNpc	messageAbortMission	5													
m5_active_abort		responseAction	end															
m5_begin_declared		dialogStart				theme_park/alderaan/act2/imperial_missions	m5_begin_declared	coa2.progress	==	-8		Imperial	>=	0				Imperial
m5_begin_deadeye	m5_begin_declared	response				theme_park/alderaan/act2/imperial_missions	m5_begin_deadeye											
m5_begin_deadeye		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m5_begin_deadeye_response											
m5_begin_deadeye		responseAction	remove	m5_begin_deadeye														
m5_begin_drall	m5_begin_declared	response				theme_park/alderaan/act2/imperial_missions	m5_begin_drall											
m5_begin_drall		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m5_begin_drall_response											
m5_begin_drall		responseAction	remove	m5_begin_drall														
m5_begin_vacca	m5_begin_declared	response				theme_park/alderaan/act2/imperial_missions	m5_begin_vacca											
m5_begin_vacca		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m5_begin_vacca_response											
m5_begin_vacca		responseAction	remove	m5_begin_vacca														
m5_begin_message	m5_begin_declared	response				theme_park/alderaan/act2/imperial_missions	m5_begin_message											
m5_begin_message		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m5_begin_message_response											
m5_begin_message		responseAction	remove	m5_begin_message														
m5_begin_yes	m5_begin_declared	response				theme_park/alderaan/act2/imperial_missions	m5_begin_yes											
m5_begin_yes		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m5_begin_yes_response							
m5_begin_yes		responseAction	messageNpc	messageStartMission	5									
m5_begin_yes		responseAction	setObjvar	coa2.progress	-9									
m5_begin_yes		responseAction	end											
m5_begin_no	m5_begin_declared	response				theme_park/alderaan/act2/imperial_missions	m5_begin_no							
m5_begin_no		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m5_begin_no_response							
m5_begin_no		responseAction	end											
m5_begin_undeclared		dialogStart				theme_park/alderaan/act2/imperial_missions	m5_begin_undeclared	coa2.progress	==	-8		Imperial	>=	0
m4_finish		dialogStart				theme_park/alderaan/act2/imperial_missions	m4_finish	coa2.progress	==	-7		Imperial	>=	0
m4_finish		dialogAction	setObjvar	coa2.progress	-8									
m4_finish		dialogAction	rewardFaction	Imperial	200									
m4_finish_incomplete		dialogStart				theme_park/alderaan/act2/imperial_missions	m4_finish_incomplete	coa2.progress	>	-7		Imperial	>=	0
