convoEntry	convoParent	convoType	action	data1	data2	convoFile	convoText	gatingObjvar	gatingObjvarCondition	gatingObjvarValue1	gatingObjvarValue2	gatingFaction	gatingFactionCondition	gatingFactionValue1	gatingFactionValue2	gatingObject	destroyGatingObject	gatingPvpFaction	gatingFunction
s[required]	s	s[required]	s	s	i	s	s	s	s	i[0]	i[0]	s	s	f[0.0]	f[0.0]	s	i[0]	s	s
m1_informant		dialogStart				theme_park/alderaan/act2/imperial_missions	m1_informant	coa2.progress	==	-1		Imperial	>=	0					playerOnMission
m1_informant_report	m1_informant	response				theme_park/alderaan/act2/imperial_missions	m1_informant_report												
m1_informant_report		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m1_informant_report_response												
m1_informant_report		responseAction	messageNpc	messageStartMission	2														
m1_informant_report		responseAction	setObjvar	coa2.progress	-2														
m1_informant_report		responseAction	end																
m1_informant_reprimand	m1_informant	response				theme_park/alderaan/act2/imperial_missions	m1_informant_reprimand												
m1_informant_reprimand		responseAction	speak			theme_park/alderaan/act2/imperial_missions	m1_informant_reprimand_response												
m1_informant_reprimand		responseAction	remove	m1_informant_reprimand															
m1_informant_invalid		dialogStart				theme_park/alderaan/act2/imperial_missions	m1_informant_invalid												
