convoEntry	convoParent	convoType	action	data1	data2	convoFile	convoText	gatingObjvar	gatingObjvarCondition	gatingObjvarValue1	gatingObjvarValue2	gatingFaction	gatingFactionCondition	gatingFactionValue1	gatingFactionValue2	gatingObject	destroyGatingObject	gatingPvpFaction
s[required]	s	s[required]	s	s	i	s	s	s	s	i[0]	i[0]	s	s	f[0.0]	f[0.0]	s	i[0]	s
imperial_response		dialogStart				theme_park/alderaan/act2/rebel_missions	commander_imperial_response											Imperial
imperial_response2		dialogStart				theme_park/alderaan/act2/rebel_missions	commander_imperial_response					Rebel	<	0				
m5_finish		dialogStart				theme_park/alderaan/act2/rebel_missions	m5_finish	coa2.progress	==	14		Rebel	>=	0				Rebel
m5_active		dialogStart				theme_park/alderaan/act2/rebel_missions	m5_active	coa2.progress	==	13		Rebel	>=	0				
m5_active_working	m5_active	response				theme_park/alderaan/act2/rebel_missions	m5_active_working											
m5_active_working		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m5_active_working_response											
m5_active_working		responseAction	end															
m5_active_abort	m5_active	response				theme_park/alderaan/act2/rebel_missions	m5_active_abort											
m5_active_abort		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m5_active_abort_response											
m5_active_abort		responseAction	setObjvar	coa2.progress	12													
m5_active_abort		responseAction	messageNpc	messageAbortMission	5													
m5_active_abort		responseAction	end															
m5_active_restart	m5_active	response				theme_park/alderaan/act2/rebel_missions	m5_active_restart											
m5_active_restart		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m5_active_restart_response											
m5_active_restart		responseAction	messageNpc	messageStartMission	5									
m3_active_restart		responseAction	end											
m5_refused		dialogStart				theme_park/alderaan/act2/rebel_missions	m5_refused	coa2.progress	==	12		Rebel	>=	0
m5_refused_yes	m5_refused	response				theme_park/alderaan/act2/rebel_missions	m5_refused_yes							
m5_refused_yes		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m5_refused_yes_response							
m5_refused_yes		responseAction	messageNpc	messageStartMission	5									
m5_refused_yes		responseAction	setObjvar	coa2.progress	13									
m5_refused_yes		responseAction	giveItem	object/tangible/theme_park/alderaan/act2/interface_override_device.iff										
m5_refused_yes		responseAction	giveItem	object/tangible/encoded_disk/imperial_slicer_disk.iff										
m5_refused_yes		responseAction	end											
m5_refused_info1	m5_refused	response				theme_park/alderaan/act2/rebel_missions	m5_refused_info1							
m5_refused_info1		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m5_refused_info1_response							
m5_refused_info1		responseAction	remove	m5_refused_info1										
m5_refused_no	m5_refused	response				theme_park/alderaan/act2/rebel_missions	m5_refused_no							
m5_refused_no		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m5_refused_no_response							
m5_refused_no		responseAction	end											
m5_begin		dialogStart				theme_park/alderaan/act2/rebel_missions	m5_begin	coa2.progress	==	11		Rebel	>=	0				Rebel
m5_begin_yes	m5_begin	response				theme_park/alderaan/act2/rebel_missions	m5_begin_yes											
m5_begin_yes		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m5_begin_yes_response											
m5_begin_yes		responseAction	messageNpc	messageStartMission	5													
m5_begin_yes		responseAction	setObjvar	coa2.progress	13													
m5_begin_yes		responseAction	giveItem	object/tangible/theme_park/alderaan/act2/interface_override_device.iff														
m5_begin_yes		responseAction	giveItem	object/tangible/encoded_disk/imperial_slicer_disk.iff														
m5_begin_yes		responseAction	end															
m5_begin_info1	m5_begin	response				theme_park/alderaan/act2/rebel_missions	m5_begin_info1											
m5_begin_info1		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m5_begin_info1_response											
m5_begin_info1		responseAction	remove	m5_begin_info1														
m5_begin_no	m5_begin	response				theme_park/alderaan/act2/rebel_missions	m5_begin_no											
m5_begin_no		responseAction	speak			theme_park/alderaan/act2/rebel_missions	m5_begin_no_response											
m5_begin_no		responseAction	setObjvar	coa2.progress	12													
m5_begin_no		responseAction	end															
m5_begin_undeclared		dialogStart				theme_park/alderaan/act2/rebel_missions	m5_begin_undeclared	coa2.progress	==	11		Rebel	>=	0				
m4_finish		dialogStart				theme_park/alderaan/act2/rebel_missions	m4_finish	coa2.progress	==	10		Rebel	>=	0
m4_finish		dialogAction	setObjvar	coa2.progress	11									
m4_finish		dialogAction	rewardFaction	Rebel	200									
m4_finish_incomplete		dialogStart				theme_park/alderaan/act2/rebel_missions	m4_finish_incomplete	coa2.progress	<	10		Rebel	>=	0
