TEMPLATE	FINISHED	QUANTITY	FILLING	BUFF_NAME	PET_ONLY	COMMENTS
s	s	i[0]	i[0]	s	i[0]	c
NOVICE ARTISAN						Value - 1
food/crafted/dessert_bofa_treat.iff	*	10	10	dessert_bofa_treat		Attribute Modifier
food/crafted/dish_travel_biscuits.iff	*	10	8	dish_travel_biscuits		Skill Mod: Slope Move
food/crafted/drink_spiced_tea.iff	*	10	8	drink_spiced_tea		Attribute Modifier
food/crafted/dish_meat_jerky.iff	*	10	5	dish_meat_jerky		Attribute Modifier
food/crafted/drink_simple_tea.iff	*	10	10	drink_simple_tea		Attribute Modifier
DOMESTIC ARTS I						Value - 5
component/food/ingredient_carbosyrup.iff	*	10	10			Component
food/crafted/dessert_blob_candy.iff	*	10	10	dessert_blob_candy		Attribute Modifier
food/crafted/dish_exo_protein_wafers.iff	*	10	5	dish_exo_protein_wafers		New Mod (Script Var: Mitigate Dmg)
food/crafted/drink_aitha.iff	*	10	15	drink_aitha		New Mod (Skill Mod: Heal Eff)
DOMESTIC ARTS II						Value - 5
component/food/ingredient_ball_of_dough.iff	*	10	10			Component
food/crafted/dish_rations.iff	*	10	15	dish_rations		New Mod (Instant: Burst Run)
food/crafted/dish_crispic.iff	*	10	15	dish_crispic		Skill Mod: Accuracy
food/crafted/drink_caf.iff	*	10	15	drink_caf		Attribute Modifier
DOMESTIC ARTS III						Value - 5
food/crafted/dessert_pkneb.iff	*	10	15	dessert_pkneb		New Mod (Skill Mod: Cure Eff)
food/crafted/dish_kanali_wafers.iff	*	10	15	dish_kanali_wafers		Attribute Modifier
food/crafted/drink_ruby_bliel.iff	*	10	20	drink_ruby_bliel		New Mod (Script Var: Stim Roundtime)
food/crafted/drink_jawa_beer.iff	*	10	20	drink_jawa_beer		New Mod (Skill Mod: Mask Scent)
DOMESTIC ARTS IV						Value - 5
food/crafted/drink_jaar.iff	*	10	60	drink_jaar		New Mod (Instant: Cure Poison)
food/crafted/drink_starshine_surprise.iff	*	10	30	drink_starshine_surprise		Script Var: Incap Recover
food/crafted/dish_dustcrepe.iff	*	10	60	dish_dustcrepe		New Mod (Instant: Cure Disease)
food/crafted/dish_teltier_noodles.iff	*	10	15	dish_teltier_noodles		Attribute Modifier
food/crafted/crafted_bantha_surprise.iff		35	35	lifeday_bantha_surprise		Attribute Modifier
NOVICE CHEF						Value - 8
food/crafted/dish_soypro.iff	*	10	10			Component
food/crafted/dessert_air_cake.iff	*	10	10	dessert_air_cake		New Mod (Script Var: Dodge Atk)
food/crafted/dessert_almond_kwevvu_crisp_munchies.iff	*	10	20	dessert_almond_kwevvu_crisp_munchies		New Mod (Skill Mod: Tame Bonus)
food/crafted/dessert_blap_biscuit.iff	*	10	20	dessert_blap_biscuit		New Mod (Pet Attrib Mod)
food/crafted/drink_alcohol.iff	*	10	10			Component
food/crafted/dish_kommerken_steak.iff		10	10	treasure_forage		New Mod (Treasure Map Foraging)
food/crafted/dish_wastril_bread.iff						
food/crafted/drink_charde.iff						
DISHES I						Value - 10
food/crafted/dish_protato.iff	*	10	10			Component
food/crafted/dish_synthsteak.iff	*	10	25	dish_synthsteak		New Mod (Script Var: Mitigate Dmg)
food/crafted/dish_cho_nor_hoola.iff	*	10	15	dish_cho_nor_hoola		New Mod (Skill Mod: Poison Resist)
food/crafted/dish_blood_chowder.iff	*	10	15	dish_blood_chowder		New Mod (Skill Mod: Bleed Resist)
food/crafted/dish_stewed_gwouch.iff						
food/crafted/dish_fried_endwa.iff						
DISHES II						Value - 15
food/crafted/dish_veghash.iff	*	8	15	dish_veghash		Skill Mod: Creature Harvest
food/crafted/dish_karkan_ribenes.iff	*	10	75	dish_karkan_ribenes		Attribute Modifier
food/crafted/dish_trimpian.iff	*	10	15	dish_trimpian		New Mod (Skill Mod: Fire Resist)
food/crafted/dish_ormachek.iff	*	10	75	dish_ormachek		New Mod (Script Var: XP Increase)
food/crafted/dish_fire_stew.iff						
food/crafted/dish_puk.iff						
DISHES III						Value - 20
food/crafted/dish_havla.iff	*	10	30	dish_havla		New Mod (Skill Mod: Disease Resist)
food/crafted/dish_gruuvan_shaal.iff	*	10	30	dish_gruuvan_shaal		Attribute Modifier
food/crafted/dish_scrimpi.iff	*	10	30	dish_scrimpi		Attribute Modifier
food/crafted/dish_ahrisa.iff	*	10	30	dish_ahrisa		Attribute Modifier
food/crafted/dish_patot_panak.iff						
food/crafted/dish_ramorrean_capanata.iff						
DISHES IV						Value - 25
food/crafted/dish_rakririan_burnout_sauce.iff	*	10	25	dish_rakririan_burnout_sauce		New Mod (Skill Mod: Unarmed Dmg)
food/crafted/dish_vegeparsine.iff	*	10	25	dish_vegeparsine		New Mod (Skill Mod: Melee Def)
food/crafted/dish_bivoli_tempari.iff	*	10	25	dish_bivoli_tempari		New Mod (Skill Mod: Buffing Eff)
food/crafted/dish_terratta.iff	*	10	25	dish_terratta		New Mod (Skill Mod: Camouflage)
food/crafted/dish_braised_canron.iff						
food/crafted/dish_xermaauc.iff						
DESSERTS I						Value - 10
food/crafted/dessert_bantha_butter.iff	*	10	10			Component
food/crafted/dessert_pastebread.iff	*	10	20	dessert_pastebread		New Mod (Pet Attrib Mod)
food/crafted/dessert_won_won.iff	*	10	35	dessert_won_won		Attribute Modifier
food/crafted/dessert_chandad.iff	*	10	15	dessert_chandad		Skill Mod: Surveying
food/crafted/dessert_para_roll.iff						
food/crafted/dessert_puffcake.iff						
DESSERTS II						Value - 15
food/crafted/dessert_sweet_cake_mix.iff	*	10	10			Component
food/crafted/dessert_parwan_nutricake.iff	*	10	25	dessert_parwan_nutricake		New Mod (Instant: Burst Run)
food/crafted/dessert_pyollian_cake.iff	*	8	15	dessert_pyollian_cake		Script Var: Craft Bonus
