intLevel	intMinReward	intMaxReward	intGCWPoints
i	i	i	i
0	241	300	5
1	256	320	5
2	275	344	5
3	298	372	5
4	325	406	5
5	356	445	5
6	390	488	5
7	429	536	5
8	471	589	5
9	518	647	5
10	568	710	5
11	621	777	10
12	678	848	10
13	739	924	10
14	804	1005	10
15	871	1089	10
16	942	1178	10
17	1017	1271	10
18	1095	1368	10
19	1175	1469	10
20	1259	1574	10
21	1346	1683	15
22	1436	1795	15
23	1528	1911	15
24	1624	2030	15
25	1722	2152	15
26	1822	2278	15
27	1925	2406	15
28	2030	2538	15
29	2137	2672	15
30	2247	2809	15
31	2358	2948	20
32	2471	3089	20
33	2587	3233	20
34	2703	3379	20
35	2822	3527	20
36	2941	3677	20
37	3062	3828	20
38	3184	3980	20
39	3307	4134	20
40	3431	4289	20
41	3556	4446	25
42	3682	4602	25
43	3808	4760	25
44	3934	4918	25
45	4061	5077	25
46	4188	5235	25
47	4315	5394	25
48	4442	5553	25
49	4569	5711	25
50	4695	5869	25
51	4821	6026	30
52	4946	6183	30
53	5070	6338	30
54	5194	6493	30
55	5317	6646	30
56	5438	6798	30
57	5559	6948	30
58	5678	7097	30
59	5795	7244	30
60	5911	7389	30
61	6025	7532	35
62	6138	7672	35
63	6248	7810	35
64	6356	7946	35
65	6463	8079	35
66	6567	8209	35
67	6668	8336	35
68	6768	8460	35
69	6864	8580	35
70	6958	8698	35
71	7049	8812	40
72	7138	8922	40
73	7223	9029	40
74	7305	9132	40
75	7385	9231	40
76	7461	9326	40
77	7533	9417	40
78	7603	9504	40
79	7669	9586	40
80	7731	9664	40
81	7790	9738	50
82	7846	9808	50
83	7898	9872	50
84	7946	9932	50
85	7990	9988	50
86	8031	10038	50
87	8067	10084	50
88	8100	10125	50
89	8129	10161	50
90	8154	10193	50
91	8175	10193	100
92	8193	10193	100
93	8207	10193	100
94	8217	10193	100
95	8224	10193	100
96	8227	10193	100
97	8227	10193	100
98	8227	10193	100
99	8227	10193	100
100	8227	10193	100
