STRUCTURE	X	Y	Z	CELL	HEADING	TERMINAL
s	f[0]	f[0]	f[0]	s[WORLD_DELTA]	f[0]	s
object/building/faction_perk/hq/hq_s01_rebel.iff	4.03		-0.16	room1	0	object/tangible/terminal/terminal_mission_rebel.iff
object/building/faction_perk/hq/hq_s01_rebel_pvp.iff	4.03		-0.16	room1	0	object/tangible/terminal/terminal_mission_rebel.iff
object/building/faction_perk/hq/hq_s02_rebel.iff	9.13		-6.98	room3	-90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s02_rebel.iff	9.13		-2.29	room3	-90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s02_rebel.iff	0.25		-6.45	room1	-90	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s02_rebel.iff	-9.25		-6.45	room1	90	object/tangible/terminal/terminal_mission_rebel.iff
object/building/faction_perk/hq/hq_s02_rebel_pvp.iff	9.13		-6.98	room3	-90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s02_rebel_pvp.iff	9.13		-2.29	room3	-90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s02_rebel_pvp.iff	0.25		-6.45	room1	-90	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s02_rebel_pvp.iff	-9.25		-6.45	room1	90	object/tangible/terminal/terminal_mission_rebel.iff
object/building/faction_perk/hq/hq_s03_rebel.iff	4.75		2.13	foyer	0	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s03_rebel.iff	-1.57		2.13	foyer	0	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s03_rebel.iff	-4.71		24.4	bunker	90	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s03_rebel.iff	7.95		24.4	bunker	-90	object/tangible/terminal/terminal_mission_rebel.iff
object/building/faction_perk/hq/hq_s03_rebel_pvp.iff	4.75		2.13	foyer	0	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s03_rebel_pvp.iff	-1.57		2.13	foyer	0	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s03_rebel_pvp.iff	-4.71		24.4	bunker	90	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s03_rebel_pvp.iff	7.95		24.4	bunker	-90	object/tangible/terminal/terminal_mission_rebel.iff
object/building/faction_perk/hq/hq_s04_rebel.iff	18.61		14.59	foyer	-90	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s04_rebel.iff	18.6		-0.76	foyer	-90	object/tangible/terminal/terminal_mission_rebel.iff
object/building/faction_perk/hq/hq_s04_rebel.iff	-7.1		0.52	room2	90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s04_rebel.iff	-7.1		-7.05	room2	90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s04_rebel.iff	-0.8		-13.7	room2	0	object/tangible/terminal/terminal_insurance.iff
object/building/faction_perk/hq/hq_s04_rebel_pvp.iff	18.61		14.59	foyer	-90	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s04_rebel_pvp.iff	18.6		-0.76	foyer	-90	object/tangible/terminal/terminal_mission_rebel.iff
object/building/faction_perk/hq/hq_s04_rebel_pvp.iff	-7.1		0.52	room2	90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s04_rebel_pvp.iff	-7.1		-7.05	room2	90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s04_rebel_pvp.iff	-0.8		-13.7	room2	0	object/tangible/terminal/terminal_insurance.iff
object/building/faction_perk/hq/hq_s05_rebel.iff	-14.78		20.16	meeting1	-90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s05_rebel.iff	-21.45		20.16	meeting1	90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s05_rebel.iff	-18.3		22.1	meeting1	179	object/tangible/terminal/terminal_insurance.iff
object/building/faction_perk/hq/hq_s05_rebel.iff	16.13		-23.54	jailcell1	0	object/tangible/terminal/terminal_cloning.iff
object/building/faction_perk/hq/hq_s05_rebel.iff	13.19		-23.5	jailcell1	0	object/tangible/terminal/terminal_cloning.iff
object/building/faction_perk/hq/hq_s05_rebel.iff	0.17		0.89	hall2	179	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s05_rebel.iff	6.38		0.89	hall2	179	object/tangible/terminal/terminal_mission_rebel.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff	-14.78		20.16	meeting1	-90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff	-21.45		20.16	meeting1	90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff	-18.3		22.1	meeting1	179	object/tangible/terminal/terminal_insurance.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff	16.13		-23.54	jailcell1	0	object/tangible/terminal/terminal_cloning.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff	13.19		-23.5	jailcell1	0	object/tangible/terminal/terminal_cloning.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff	0.17		0.89	hall2	179	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff	6.38		0.89	hall2	179	object/tangible/terminal/terminal_mission_rebel.iff
