name	x	y	z	radius	density	facingPercent	facingA	facingR	facingG	facingB	facingRampA	facingRampR	facingRampG	facingRampB	orientedA	orientedR	orientedG	orientedB	orientedRampA	orientedRampR	orientedRampG	orientedRampB	ambientSound	ambientSoundVolume	cameraJitter	effectReactor	effectEngine	effectShields	lightningFrequency	lightningDurationMax	lightningDamageMin	lightningDamageMax	lightningAppearace	lightningA	lightningR	lightningG	lightningB	lightningRampA	lightningRampR	lightningRampG	lightningRampB	lightningSound	lightningSoundLoop	lightningHitEffectClient	lightningHitEffectServer	environmentalDamageFrequency	environmentalDamage	environmentalDamageEffect	shaderIndex
s	f	f	f	f	f	f[0.5]	f[1]	f	f	f	f[1]	f	f	f	f[1]	f	f	f	f[1]	f	f	f	s	f	f	f	f	f	f	f[1.0]	f	f	s	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	s	s	s	s	f	f	s	i
Lurid Aurora wisp1	-705	903	3119	2300	0.6	0.9	1	0.6	0.4	1	0.75	0.7	0.3	0.5	1	0.8	0.5	1	0.75	0.5	0.2	1	sound/amb_neb_desert_sands_lp.snd	0.3	0	0	0	0	0.2	2	1	10	appearance/pt_nebulae_white_02.ltn	0.2	0.4	0.2	1	0.4	1	0.8	0.9	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
Origin	957	291	4548	1800	0.7	0.8	0.75	0.6	0.4	1	0.5	0.8	0.5	0.5	1	0.8	0.5	1	0.75	0.2	0.1	0.75																											1
Lurid Aurora wisp2	-633	1135	2286	1000	0.3	0.7	1	0.8	1	1	1	0.8	0.8	0.5	1	0.8	0.7	0.7	1	0.8	0.8	0.5	sound/amb_neb_desert_sands_lp.snd	0.3	0	0	0	0	0.2	2	1	10	appearance/pt_nebulae_white_02.ltn	0.2	0.4	0.2	1	0.4	1	0.8	0.9	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
Lurid Aurora wisp3	-1320	1163	1794	2000	0.6	0.7	1	0.8	0.5	0.9	1	1	0.5	0.7	1	0.8	0.5	0.9	1	1	0.5	0.7	sound/amb_neb_desert_sands_lp.snd	0.3	0	0	0	0	0.2	2	1	10	appearance/pt_nebulae_white_02.ltn	0.2	0.4	0.2	1	0.4	1	0.8	0.9	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
Lurid Aurora wisp4	-906	1337	1784	1300	0.6	0.7	1	1	0.5	0.7	1	1	0.3	0.8	1	0.5	0.5	0.3	1	1	0.8	0.7	sound/amb_neb_desert_sands_lp.snd	0.3	0	0	0	0	0.2	2	1	10	appearance/pt_nebulae_white_02.ltn	0.2	0.4	0.2	1	0.4	1	0.8	0.9	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
Lurid Aurora wisp5	-500	1481	1639	2000	0.7	0.7	0.8	0.8	0.9	0.6	1	0.3	0.5	0.9	0.8	0.6	0.9	0.7	1	0.3	0.5	1	sound/amb_neb_desert_sands_lp.snd	0.3	0	0	0	0	0.2	2	1	10	appearance/pt_nebulae_white_02.ltn	0.2	0.4	0.2	1	0.4	1	0.8	0.9	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
Lurid Aurora wisp6	-1942	444	1563	1000	0.9	0.5	1	1	0.6	5	1	0.8	0.2	0.9	1	0.2	0.1	0.6	1	0.4	0.2	0.7	sound/amb_neb_desert_sands_lp.snd	0.3	0	0	0	0	0.2	2	1	10	appearance/pt_nebulae_white_02.ltn	0.2	0.4	0.2	1	0.4	1	0.8	0.9	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
Lurid Aurora main1	-657	1375	2008	1800	0.3	0.5	1	0	0.7	1	1	0.5	0.1	1	1	0	0.7	1	1	0.5	0.1	1	sound/amb_neb_desert_sands_lp.snd	0.3	0	0	0	0	0.2	2	1	10	appearance/pt_nebulae_white_02.ltn	0.2	0.4	0.2	1	0.4	1	0.8	0.9	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
Lurid Aurora wisp7	-1348	739	1699	1300	0.7	0.7	1	0.8	0.3	0.8	1	0.2	0.3	0.8	1	0.6	0.4	0.9	1	0.6	0.6	0.7	sound/amb_neb_desert_sands_lp.snd	0.3	0	0	0	0	0.2	2	1	10	appearance/pt_nebulae_white_02.ltn	0.2	0.4	0.2	1	0.4	1	0.8	0.9	sound/amb_neb_desert_sands_strk.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
