name	x	y	z	radius	density	facingPercent	facingA	facingR	facingG	facingB	facingRampA	facingRampR	facingRampG	facingRampB	orientedA	orientedR	orientedG	orientedB	orientedRampA	orientedRampR	orientedRampG	orientedRampB	ambientSound	ambientSoundVolume	cameraJitter	effectReactor	effectEngine	effectShields	lightningFrequency	lightningDurationMax	lightningDamageMin	lightningDamageMax	lightningAppearace	lightningA	lightningR	lightningG	lightningB	lightningRampA	lightningRampR	lightningRampG	lightningRampB	lightningSound	lightningSoundLoop	lightningHitEffectClient	lightningHitEffectServer	environmentalDamageFrequency	environmentalDamage	environmentalDamageEffect	shaderIndex
s	f	f	f	f	f	f[0.5]	f[1]	f	f	f	f[1]	f	f	f	f[1]	f	f	f	f[1]	f	f	f	s	f	f	f	f	f	f	f[1.0]	f	f	s	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	f[1]	s	s	s	s	f	f	s	i
dantari_main	-1400	-2400	2000	2100	0.5	0.8	0.45	0.2	0.3	0.3	0.3	0.7	0.2	0.8	0.3	0.3	0.3	0.7		0.6	0.45	0.7	sound/wtr_tornado_large_lp.snd	0.5					0.3	2	100	350	appearance/pt_nebulae_white_02.ltn	0.3	0.6	0.3	0.7	0.75	0.8	1	0.9	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
dantari_south	-1800	-2400	1600	1800	0.5	0.8	1	0.2	1	0.3	0.7	0.7	0.2	0.8	0.5	0.3	0.3	0.7		0.8	0.45	0.8	sound/wtr_tornado_large_lp.snd	0.5					0.3	2	100	350	appearance/pt_nebulae_white_02.ltn	0.3	0.6	0.3	0.7	0.75	0.8	1	0.9	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
dantari_north	-1100	-2400	2400	1000	0.5	0.8	0.45	0.2	0.3	0.3	0.7	0.7	0.2	0.8	0.5	0.3	0.3	0.7		0.5	0.3	0.6	sound/wtr_tornado_large_lp.snd	0.5					0.3	2	100	350	appearance/pt_nebulae_white_02.ltn	0.3	0.6	0.3	0.7	0.75	0.8	1	0.9	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
dantari_south_2	-302	-672	1879	2100	0.5	0.8	0.8	0.7	0.3	0.3	0.1	0.7	0.2	0.8	0.4	0.3	0.7	0.7	0.3	0.8	0.7	0.8	sound/wtr_tornado_large_lp.snd	0.5					0.3	2	100	350	appearance/pt_nebulae_white_02.ltn	0.3	0.6	0.3	0.7	0.75	0.8	1	0.9	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
dantari_south_3	-302	-672	1879	1000	0.5	0.8	0.45	0.2	0.3	0.3	0.6	0.7	0.2	0.8	0.4	0.3	0.1	0.7	0.3	0.6	0.1	0.7	sound/wtr_tornado_large_lp.snd	0.5					0.3	2	100	350	appearance/pt_nebulae_white_02.ltn	0.3	0.6	0.3	0.7	0.75	0.8	1	0.9	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
dantari_3	-480	-3311	3123	2100	0.5	0.8	0.45	0.2	0.3	0.3	0.4	0.7	0.2	0.8	0.3	0.3	0.8	0.7	0.1	0.5	0.9	0.5	sound/wtr_tornado_large_lp.snd	0.5					0.3	2	100	350	appearance/pt_nebulae_white_02.ltn	0.3	0.6	0.3	0.7	0.75	0.8	1	0.9	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
pirate_nebula_1	6147	5403	-2578	3000	0.6	0.4	0.2	0.4	0.5	0.6	0.4	0.4	0.5	0.6	0.4	0.55	0.5	0.6	0.5	0.5	0.7	0.5	sound/wtr_tornado_large_lp.snd	0.5					0.3	2	100	350	appearance/pt_nebulae_white_02.ltn	0.3	1	1	1	0.75	0	1	1	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
pirate_nebula_2	6147	5403	-2578	1700	0.4	0.9	0.7	0.89	0.35	0.7	0.8	0.65	0.25	0.67	0.7	0.67	0.35	0.56	0.7	0.5	0.4	0.7	sound/wtr_tornado_large_lp.snd	0.5					0.3	2	100	350	appearance/pt_nebulae_white_02.ltn	0.3	1	1	1	0.75	0.4	1	1	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				1
pirate_nebula_3	6147	5403	-2578	600	0.8	0.4	0.4	0.4	0.6	0.53	0.4	0.3	0.5	0.5	0.4	0.4	0.4	0.7	0.5	0.3	0.5	0.55	sound/wtr_tornado_large_lp.snd	0.5					0.3	2	100	350	appearance/pt_nebulae_white_02.ltn	0.3	1	1	1	0.75	0	1	1	sound/env_nebula_lightning_strike.snd	sound/item_fwks_sparkler_lp.snd	clienteffect/combat_ship_hit_shield.cef	clienteffect/combat_ship_hit_armor.cef				0
