program_name	program_size
s	i
droidcommand_mutedroid	1
droidcommand_breaklockfour	25
droidcommand_breaklockthree	20
droidcommand_breaklocktwo	10
droidcommand_breaklockone	5
droidcommand_engineefficiencyfour	25
droidcommand_engineefficiencythree	20
droidcommand_engineefficiencytwo	10
droidcommand_engineefficiencyone	5
droidcommand_enginenormalize	1
droidcommand_engineoverloadfour	24
droidcommand_engineoverloadthree	19
droidcommand_engineoverloadtwo	10
droidcommand_engineoverloadone	5
droidcommand_reactornormalize	1
droidcommand_reactoroverloadfour	24
droidcommand_reactoroverloadthree	19
droidcommand_reactoroverloadtwo	10
droidcommand_reactoroverloadone	5
droidcommand_shieldadjustfrontfour	25
droidcommand_shieldadjustfrontthree	20
droidcommand_shieldadjustfronttwo	10
droidcommand_shieldadjustfrontone	5
droidcommand_shieldadjustrearfour	25
droidcommand_shieldadjustrearthree	20
droidcommand_shieldadjustreartwo	10
droidcommand_shieldadjustrearone	5
droidcommand_shieldbacktofronteighty	20
droidcommand_shieldbacktofrontfifty	10
droidcommand_shieldbacktofronthundred	25
droidcommand_shieldbacktofronttwenty	5
droidcommand_shieldfronttobackeighty	20
droidcommand_shieldfronttobackfifty	10
droidcommand_shieldfronttobackhundred	25
droidcommand_shieldfronttobacktwenty	5
droidcommand_shieldnormalize	1
droidcommand_weaponeffeciencyfour	25
droidcommand_weaponeffeciencyone	5
droidcommand_weaponeffeciencythree	20
droidcommand_weaponeffeciencytwo	10
droidcommand_weaponnormalize	1
droidcommand_weaponoverloadfour	24
droidcommand_weaponoverloadone	5
droidcommand_weaponoverloadthree	19
droidcommand_weaponoverloadtwo	10
droidcommand_weapcaptoshieldone	5
droidcommand_weapcaptoshieldtwo	10
droidcommand_weapcaptoshieldthree	20
droidcommand_weapcaptoshieldfour	25
droidcommand_shieldemergencyfront	35
droidcommand_shieldemergencyrear	35
droidcommand_weapcappowerupone	5
droidcommand_weapcappoweruptwo	10
droidcommand_weapcappowerupthree	19
droidcommand_weapcappowerupfour	24
droidcommand_weapcapequalize	1
droidcommand_zonetokessel	1
droidcommand_zonetoimperialdeepspace	1
droidcommand_zonetorebeldeepspace	1
