TEMPLATE	FRAME	TRIM
s	s[none]	s[none]
landspeeder_av21.iff	private/index_color_1	private/index_color_2
landspeeder_x34.iff	private/index_color_1	private/index_color_2
speederbike.iff	private/index_color_1	private/index_color_2
speederbike_swoop.iff	private/index_color_1	private/index_color_2
speederbike_flash.iff	private/index_color_1	private/index_color_2
barc_speeder.iff	private/index_color_1	private/index_color_2
landspeeder_xp38.iff	private/index_color_1	private/index_color_2
landspeeder_v35.iff	private/index_color_1	private/index_color_2
landspeeder_ab1.iff	private/index_color_1	private/index_color_2
landspeeder_usv5.iff	private/index_color_1	private/index_color_2
landspeeder_desert_skiff.iff	private/index_color_1	private/index_color_2
landspeeder_tantive4.iff	private/index_color_1	private/index_color_2
landspeeder_lava_skiff.iff	private/index_color_1	private/index_color_2
barc_speeder_rebel.iff	private/index_color_1	private/index_color_2
barc_speeder_imperial.iff	private/index_color_1	private/index_color_2
walker_at_rt_reg.iff	private/index_color_1	private/index_color_2
walker_at_rt_camo.iff	private/index_color_1	private/index_color_2
pod_racer_one.iff	private/index_color_1	private/index_color_2
pod_racer_two.iff	private/index_color_1	private/index_color_2
hover_chair.iff	private/index_color_1	private/index_color_2
mechno_chair.iff	private/index_color_1	private/index_color_2
sith_speeder.iff	private/index_color_1	private/index_color_2
landspeeder_organa.iff	private/index_color_1	private/index_color_2
snowspeeder.iff	private/index_color_1	private/index_color_2
hoth_at_st.iff	private/index_color_1	private/index_color_2
stap_speeder.iff	private/index_color_1	
landspeeder_tantive4_adv.iff	private/index_color_1	private/index_color_2
basilisk_war_droid.iff		private/index_color_1
landspeeder_usv5_s02.iff	private/index_color_1	private/index_color_2
podracer_anakin.iff		
flare_s_swoop_crafted.iff	private/index_color_1	private/index_color_2
