object	spawn_id	triggerId	room	loc_x	loc_y	loc_z	yaw	script	spawn_objvar	trigger_event	isInvulnerable	comment	paths	respawn	mission_critical
s[required]	s[none]	s[default]	s[none]	f[0.0]	f[0.0]	f[0.0]	f[0.0]	s[none]	s[none]	s[none]	i[0]	s	s[none]	i[-1]	i[0]
"setCellLabel:tauntaun_grounds:\#FF0000The Grotto:0,0,0"		rebel													
"setCellLabel:tauntaun_grounds:The Grotto:0,0,0"		imperial													
"setCellLabel:r15:Main Hangar:0,0,0"															
"setCellLabel:r56:Lower Hangar:0,0,0"															
"setCellLabel:r24:Storage Room:0,0,0"															
"setCellLabel:r58:\#FF0000Equipment Room:0,0,0"		rebel													
"setCellLabel:r58:Equipment Room:0,0,0"		imperial													
"setCellLabel:r54:Cantina Sub-Zero:0,0,0"															
"setCellLabel:r51:\#FF0000Medical Bay:0,0,0"		rebel													
"setCellLabel:r51:Medical Bay:0,0,0"		imperial													
"setCellLabel:r11:\#FF0000Command Center:0,0,0"		rebel													
"setCellLabel:r11:Command Center:0,0,0"		imperial													
"setCellLabel:r32:Ion Capacitor:0,0,0"															
"setCellLabel:r17:\#FFFF00Elevator - Evac Area:0,0,0"		start_imperial_evac													
"setCellLabel:r17:\#FFFF00Elevator - Evac Area:0,0,0"		start_rebel_evac										
"setCellLabel:r17:none:0,0,0"		imperial_p3_end										
"setCellLabel:r17:none:0,0,0"		rebel_p3_end										
"setCellLabel:r11:\#FFFFFFCommand Center:0,0,0"		start_evac_command_rebel										
"setCellLabel:r51:\#FFFFFFMedical Bay:0,0,0"		retreat_medic_rebel										
"setCellLabel:r58:\#FFFFFFEquipment Room:0,0,0"		retreat_equip_rebel										
"setCellLabel:tauntaun_grounds:\#FFFFFFThe Grotto:0,0,0"		retreat_food										
object/tangible/door/echo_base_door_hangar.iff	hangar_door	imperial		-197.67091	73.796255	594.73816	-144					comment
object/tangible/door/echo_base_door_hangar.iff	front_door	imperial	r1	58.825264	50.15	314.22034	42.988144					
deleteSpawn:front_door:none		imp_invade_front										
trigger:grantEchoBaseBadge:player:10:0:0:targetMessage				64.35791	49.088634	319.9873		poi.badge.badge_exploration	int:badge=6245			front door
trigger:grantEchoBaseBadge:player:10:0:0:targetMessage				-209.08133	73.45886	597.1759		poi.badge.badge_exploration	int:badge=6245			hangar bay door
trigger:grantEchoBaseBadge:player:10:0:0:targetMessage				-200.16943	73.503296	591.2012		poi.badge.badge_exploration	int:badge=6245			hangar bay door
trigger:grantEchoBaseBadge:player:10:0:0:targetMessage				-191.10156	73.5494	584.7959		poi.badge.badge_exploration	int:badge=6245			hangar bay door
