object	spawn_id	triggerId	room	loc_x	loc_y	loc_z	yaw	script	spawn_objvar	trigger_event	isInvulnerable	comment	paths	respawn
s[required]	s[none]	s[default]	s[none]	f[0.0]	f[0.0]	f[0.0]	f[0.0]	s[none]	s[none]	s[none]	i[0]	s	s[none]	i[-1]
object/tangible/meatlump/hideout/mtp_hideout_instance_entryb_controller.iff		spawn_entryb_object	entryb	3.7	-12	36.6	0							
object/static/structure/military/bunker_crate_style_01.iff		mtp_kill_all_droids	hall1b	17.5	-16	98	0				1			
mtp_instance_mouse_droid		mtp_kill_all_droids	entryb	2.5	-12	50.1	169	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_r5		mtp_kill_all_droids	guardroom	20.1	-16	74.5	-142	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_blastromech		mtp_kill_all_droids	guardroom	15	-16	78.7	114	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_power_droid		mtp_kill_all_droids	guardroom1	-10.8	-12	94.8	114	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_r5		mtp_kill_all_droids	guardroom1	-17.7	-12	95.7	112	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_blastromech		mtp_kill_all_droids	mess	-36.4	-12	90.9	-5	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_mouse_droid		mtp_kill_all_droids	mess	-33.3	-12	99.2	164	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_r5		mtp_kill_all_droids	mess	-40	-12	104.6	-95	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_power_droid		mtp_kill_all_droids	mess	-35.8	-12	112	-174	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_mouse_droid		mtp_kill_all_droids	pantry	-39.2	-12	127.3	97	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_r5		mtp_kill_all_droids	pantry	-32.1	-12	128.7	-127	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_blastromech		mtp_kill_all_droids	pantry	-35.8	-12	134.8	175	theme_park.meatlump.hideout.mtp_instance_loiter						
mtp_instance_mouse_droid		mtp_kill_all_droids	armory	-81	-28	78.8	87	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_r5		mtp_kill_all_droids	armory	-81.5	-28	63.2	9	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_power_droid		mtp_kill_all_droids	lair	-71.6	-44	0.3	-122	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_mouse_droid		mtp_kill_all_droids	lair	-68.6	-44	-17.1	-66	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_r5		mtp_kill_all_droids	lair	-82.3	-44	-13.8	-33	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_blastromech		mtp_kill_all_droids	lair	-99.1	-44	-21.2	10	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_mouse_droid		mtp_kill_all_droids	generator	-156.2	-44	93.2	163	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_r5		mtp_kill_all_droids	generator	-158	-44	73.7	-2	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_blastromech		mtp_kill_all_droids	generator	-143.8	-44	97.5	164	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_mouse_droid		mtp_kill_all_droids	generator	-144.2	-44	76.9	86	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_r5		mtp_kill_all_droids	barracks	-81.1	-28	100.4	-6	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_power_droid		mtp_kill_all_droids	barracks	-93.4	-28	104.9	39	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_mouse_droid		mtp_kill_all_droids	barracks	-88	-28	121.4	97	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_r5		mtp_kill_all_droids	planning	-27.3	-12	144.3	2	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_blastromech		mtp_kill_all_droids	planning	-31	-12	168.7	-48	theme_park.meatlump.hideout.mtp_instance_loiter
mtp_instance_mouse_droid		mtp_kill_all_droids	planning	-21.6	-12	166.1	-142	theme_park.meatlump.hideout.mtp_instance_loiter
