object	spawn_id	triggerId	room	loc_x	loc_y	loc_z	yaw	script	spawn_objvar	trigger_event	isInvulnerable	comment	paths	respawn
s[required]	s[none]	s[default]	s[none]	f[0.0]	f[0.0]	f[0.0]	f[0.0]	s[none]	s[none]	s[none]	i[0]	s	s[none]	i[-1]
delayAction:spawn_open:1														
heroic_exar_open_hand	open	spawn_open	r2	-11.79	0.01	-48.225	180	theme_park.heroic.exar_kun.open_hand		"OnExitCombat:triggerId:reset_open,OnDeath:triggerId:open_won,OnEnterCombat:triggerId:lock_open"	1			
trigger:move_open_droid:player:30:-1:0:triggerId	otrigger	spawn_open	r2	-13.9	0	64								
mouse_droid	odroid	spawn_open		-5	0	0	0			OnArrivedAtLocation:open_start:triggerId:start_open	1			
pathPoint:open_start				5	0	0	0							
"messageTo;odroid;doPathAction;string:pathAction=moveTo,string:pathName=open_start"		move_open_droid												
deleteSpawn:otrigger:none		start_open												
deletespawn:odroid:none		start_open												
heroic_exar_cultist	one	spawn_open	r2	-19	0	-55	0	theme_park.heroic.exar_kun.open_cultist		OnArrivedAtLocation:one:faceTo:spawn_id:open	1			
heroic_exar_cultist	five	spawn_open	r2	-7.75	0	-70	0	theme_park.heroic.exar_kun.open_cultist		OnArrivedAtLocation:five:faceTo:spawn_id:open	1			
heroic_exar_cultist	eight	spawn_open	r2	-4	0	-55	0	theme_park.heroic.exar_kun.open_cultist		OnArrivedAtLocation:eight:faceTo:spawn_id:open	1			
heroic_exar_cultist	two	spawn_open	r2	-19	0	-65	0	theme_park.heroic.exar_kun.open_cultist		OnArrivedAtLocation:two:faceTo:spawn_id:open	1			
heroic_exar_cultist	seven	spawn_open	r2	-4	0	-65	0	theme_park.heroic.exar_kun.open_cultist		OnArrivedAtLocation:seven:faceTo:spawn_id:open	1			
heroic_exar_cultist	three	spawn_open	r2	-19	0	-75	0	theme_park.heroic.exar_kun.open_cultist		OnArrivedAtLocation:three:faceTo:spawn_id:open	1			
heroic_exar_cultist	four	spawn_open	r2	-14.75	0	-70	0	theme_park.heroic.exar_kun.open_cultist		OnArrivedAtLocation:four:faceTo:spawn_id:open	1
heroic_exar_cultist	six	spawn_open	r2	-4	0	-75	0	theme_park.heroic.exar_kun.open_cultist		OnArrivedAtLocation:six:faceTo:spawn_id:open	1
delayAction:to_edge:1		start_open									
doTheaterAction:open:animate:beckon		start_open									
doTheaterAction:open:chat:say:kun_open_event_greeting		start_open									
delayAction:open_warning:5		start_open									
doTheaterAction:open:chat:say:kun_open_event_warning		open_warning									
delayAction:open_attack:3		open_warning									
messageTo;open;wsToggleInvulnerability;none		open_attack									
deleteSpawn:open:none		reset_open									
deleteSpawn:otrigger:none		reset_open									
deletespawn:odroid:none		reset_open									
deleteSpawn:one:none		reset_open									
deleteSpawn:two:none		reset_open									
deleteSpawn:three:none		reset_open									
deleteSpawn:four:none		reset_open									
deleteSpawn:five:none		reset_open				
deleteSpawn:six:none		reset_open				
deleteSpawn:seven:none		reset_open				
deleteSpawn:eight:none		reset_open				
deleteSpawn:open_event_gate:none		reset_open				
delayAction:spawn_open:20		reset_open				
pathPoint:one			r2	-30	0	-55
pathPoint:two			r2	-30	0	-65
pathPoint:three			r2	-27	0	-75
pathPoint:four			r2	-20	0	-85
pathPoint:five			r2	-6	0	-85
pathPoint:six			r2	5	0	-75
pathPoint:seven			r2	5	0	-65
pathPoint:eight			r2	5	0	-55
"messageTo;one;doPathAction;string:pathAction=moveTo,string:pathName=one"		to_edge				
"messageTo;two;doPathAction;string:pathAction=moveTo,string:pathName=two"		to_edge				
"messageTo;three;doPathAction;string:pathAction=moveTo,string:pathName=three"		to_edge											
"messageTo;four;doPathAction;string:pathAction=moveTo,string:pathName=four"		to_edge											
"messageTo;five;doPathAction;string:pathAction=moveTo,string:pathName=five"		to_edge											
"messageTo;six;doPathAction;string:pathAction=moveTo,string:pathName=six"		to_edge											
