spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	f	s	s	i	s	s	s	s	s	s
object/tangible/dungeon/mustafar/old_republic_facility/core_room_terminal.iff		hall2	43.9517	4.93316	17.231	-180	theme_park.dungeon.mustafar_trials.old_republic_facility.core_terminal								
object/tangible/dungeon/mustafar/old_republic_facility/core_room_terminal.iff		hall16	65.3722	-28.6669	-3.66235	90	theme_park.dungeon.mustafar_trials.old_republic_facility.core_terminal								
object/tangible/dungeon/mustafar/old_republic_facility/core_room_terminal.iff		hall15	66.2821	-28.6669	37.2615	-90	theme_park.dungeon.mustafar_trials.old_republic_facility.core_terminal								
object/tangible/dungeon/mustafar/old_republic_facility/core_room_terminal.iff		hall29	65.3563	-62.2668	-3.66889	90	theme_park.dungeon.mustafar_trials.old_republic_facility.core_terminal								
object/tangible/dungeon/mustafar/old_republic_facility/core_room_terminal.iff		hall26	43.9561	-62.2784	17.2767	-180	theme_park.dungeon.mustafar_trials.old_republic_facility.core_terminal								
object/tangible/dungeon/mustafar/old_republic_facility/core_room_terminal.iff		hall25	87.6775	-62.2668	16.336	0	theme_park.dungeon.mustafar_trials.old_republic_facility.core_terminal								
object/tangible/dungeon/mustafar/old_republic_facility/core_room_terminal.iff		hall30	66.2638	-62.2668	37.2672	-89.9999	theme_park.dungeon.mustafar_trials.old_republic_facility.core_terminal								
object/tangible/dungeon/mustafar/old_republic_facility/core_room_terminal.iff		hall10	87.6878	4.93316	16.3464	0	theme_park.dungeon.mustafar_trials.old_republic_facility.core_terminal								
object/tangible/dungeon/mustafar/old_republic_facility/door_terminal.iff		hall11	43.9489	-0.0632455	-31.6957	-90	theme_park.dungeon.mustafar_trials.old_republic_facility.door_terminal_01								
object/tangible/dungeon/mustafar/old_republic_facility/door_terminal.iff		hall19	45.7174	-33.6633	32.9905	-180	theme_park.dungeon.mustafar_trials.old_republic_facility.door_terminal_03								
object/tangible/dungeon/mustafar/old_republic_facility/door_terminal.iff		hall15	74.7514	-33.6632	43.9072	-90	theme_park.dungeon.mustafar_trials.old_republic_facility.door_terminal_04								
object/tangible/dungeon/mustafar/old_republic_facility/door_terminal.iff		hall32	48.4885	-67.2536	-10.3049	90	theme_park.dungeon.mustafar_trials.old_republic_facility.door_terminal_02								
object/tangible/dungeon/mustafar/old_republic_facility/door_terminal.iff		hall33	83.1517	-67.2632	43.9046	-90	theme_park.dungeon.mustafar_trials.old_republic_facility.door_terminal_05								
object/tangible/dungeon/mustafar/old_republic_facility/door_terminal.iff		hall25	98.9155	-67.2632	32.7319	-180	theme_park.dungeon.mustafar_trials.old_republic_facility.door_terminal_05								
object/tangible/furniture/terminal/terminal_bank_floor_on_01.iff	Power Access Terminal	smallroom12	2.48938	0	-24.9179	90	theme_park.dungeon.mustafar_trials.old_republic_facility.quest_object_01		
object/tangible/furniture/cheap/chest_s01.iff	Storage Chest	mediumroom13	75.6987	-32.6513	-46.0712	-93.4377	theme_park.dungeon.mustafar_trials.old_republic_facility.quest_object_02		
object/tangible/furniture/decorative/diagnostic_screen.iff	Journal Screen	smallroom22	33.9066	-32.8727	77.0979	147.823	theme_park.dungeon.mustafar_trials.old_republic_facility.quest_object_03		
object/tangible/furniture/decorative/professor_desk.iff	Security Station	smallroom20	95.9049	-33.6	54.5825	-132.353	theme_park.dungeon.mustafar_trials.old_republic_facility.quest_object_04		
object/tangible/furniture/terminal/terminal_bank_wall_on_02.iff	Ventilation System	mediumroom28	31.8932	-68.0538	-30.9565	90	theme_park.dungeon.mustafar_trials.old_republic_facility.quest_object_05		
object/tangible/furniture/terminal/terminal_bank_wall_on_01.iff	Air Systems Terminal	smallroom34	47.6444	-67.5795	78.9949	-180	theme_park.dungeon.mustafar_trials.old_republic_facility.quest_object_06		
object/tangible/dungeon/avatar_platform/avatar_lockbox.iff	Box of Computer Parts	smallroom31	97.6751	-67.2	50.5527	58.4417	theme_park.dungeon.mustafar_trials.old_republic_facility.quest_object_07		
object/tangible/furniture/terminal/terminal_bank_wall_on_01.iff	Main Computer Terminal	smallroom6	95.2071	-0.411096	49.6319	-180	theme_park.dungeon.mustafar_trials.old_republic_facility.quest_object_08		
som_orf_ancient_patrol_drone		hall5	72.5602	1.36E-06	-12.4439	-95.2087	theme_park.dungeon.generic_death		600
som_orf_ancient_patrol_drone		stairwell9	83.2446	2.67E-06	-20.3049	-0.942447	theme_park.dungeon.generic_death		600
som_orf_ancient_patrol_drone		stairwell9	79.5881	2.67E-06	-20.3624	0.342858	theme_park.dungeon.generic_death		600
som_orf_ancient_patrol_drone		stairwell9	115.958	-15.4	-14.9049	-89.3611	theme_park.dungeon.generic_death		600
som_orf_ancient_patrol_drone		stairwell9	116.005	-15.4	-20.0668	-93.3621	theme_park.dungeon.generic_death		600
som_orf_ancient_security_drone		stairwell9	79.2124	-33.6	-12.822	89.3377	theme_park.dungeon.generic_death		600
som_orf_ancient_security_drone		hall16	65.8556	-33.6	-5.90335	178.521	theme_park.dungeon.generic_death		600
som_orf_ancient_security_drone		hall16	65.7673	-33.6	-19.5551	0.0712092	theme_park.dungeon.generic_death		600
som_orf_flea_hatchling		mediumroom13	71.3957	-33.6	-57.3126	-89.8737	theme_park.dungeon.generic_death		600
som_orf_flea_hatchling		mediumroom13	65.8335	-33.6	-63.7536	-0.700104	theme_park.dungeon.generic_death		600
som_orf_flea_hatchling		mediumroom13	59.9731	-33.6	-57.4082	88.8224	theme_park.dungeon.generic_death		600
som_orf_ancient_security_drone		hall18	43.3881	-33.6	3.36468	179.921	theme_park.dungeon.generic_death		600
som_orf_flea_hatchling		smallroom21	35.3151	-33.6	40.5773	82.9017	theme_park.dungeon.generic_death		600
