spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	f	s	s	i	s	s	s	s	s	s
object/tangible/dungeon/avatar_platform/avatar_terminal_security.iff		mainhangar	36.3	0	21.5	90	theme_park.dungeon.avatar_platform.terminal_security01_unlock				self	theme_park.dungeon.avatar_platform.avatar_door_lock			
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		techhall08	-134.3	1.1	-135.8	48	theme_park.dungeon.avatar_platform.terminal_techhall08_unlock				commandhall08	theme_park.dungeon.avatar_platform.avatar_boss_fight_spawn			
object/tangible/dungeon/avatar_platform/avatar_terminal_master_console.iff		navigationroom	-168.4	-0.3	38.9	90	theme_park.dungeon.avatar_platform.terminal_main_console			string:passcode=12345	commanddeck	theme_park.dungeon.avatar_platform.avatar_boss_fight_room			
object/tangible/dungeon/avatar_platform/avatar_terminal_safety_override.iff		sensorsystems	-197.5	0	-116	90	theme_park.dungeon.avatar_platform.terminal_safety_override				self	theme_park.dungeon.avatar_platform.avatar_destruction			
object/tangible/dungeon/avatar_platform/avatar_terminal_core_override.iff		powercore	-89.9	10	-20.8	180	theme_park.dungeon.avatar_platform.terminal_core_overload				mainhangar	theme_park.dungeon.avatar_platform.avatar_opening_chat			
object/tangible/dungeon/avatar_platform/avatar_terminal_technical_readout.iff		controlroom	-100.5	1.89	12.95	-22	theme_park.dungeon.avatar_platform.terminal_technical_readout				entrance	theme_park.dungeon.avatar_platform.avatar_entrance_explosion			
object/tangible/quest/avatar_safety_01.iff		powercore	-97	0	-50	-90									
object/tangible/quest/avatar_safety_02.iff		powercore	-89.99	-13.7	-44.3	0									
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-166.65	0.4	-135.89	-90	theme_park.dungeon.avatar_platform.terminal_cell_01								
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-176.32	0.4	-135.89	90	theme_park.dungeon.avatar_platform.terminal_cell_02								
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-166.65	0.4	-146.9	-90	theme_park.dungeon.avatar_platform.terminal_cell_03								
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-176.3	0.4	-146.9	90	theme_park.dungeon.avatar_platform.terminal_cell_04								
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-166.7	0.4	-157.88	-90									
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-176.3	0.4	-157.88	90	theme_park.dungeon.avatar_platform.terminal_cell_06								
ep3_avatar_wke_processed		room	-135.5	0	-154.2	27	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_processed		room	-125.1	0	-149.4	-69	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_processed		room	-133.5	0	-149.4	22	theme_park.dungeon.generic_death		1200
object/tangible/quest/avatar_medical_records.iff		barracks01	-76.5	0	-190.5	0			
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		commanddeck	-190.7	0.5	-22.6	-90	theme_park.dungeon.avatar_platform.terminal_boss_fight		
ep3_avatar_blackscale_guard		mainhangar	36.3	0	18.4	-90	theme_park.dungeon.avatar_platform.trando01_setup		
ep3_avatar_blackscale_guard		mainhangar	36.3	0	24.7	-90	theme_park.dungeon.avatar_platform.trando02_setup		
ep3_avatar_wke_captive		jails	-160.4	-0.5	-133.5	-90	theme_park.dungeon.avatar_platform.avatar_wke_prisoner_01		
ep3_avatar_wke_captive		jails	-183.7	-0.5	-133.8	90	theme_park.dungeon.avatar_platform.avatar_wke_prisoner_02		
ep3_avatar_wke_captive		jails	-181.6	-0.5	-154.8	90	theme_park.dungeon.avatar_platform.avatar_wke_prisoner_06		
ep3_avatar_jawa		securityoffice	-160.8	0	-124.7	0	theme_park.dungeon.avatar_platform.avatar_jawa_attack		
ep3_avatar_blackscale_guard		barracksanteroom	-44.2	0	-98	66	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_captain		barracksanteroom	-48.2	0	-104.8	103	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_commando		cavehall03	-57.3	0	71.1	-90	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		cavehall03	-52.9	0	75.2	-113	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		anteroom	60.9	0	-69.4	-99	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		checkpoint01	13.5	0	56	53	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		systemscontrol	-88.1	0	32.8	0	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		systemscontrol	-93.5	0	33.7	0	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		cavehall03	-68.8	0	76.7	100	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_captain		anteroom	49.3	0	-61.6	142	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_captain		mainhangar	29.3	0	21.8	90	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_captain		generalstorage	-14.7	0	19.6	0	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_captain		barracksanteroom	-95.3	0	19.2	90	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_captain		cavehall03	-64.6	0	72.4	90	theme_park.dungeon.generic_death		1200	
