strItem	fltSize
s	f
object/tangible/holiday/love_day/love_day_card_01_spawner.iff	2
object/tangible/holiday/love_day/love_day_card_01_spawner.iff	2
object/tangible/holiday/love_day/love_day_card_02_spawner.iff	2
object/tangible/holiday/love_day/love_day_card_02_spawner.iff	2
object/tangible/holiday/love_day/love_day_card_03_spawner.iff	2
object/tangible/holiday/love_day/love_day_card_04_spawner.iff	2
object/tangible/holiday/love_day/love_day_card_05_spawner.iff	2
object/tangible/holiday/love_day/love_day_card_06_spawner.iff	2
object/tangible/holiday/love_day/love_day_card_07_spawner.iff	2
