fltX	fltZ	fltY	fltYaw	strCell
f	f	f	f	s
0.08	2.02	3.26	6	hall1
-3.47	2.02	3.18	88	hall1
-3.69	2.02	-3.48	1	hall1
3.98	2.02	-4.06	-88	hall2
3.51	-3.25	5.1	179	ramp1
-2.35	-4.98	-6.72	-11	room1
-3.49	-4.98	-8.22	14	room1
-6.65	-4.98	-3.59	24	room1
-2.66	-4.98	-3.33	-16	room1
-5.02	-4.98	-5.29	5	room1
-4.72	-4.99	-15.61	0	room2
0	-6.77	-15.12	-49	room2
5.69	-4.99	-15.21	-83	room2
4.56	-4.98	-4.04	-170	room3
6.99	-4.98	-2.68	-169	room3
1.61	-11.98	2	-88	basement
-6.6	-11.98	1.89	93	basement
-6.99	-11.98	-4.76	25	basement
1.33	-11.98	-4.48	23	basement
2.82	-11.98	-12.04	-17	basement
-6.42	-11.98	-12.86	14	basement
-2.64	-11.8	-16.14	0	basement
-2.51	-11.98	-8.09	0	basement
