structure_template	sign_template	x	y	z	yaw
s	s	f	f	f	f
object/building/player/player_guildhall_corellia_style_01.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_guildhall_corellia_style_01.iff	object/tangible/sign/player/house_address_corellia.iff				90
object/building/player/city/theater_corellia.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_house_generic_large_style_01.iff	object/tangible/sign/player/shop_sign_holloween_sign.iff				180
object/building/player/player_guildhall_tatooine_style_01.iff	object/tangible/sign/player/shop_sign_holloween_sign.iff				180
object/building/player/player_merchant_tent_style_01.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_merchant_tent_style_01.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_merchant_tent_style_01.iff	object/tangible/sign/player/pgc_sign_hanging.iff				90
object/building/player/player_merchant_tent_style_01.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_merchant_tent_style_01.iff	object/tangible/tcg/series3/house_sign_tcg_s01.iff				90
object/building/player/player_merchant_tent_style_02.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_merchant_tent_style_02.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_merchant_tent_style_02.iff	object/tangible/sign/player/pgc_sign_hanging.iff				90
object/building/player/player_merchant_tent_style_02.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_merchant_tent_style_02.iff	object/tangible/tcg/series3/house_sign_tcg_s01.iff				90
object/building/player/player_merchant_tent_style_03.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_merchant_tent_style_03.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_merchant_tent_style_03.iff	object/tangible/sign/player/pgc_sign_hanging.iff				90
object/building/player/player_merchant_tent_style_03.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_merchant_tent_style_03.iff	object/tangible/tcg/series3/house_sign_tcg_s01.iff				90
object/building/player/player_merchant_tent_style_01.iff	object/tangible/sign/player/shop_sign_holloween_sign.iff				180
object/building/player/player_merchant_tent_style_02.iff	object/tangible/sign/player/shop_sign_holloween_sign.iff				180
object/building/player/player_merchant_tent_style_03.iff	object/tangible/sign/player/shop_sign_holloween_sign.iff				180
object/building/player/player_house_corellia_large_style_01.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_house_corellia_large_style_01.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_large_style_01.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_large_style_01.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_house_corellia_large_style_02.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_house_corellia_large_style_02.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_large_style_02.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_large_style_02.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_house_corellia_medium_style_01.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_house_corellia_medium_style_01.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_medium_style_01.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_medium_style_01.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_house_corellia_medium_style_02.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_house_corellia_medium_style_02.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_medium_style_02.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_medium_style_02.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_house_corellia_small_style_01.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_house_corellia_small_style_01.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_small_style_01.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_small_style_01.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_house_corellia_small_style_01_floorplan_02.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_house_corellia_small_style_01_floorplan_02.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_small_style_01_floorplan_02.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_small_style_01_floorplan_02.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_house_corellia_small_style_02.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_house_corellia_small_style_02.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_small_style_02.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_small_style_02.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_house_corellia_small_style_02_floorplan_02.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
object/building/player/player_house_corellia_small_style_02_floorplan_02.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_small_style_02_floorplan_02.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_house_corellia_small_style_02_floorplan_02.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_house_mustafar_lg.iff	object/tangible/tcg/series3/house_sign_tcg_s01.iff				90
object/building/player/player_house_mustafar_lg.iff	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff				90
object/building/player/player_house_mustafar_lg.iff	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff				90
object/building/player/player_house_mustafar_lg.iff	object/tangible/tcg/series5/house_sign_tcg_hanging.iff				90
object/building/player/player_house_mustafar_lg.iff	object/tangible/sign/player/house_address_halloween_sign.iff				90
