skillmod_name	sign_template	string_mapping	sign_type	decrement_skillmod	admin_placement
s	s	s	"e(hanging=0,standing=1)[hanging]"	i[0]	i[0]
special_sign_tcg_series3	object/tangible/tcg/series3/house_sign_tcg_s01.iff	tcg:special_sign_tcg_series3_hanging_sign		1	
special_sign_tcg_series3	object/tangible/tcg/series3/house_sign_tcg_s02.iff	tcg:special_sign_tcg_series3_standing_sign	standing	1	
special_sign_halloween_hanging_sign	object/tangible/sign/player/house_address_halloween_sign.iff	sign_name:special_sign_halloween_hanging_sign		1	
special_sign_halloween_standing_sign	object/tangible/sign/player/shop_sign_halloween_sign.iff	sign_name:special_sign_halloween_standing_sign	standing	1	
shop_sign	object/tangible/sign/player/shop_sign_s01.iff	player_structure:shop_sign1	standing		1
shop_sign	object/tangible/sign/player/shop_sign_s02.iff	player_structure:shop_sign2	standing		1
shop_sign	object/tangible/sign/player/shop_sign_s03.iff	player_structure:shop_sign3	standing		1
shop_sign	object/tangible/sign/player/shop_sign_s04.iff	player_structure:shop_sign4	standing		1
special_sign_imp_empire_day_standing	object/tangible/sign/player/imperial_empire_day_2009_sign_standing.iff	player_structure:empire_day_imp_standing_sign	standing	1	
special_sign_imp_empire_day_hanging	object/tangible/sign/player/imperial_empire_day_2009_sign_hanging.iff	player_structure:empire_day_imp_hanging_sign		1	
special_sign_reb_empire_day_standing	object/tangible/sign/player/rebel_remembrance_day_2009_sign_standing.iff	player_structure:empire_day_reb_standing_sign	standing	1	
special_sign_reb_empire_day_hanging	object/tangible/sign/player/rebel_remembrance_day_2009_sign_hanging.iff	player_structure:empire_day_reb_hanging_sign		1	
special_sign_tcg_series5	object/tangible/tcg/series5/house_sign_tcg_standing.iff	tcg:special_sign_tcg_series5_standing_sign	standing	1	
special_sign_tcg_series5	object/tangible/tcg/series5/house_sign_tcg_hanging.iff	tcg:special_sign_tcg_series5_hanging_sign		1	
special_sign_chronicle_master_standing_sign	object/tangible/sign/player/pgc_sign_standing.iff	player_structure:pgc_sign_standing	standing	1	
special_sign_chronicle_master_hanging_sign	object/tangible/sign/player/pgc_sign_hanging.iff	player_structure:pgc_sign_hanging		1	
