template	cell	max_height	min_height
s	s	f	f
object/building/player/player_house_tatooine_small_style_01.iff	foyer	4.63961	0.75
object/building/player/player_house_tatooine_small_style_01.iff	hall	4.64677	0.72554
object/building/player/player_house_tatooine_small_style_01.iff	livingroom	4.54584	0.118645
object/building/player/player_house_tatooine_small_style_02.iff	foyer	4.51311	0.75
object/building/player/player_house_tatooine_small_style_02.iff	hall	4.58353	0.725545
object/building/player/player_house_tatooine_small_style_02.iff	livingroom	4.54584	0.118645
object/building/player/player_house_tatooine_small_window_style_01.iff	foyer	4.63961	0.75
object/building/player/player_house_tatooine_small_window_style_01.iff	hall	4.64677	0.72554
object/building/player/player_house_tatooine_small_window_style_01.iff	livingroom	4.54584	0.118645
object/building/player/player_house_tatooine_medium_style_01.iff	hall1	4.71031	0.567723
object/building/player/player_house_tatooine_medium_style_01.iff	foyer	4.34772	0.489744
object/building/player/player_house_tatooine_medium_style_01.iff	livingroom	4.99774	-0.156781
object/building/player/player_house_tatooine_medium_style_01.iff	stair1	3.80053	-3.9
object/building/player/player_house_tatooine_medium_style_01.iff	bedroom1	-0.698314	-4.05033
object/building/player/player_house_tatooine_medium_style_01.iff	bedroom3	3.99838	0.172025
object/building/player/player_house_tatooine_medium_style_01.iff	bedroom2	9.54007	4.57528
object/building/player/player_house_tatooine_medium_style_01.iff	hall2	8.66937	4.65326
object/building/player/player_house_tatooine_large_style_01.iff	entry	4.6161	0.55
object/building/player/player_house_tatooine_large_style_01.iff	public	9.55504	0.55
object/building/player/player_house_tatooine_large_style_01.iff	longhall	4.01526	0.55
object/building/player/player_house_tatooine_large_style_01.iff	livingroom	8.4896	0.599999
object/building/player/player_house_tatooine_large_style_01.iff	deckstairs	8.4204	5.09
object/building/player/player_house_tatooine_large_style_01.iff	lounge	4.39473	0.55
object/building/player/player_house_tatooine_large_style_01.iff	upstairshall	8.45202	5.1
object/building/player/player_house_tatooine_large_style_01.iff	bedroom	12.6895	5.1
object/building/player/player_house_tatooine_large_style_01.iff	office	8.51527	0.5
object/building/player/player_house_tatooine_large_style_01.iff	shorthall	3.88877	0.55
object/building/player/player_house_naboo_small_style_01.iff	foyer	4.77934	0.7
object/building/player/player_house_naboo_small_style_01.iff	room1	4.87421	0.7
object/building/player/player_house_naboo_small_style_01.iff	room2	4.81097	0.7
object/building/player/player_house_naboo_small_style_02.iff	foyer	4.71609	0.7
object/building/player/player_house_naboo_small_style_02.iff	hall	4.81097	0.7
object/building/player/player_house_naboo_small_style_02.iff	room2	4.84259	0.7
object/building/player/player_house_naboo_small_style_02.iff	room1	4.90583	0.7
object/building/player/player_house_naboo_small_window_style_01.iff	foyer	4.77934	0.7
object/building/player/player_house_naboo_small_window_style_01.iff	room1	4.87421	0.7
object/building/player/player_house_naboo_small_window_style_01.iff	room2	4.81097	0.7
object/building/player/player_house_naboo_medium_style_01.iff	foyerdown	5.02123	1.1
object/building/player/player_house_naboo_medium_style_01.iff	mainchamber	11.9666	1.1
object/building/player/player_house_naboo_medium_style_01.iff	roomf1	5.4007	1.1
object/building/player/player_house_naboo_medium_style_01.iff	stairs	5.37741	-4.9
object/building/player/player_house_naboo_medium_style_01.iff	roomb1	-0.377942	-4.9
object/building/player/player_house_naboo_medium_style_01.iff	roomf2	10.6537	6.1
object/building/player/player_house_naboo_medium_style_01.iff	foyerup	10.211	6.1
object/building/player/player_house_naboo_large_style_01.iff	mainfoyer	8.27421	1.1
object/building/player/player_house_naboo_large_style_01.iff	hall1	8.87422	4.7
object/building/player/player_house_naboo_large_style_01.iff	foyerright	8.81097	4.7
object/building/player/player_house_naboo_large_style_01.iff	foyerleft	10.2024	4.7
object/building/player/player_house_naboo_large_style_01.iff	hall2	8.87421	4.7
object/building/player/player_house_naboo_large_style_01.iff	room6	14.6296	4.7
object/building/player/player_house_naboo_large_style_01.iff	room4	14.8229	9.7
object/building/player/player_house_naboo_large_style_01.iff	stairs2	20.105	9.75649
object/building/player/player_house_naboo_large_style_01.iff	room5	21.5912	16.5
object/building/player/player_house_naboo_large_style_01.iff	stairs1	8.1	-0.900001
object/building/player/player_house_naboo_large_style_01.iff	hall3	3.24258	-0.900001
object/building/player/player_house_naboo_large_style_01.iff	room3	3.96991	-0.900003
object/building/player/player_house_naboo_large_style_01.iff	room2	4.06478	-0.900003
object/building/player/player_house_naboo_large_style_01.iff	room1	9.4118	4.7
object/building/player/player_merchant_tent_style_03.iff	r1	4.56781	0.267105
object/building/player/player_merchant_tent_style_02.iff	r1	4.91566	0.267105
object/building/player/player_merchant_tent_style_01.iff	r1	4.63105	0.267105
object/building/player/player_house_generic_small_style_02_floorplan_02.iff	entry	4.45135	0.624996
object/building/player/player_house_generic_small_style_02_floorplan_02.iff	mainroom	5.24192	0.624994
object/building/player/player_house_generic_small_style_01_floorplan_02.iff	entry	4.56636	0.74
object/building/player/player_house_generic_small_style_01_floorplan_02.iff	hall	4.56636	0.74
object/building/player/player_house_generic_small_style_01_floorplan_02.iff	room1	5.79965	0.74
object/building/player/player_house_generic_small_style_01_floorplan_02.iff	room2	5.83127	0.74
object/building/player/player_house_generic_small_style_02.iff	entry	4.26162	0.625
object/building/player/player_house_generic_small_style_02.iff	room2	4.48299	0.625
object/building/player/player_house_generic_small_style_02.iff	mainroom	4.76758	0.624994
object/building/player/player_house_generic_small_style_01_floorplan_02.iff	entry	4.56636	0.74
object/building/player/player_house_generic_small_style_01_floorplan_02.iff	room1	5.4518	0.74
object/building/player/player_house_generic_small_style_01_floorplan_02.iff	room2	5.67316	0.74
object/building/player/player_house_generic_small_windowed.iff	entry	4.47149	0.74
object/building/player/player_house_generic_small_windowed.iff	hall	4.47149	0.74
object/building/player/player_house_generic_small_windowed.iff	room1	5.29368	0.74
object/building/player/player_house_generic_small_windowed.iff	room2	5.35693	0.74
object/building/player/player_house_generic_small_style_01.iff	entry	4.47149	0.74
object/building/player/player_house_generic_small_style_01.iff	hall	4.47149	0.74
object/building/player/player_house_generic_small_style_01.iff	room1	5.29368	0.74
object/building/player/player_house_generic_small_style_01.iff	room2	5.35693	0.74
object/building/player/player_house_generic_medium_style_02.iff	entryway	6.8	0.875003
object/building/player/player_house_generic_medium_style_02.iff	middleroom	6.8	0.875001
object/building/player/player_house_generic_medium_style_02.iff	mainroom	9.8	0.875009
object/building/player/player_house_generic_medium_style_01.iff	public	6.8	0.624999
object/building/player/player_house_generic_medium_style_01.iff	office	5.3	0.625
object/building/player/player_house_generic_medium_style_01.iff	livingroom	6.8	0.624999
object/building/player/player_house_generic_medium_style_01.iff	bedroom	6.8	0.625
object/building/player/player_house_generic_medium_windowed.iff	public	6.8	0.624999
object/building/player/player_house_generic_medium_windowed.iff	office	5.3	0.625
object/building/player/player_house_generic_medium_windowed.iff	livingroom	6.8	0.624999
object/building/player/player_house_generic_medium_windowed.iff	bedroom	6.8	0.625
object/building/player/player_house_generic_medium_windowed_s02.iff	entryway	6.8	0.875003
object/building/player/player_house_generic_medium_windowed_s02.iff	middleroom	6.8	0.875001
object/building/player/player_house_generic_medium_windowed_s02.iff	mainroom	9.8	0.875009
object/building/player/player_house_generic_large_style_01.iff	foyer1	8.729615	1.235
object/building/player/player_house_generic_large_style_01.iff	room6	10.65856	4.71
object/building/player/player_house_generic_large_style_01.iff	room7	9.31501	4.71
object/building/player/player_house_generic_large_style_01.iff	mainhall1	9.47961	0.985
object/building/player/player_house_generic_large_style_01.iff	room5	9.13141	4.7
object/building/player/player_house_generic_large_style_01.iff	room2	9.13141	4.7
object/building/player/player_house_generic_large_style_01.iff	hallway2	5.02313	0.671111
object/building/player/player_house_generic_large_style_01.iff	room4	10.11205	4.7
