strTemplate	intSpawnLimit	intMinDifficulty	intMaxDifficulty	intWeighting	intSize	intNumToSpawn	strTemplateToSpawn	strLairType	strBuildingType
s	i	i	i	i	i	i	s	s	s
object/tangible/lair/npc_lair.iff	-1	25	30	35	22			naboo_peko_peko_eyrie_neutral_large	
object/tangible/lair/npc_lair.iff	-1	25	30	30	22			naboo_peko_peko_giant_pair_neutral_none	
object/tangible/lair/npc_lair.iff	-1	25	30	15	15			naboo_mauler_sect_neutral_medium_theater	
object/tangible/lair/npc_lair.iff	-1	25	30	10	15			naboo_rsf_camp_neutral_medium_theater	
object/tangible/lair/npc_lair.iff	-1	25	30	10	15			naboo_rsf_patrol_neutral_none	
object/tangible/lair/npc_lair.iff	-1	25	30	25	15			naboo_mauler_roamers_neutral_none	
object/tangible/lair/npc_lair.iff	-1	25	30	25	15			naboo_rsf_outpost_neutral_large_theater	
object/tangible/lair/npc_lair.iff	-1	25	30	25	15			naboo_mauler_pilgrimage_neutral_none	
object/tangible/lair/npc_lair.iff	-1	25	30	25	15			naboo_mauler_conclave_neutral_large_theater	
