name	canTransfer	questSeries
s	i[0]	s
nothing	0	
unknown	0	
food	1	
misc_supplies	1	
medical_supplies	1	
computer_parts	1	
electronic_equipment	1	
trade_goods	1	
grain	1	
construction_supplies	1	
alcohol	1	
processed_metal	1	
clothing	1	
passengers	0	
civilians	0	
refugees	0	
business_personnel	0	
computer_hardware	1	
restaurant_supplies	1	
elemental_gases	1	
industrial_cargo	1	
commercial_cargo	1	
agricultural_supplies	1	
hydroponic_supplies	1	
trade_materials	1	
bacta	1	
unidentifiable_substance	1	
