skill	branch	id
s	s	i
force_sensitive_combat_prowess_ranged_accuracy_01	force_sensitive_combat_prowess_ranged_accuracy	0
force_sensitive_combat_prowess_ranged_accuracy_02	force_sensitive_combat_prowess_ranged_accuracy	0
force_sensitive_combat_prowess_ranged_accuracy_03	force_sensitive_combat_prowess_ranged_accuracy	0
force_sensitive_combat_prowess_ranged_accuracy_04	force_sensitive_combat_prowess_ranged_accuracy	0
force_sensitive_combat_prowess_ranged_speed_01	force_sensitive_combat_prowess_ranged_speed	1
force_sensitive_combat_prowess_ranged_speed_02	force_sensitive_combat_prowess_ranged_speed	1
force_sensitive_combat_prowess_ranged_speed_03	force_sensitive_combat_prowess_ranged_speed	1
force_sensitive_combat_prowess_ranged_speed_04	force_sensitive_combat_prowess_ranged_speed	1
force_sensitive_combat_prowess_melee_accuracy_01	force_sensitive_combat_prowess_melee_accuracy	2
force_sensitive_combat_prowess_melee_accuracy_02	force_sensitive_combat_prowess_melee_accuracy	2
force_sensitive_combat_prowess_melee_accuracy_03	force_sensitive_combat_prowess_melee_accuracy	2
force_sensitive_combat_prowess_melee_accuracy_04	force_sensitive_combat_prowess_melee_accuracy	2
force_sensitive_combat_prowess_melee_speed_01	force_sensitive_combat_prowess_melee_speed	3
force_sensitive_combat_prowess_melee_speed_02	force_sensitive_combat_prowess_melee_speed	3
force_sensitive_combat_prowess_melee_speed_03	force_sensitive_combat_prowess_melee_speed	3
force_sensitive_combat_prowess_melee_speed_04	force_sensitive_combat_prowess_melee_speed	3
force_sensitive_enhanced_reflexes_ranged_defense_01	force_sensitive_enhanced_reflexes_ranged_defense	4
force_sensitive_enhanced_reflexes_ranged_defense_02	force_sensitive_enhanced_reflexes_ranged_defense	4
force_sensitive_enhanced_reflexes_ranged_defense_03	force_sensitive_enhanced_reflexes_ranged_defense	4
force_sensitive_enhanced_reflexes_ranged_defense_04	force_sensitive_enhanced_reflexes_ranged_defense	4
force_sensitive_enhanced_reflexes_melee_defense_01	force_sensitive_enhanced_reflexes_melee_defense	5
force_sensitive_enhanced_reflexes_melee_defense_02	force_sensitive_enhanced_reflexes_melee_defense	5
force_sensitive_enhanced_reflexes_melee_defense_03	force_sensitive_enhanced_reflexes_melee_defense	5
force_sensitive_enhanced_reflexes_melee_defense_04	force_sensitive_enhanced_reflexes_melee_defense	5
force_sensitive_enhanced_reflexes_vehicle_control_01	force_sensitive_enhanced_reflexes_vehicle_control	6
force_sensitive_enhanced_reflexes_vehicle_control_02	force_sensitive_enhanced_reflexes_vehicle_control	6
force_sensitive_enhanced_reflexes_vehicle_control_03	force_sensitive_enhanced_reflexes_vehicle_control	6
force_sensitive_enhanced_reflexes_vehicle_control_04	force_sensitive_enhanced_reflexes_vehicle_control	6
force_sensitive_enhanced_reflexes_survival_01	force_sensitive_enhanced_reflexes_survival	7
force_sensitive_enhanced_reflexes_survival_02	force_sensitive_enhanced_reflexes_survival	7
force_sensitive_enhanced_reflexes_survival_03	force_sensitive_enhanced_reflexes_survival	7
force_sensitive_enhanced_reflexes_survival_04	force_sensitive_enhanced_reflexes_survival	7
force_sensitive_crafting_mastery_experimentation_01	force_sensitive_crafting_mastery_experimentation	8
force_sensitive_crafting_mastery_experimentation_02	force_sensitive_crafting_mastery_experimentation	8
force_sensitive_crafting_mastery_experimentation_03	force_sensitive_crafting_mastery_experimentation	8
force_sensitive_crafting_mastery_experimentation_04	force_sensitive_crafting_mastery_experimentation	8
force_sensitive_crafting_mastery_assembly_01	force_sensitive_crafting_mastery_assembly	9
force_sensitive_crafting_mastery_assembly_02	force_sensitive_crafting_mastery_assembly	9
force_sensitive_crafting_mastery_assembly_03	force_sensitive_crafting_mastery_assembly	9
force_sensitive_crafting_mastery_assembly_04	force_sensitive_crafting_mastery_assembly	9
force_sensitive_crafting_mastery_repair_01	force_sensitive_crafting_mastery_repair	10
force_sensitive_crafting_mastery_repair_02	force_sensitive_crafting_mastery_repair	10
force_sensitive_crafting_mastery_repair_03	force_sensitive_crafting_mastery_repair	10
force_sensitive_crafting_mastery_repair_04	force_sensitive_crafting_mastery_repair	10
force_sensitive_crafting_mastery_technique_01	force_sensitive_crafting_mastery_technique	11
force_sensitive_crafting_mastery_technique_02	force_sensitive_crafting_mastery_technique	11
force_sensitive_crafting_mastery_technique_03	force_sensitive_crafting_mastery_technique	11
force_sensitive_crafting_mastery_technique_04	force_sensitive_crafting_mastery_technique	11
force_sensitive_heightened_senses_healing_01	force_sensitive_heightened_senses_healing	12
force_sensitive_heightened_senses_healing_02	force_sensitive_heightened_senses_healing	12
force_sensitive_heightened_senses_healing_03	force_sensitive_heightened_senses_healing	12
force_sensitive_heightened_senses_healing_04	force_sensitive_heightened_senses_healing	12
force_sensitive_heightened_senses_surveying_01	force_sensitive_heightened_senses_surveying	13
force_sensitive_heightened_senses_surveying_02	force_sensitive_heightened_senses_surveying	13
force_sensitive_heightened_senses_surveying_03	force_sensitive_heightened_senses_surveying	13
force_sensitive_heightened_senses_surveying_04	force_sensitive_heightened_senses_surveying	13
force_sensitive_heightened_senses_persuasion_01	force_sensitive_heightened_senses_persuasion	14
force_sensitive_heightened_senses_persuasion_02	force_sensitive_heightened_senses_persuasion	14
force_sensitive_heightened_senses_persuasion_03	force_sensitive_heightened_senses_persuasion	14
