coord_type	x	y	z	yaw
s	f	f	f	f
village_entry				
	5327	78.37	-3989	0
	5365	78.41	-3995	0
	5390	78.48	-4018	0
	5311	78.5	-4275	0
	5269	78.5	-4279	0
	5228	78.5	-4260	0
village_victims				
	5245	78.5	-4199	0
	5304	78.5	-4218	0
	5319	78.5	-4213	0
	5194	78.5	-4146	0
	5181	78.5	-4137	0
	5306	78.5	-4155	0
	5397	78.5	-4114	0
	5231	78.5	-4138	0
	5243	78.5	-4122	0
	5288	78.5	-4046	0
village_turrets				
	5309	78.5	-4002	0
	5294	78.5	-4006	0
	5282	78.5	-4008	0
	5348	78.5	-4012	0
	5364	78.5	-4022	0
	5378	78.5	-4029	0
	5293	78.5	-4253	174
	5309	78.5	-4252	174
	5326	78.5	-4249	174
	5257	78.5	-4250	174
	5242	78.5	-4251	174
	5216	78.5	-4239	174
	5294	78.5	-4203	156
	5328	78.5	-4047	34
