reward	slot	type	script
h	i	"e(quantity=0,quality=1)[quantity]"	s
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_20.iff	0	quantity	quest.force_sensitive.fs_grant_experiment_5
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_20.iff	0	quality	quest.force_sensitive.fs_grant_experiment_10
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	1	quantity	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	1	quality	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	2	quantity	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	2	quality	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	3	quantity	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	3	quality	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	4	quantity	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	4	quality	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	5	quantity	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	5	quality	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	6	quantity	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	6	quality	
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	7	quantity
object/tangible/loot/quest/force_sensitive/crafting_tool_crit_experiment_5.iff	7	quality
