fs_type	xp_type	ratio
s	s	i
crafting	crafting_medicine_general	5
crafting	crafting_general	8
crafting	crafting_bio_engineer_creature	4
crafting	crafting_clothing_armor	5
crafting	crafting_weapons_general	5
crafting	crafting_food_general	5
crafting	crafting_clothing_general	5
crafting	crafting_structure_general	35
crafting	crafting_droid_general	5
crafting	crafting_spice	5
combat	combat_meleespecialize_unarmed	30
combat	combat_meleespecialize_onehand	30
combat	combat_meleespecialize_twohand	30
combat	combat_meleespecialize_polearm	30
combat	combat_rangedspecialize_rifle	30
combat	combat_rangedspecialize_pistol	30
combat	combat_rangedspecialize_carbine	30
combat	combat_general	30
combat	squadleader	90
combat	bountyhunter	5
combat	combat_rangedspecialize_heavy	30
reflex	combat_meleespecialize_unarmed	30
reflex	combat_meleespecialize_onehand	30
reflex	combat_meleespecialize_twohand	30
reflex	combat_meleespecialize_polearm	30
reflex	combat_rangedspecialize_rifle	30
reflex	combat_rangedspecialize_pistol	30
reflex	combat_rangedspecialize_carbine	30
reflex	combat_general	30
reflex	squadleader	90
reflex	bountyhunter	5
reflex	combat_rangedspecialize_heavy	30
senses	imagedesigner	7
senses	music	10
senses	dance	10
senses	entertainer_healing	10
senses	entertainer	10
senses	scout	8
senses	trapping	25
senses	camp	5
senses	medical	30
senses	resource_harvesting_inorganic	10
senses	creaturehandler	9
senses	merchant	4
senses	political	3
senses	bio_engineer_dna_harvesting	3
senses	slicing	3
