type	pulse	max_spawn	max_population	expire	spawn_template	min_number	max_number	weight	script
s	i	i	i	i	s	i	i	i	s
test_spawn	30	20	10	600					
					rebel_scout	1	2	4	working.template
					rebel_trooper	2	4	12	working.template
					rebel_staff_sergeant	1	2	6	working.template
					rebel_specforce_guerrilla	2	4	4	working.template
					rebel_commando	1	4	2	working.template
					rebel_specforce_captain	1	1	2	working.template
					rebel_general	1	1	1	working.template
fs_quest_sad1_1	0	3	3	0					
					shadow_outlaw	3	3	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad1_2	0	1	1	0					
					shadow_pirate	1	1	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad2_1	0	5	5	0					
					shadow_outlaw	5	5	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad3_1	0	2	2	0					
					shadow_outlaw	1	2	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad3_2	3	1	1	9					
					shadow_pirate	1	1	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad4_1	0	2	2	0					
					shadow_outlaw	2	2	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad4_2	0	2	2	0					
					shadow_pirate	2	2	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad5_1	0	4	4	0					
					shadow_pirate	4	4	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad6_1	0	7	7	0					
					shadow_pirate	7	7	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad7_1	0	3	3	0					
					shadow_outlaw	3	3	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad7_2	0	1	1	0					
					shadow_pirate	1	1	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad7_3	0	1	1	0					
					shadow_nco	1	1	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad8_1	0	2	2	0					
					shadow_pirate	2	2	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad8_2	0	2	2	0					
					shadow_nco	2	2	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_1_1	0	4	4	0					
					shadow_outlaw	4	4	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_2_1	0	1	1	0					
					shadow_pirate	1	1	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_2_1	0	3	3	0					
					shadow_outlaw	3	3	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_3_1	3	4	4	9					
					shadow_outlaw	4	4	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_3_2	0	1	1	0					
					shadow_pirate	1	1	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_4_1	30	3	9	90					
					shadow_outlaw	2	4	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_5_1	0	4	4	0					
					shadow_pirate	3	4	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_6_1	0	8	8	0					
					shadow_pirate	7	7	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_7_1	30	2	6	90					
					shadow_outlaw	2	4	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_7_2	0	1	1	0					
					shadow_pirate	1	1	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_7_3	0	1	1	0					
					shadow_nco	1	1	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_8_1	0	2	2	0					
					shadow_pirate	2	2	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_quest_sad_2_8_2	0	2	2	0					
					shadow_nco	2	2	1	systems.fs_quest.fs_quests_sad.notify_killable
fs_village_easy_small	20	100	5	2500					
					shadow_thug_nonaggro	5	10	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	5	10	2	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	5	10	4	systems.fs_quest.fs_village_enemy_ai
fs_village_easy_medium	20	100	10	2500					
					shadow_thug_nonaggro	10	15	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	10	15	2	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	10	15	4	systems.fs_quest.fs_village_enemy_ai
fs_village_easy_large	20	100	15	2500					
					shadow_thug_nonaggro	15	20	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	15	20	2	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	15	20	4	systems.fs_quest.fs_village_enemy_ai
fs_village_normal_small	20	100	5	2500					
					shadow_thug_nonaggro	5	10	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	5	10	3	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	5	10	5	systems.fs_quest.fs_village_enemy_ai
fs_village_normal_medium	20	100	10	2500					
					shadow_thug_nonaggro	10	15	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	10	15	3	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	10	15	5	systems.fs_quest.fs_village_enemy_ai
fs_village_normal_large	20	100	15	2500					
					shadow_thug_nonaggro	15	20	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	15	20	3	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	15	20	5	systems.fs_quest.fs_village_enemy_ai
fs_village_hard_small	20	100	5	2500					
					shadow_thug_nonaggro	5	10	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	5	10	3	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	5	10	5	systems.fs_quest.fs_village_enemy_ai
					shadow_mercenary_nonaggro	2	3	2	systems.fs_quest.fs_village_enemy_ai
fs_village_hard_medium	20	100	10	2500					
					shadow_thug_nonaggro	10	15	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	10	15	3	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	10	15	5	systems.fs_quest.fs_village_enemy_ai
					shadow_mercenary_nonaggro	3	5	2	systems.fs_quest.fs_village_enemy_ai
fs_village_hard_large	20	100	15	2500					
					shadow_thug_nonaggro	15	20	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	15	20	3	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	15	20	5	systems.fs_quest.fs_village_enemy_ai
					shadow_mercenary_nonaggro	5	10	2	systems.fs_quest.fs_village_enemy_ai
fs_village_abyss_small	10	100	5	2500					
					shadow_thug_nonaggro	5	10	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	5	10	3	systems.fs_quest.fs_village_enemy_ai
