creatureName	minScale	maxScale	minLevel	maxLevel
s[required]	f[1]	f[1]	i[1]	i[70]
bio_engineered_angler	0.25	2.5	1	70
bio_engineered_bageraset	0.5	1.8	5	70
bio_engineered_bantha	0.4	1.6	5	70
bio_engineered_bearded_jax	0.5	3.5	1	70
bio_engineered_blurrg	0.6	2	5	70
bio_engineered_boar_wolf	0.7	2.5	1	70
bio_engineered_bocatt	0.6	3.5	1	70
bio_engineered_bol	0.25	1.8	5	70
bio_engineered_bolle_bol	0.35	1.7	5	70
bio_engineered_bolma	0.25	2.5	5	70
bio_engineered_bordok	0.5	2	5	70
bio_engineered_brackaset	0.3	1.8	5	70
bio_engineered_carrion_spat	0.5	2.5	5	70
bio_engineered_choku	0.35	2.5	1	70
bio_engineered_cu_pa	0.5	1.7	5	70
bio_engineered_dalyrake	0.5	3.5	5	70
bio_engineered_dewback	0.35	2.3	5	70
bio_engineered_dune_lizard	0.5	3.5	5	70
bio_engineered_durni	0.6	2.5	1	70
bio_engineered_eopie	0.3	1.8	1	70
bio_engineered_falumpaset	0.7	2	5	70
bio_engineered_fambaa	0.6	1.5	30	70
bio_engineered_gnort	0.6	4	1	70
bio_engineered_graul	0.5	1.4	25	70
bio_engineered_gronda	0.4	2.2	15	70
bio_engineered_gualama	0.5	2	5	70
bio_engineered_guf_drolg	0.5	1.7	5	70
bio_engineered_gurnaset	0.4	1.6	5	70
bio_engineered_gurreck	0.7	2.5	5	70
bio_engineered_hermit_spider	0.25	3	1	70
bio_engineered_huf_dun	0.3	1.5	10	70
bio_engineered_huurton	0.4	3	1	70
bio_engineered_ikopi	0.6	2.5	5	70
bio_engineered_kaadu	0.5	2	5	70
bio_engineered_kima	0.5	3.5	1	70
bio_engineered_kimogila	0.2	0.8	40	70
bio_engineered_kliknik	0.4	3.5	15	70
bio_engineered_krahbu	0.35	2	1	70
bio_engineered_kusak	0.4	3	1	70
bio_engineered_kwi	0.6	1.8	5	70
bio_engineered_langlatch	0.4	2	1	70
bio_engineered_malkloc	0.3	0.75	20	70
bio_engineered_mawgax	0.35	2	5	70
bio_engineered_merek	0.8	2.5	25	70
bio_engineered_mott	0.3	2	1	70
bio_engineered_murra	0.75	2.5	5	70
bio_engineered_narglatch	0.25	2	5	70
bio_engineered_piket	0.6	2	25	70
bio_engineered_pugoriss	0.35	2.3	5	70
bio_engineered_rancor	0.5	1.5	35	70
bio_engineered_roba	0.4	2	1	70
bio_engineered_ronto	0.45	1.6	15	70
bio_engineered_sand_panther	0.3	3	10	70
bio_engineered_sharnaff	0.6	2	25	70
bio_engineered_shear_mite	0.3	2	1	70
bio_engineered_slice_hound	0.4	3	1	70
bio_engineered_snorbal	0.4	2.5	15	70
bio_engineered_squall	0.5	4	1	70
bio_engineered_swirl_prong	0.4	2	1	70
bio_engineered_thune	0.4	2	15	70
bio_engineered_torton	0.2	1.2	20	70
bio_engineered_tusk_cat	0.5	2.5	5	70
bio_engineered_tybis	0.5	2	15	70
bio_engineered_veermok	0.5	2.5	10	70
bio_engineered_verne	0.4	2	5	70
bio_engineered_vesp	0.7	3.5	15	70
bio_engineered_vir_vur	0.6	4	1	70
bio_engineered_woolamander	0.5	2.5	10	70
bio_engineered_zucca_boar	0.6	2.5	5	70
