item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_event_imperial_cookies_01_01	2500						0		"See library.utils for the int value of the classes. 0 is ""all"" but will only show if there are no items for the opener's class."
item_event_imperial_chocolate_01_01	2000						0		"So in the case of this table only traders will see the ""all"" items."
item_event_imperial_decorative_cookies_01_01		5							
item_event_imperial_decorative_chocolate_01_01		5							
item_event_rebel_decorative_candy_01_01		5							
item_event_rebel_decorative_drink_01_01		5							
item_empire_day_imperial_fireworks		5							
item_empire_day_imperial_sandtrooper_backpack		15							
item_empire_day_imperial_standing_sign_02_01		20							
item_empire_day_imperial_hanging_sign_02_01		20							
item_empire_day_imperial_banner_01_01		20							
item_empire_day_poster_rebel_resistance		20							
item_empire_day_poster_imperial_recruitement		20							
item_empire_day_poster_rebel_resistance_torn		20							
item_empire_day_poster_imperial_recruitement_defaced		20							
object/tangible/deed/vehicle_deed/landspeeder_tantive4_deed.iff		20							
