item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_event_lifeday_monkey_cage		75							class 11 is actually Rebel and class 10 is actually Imperial.
item_event_lifeday_bandolier		75							
item_event_lifeday_holo_table		50							This vendor table is for the REBEL lifeday vendor.
item_event_lifeday_family_painting		50							Which means that everything on here is paid for using
item_event_lifeday_bantha_surprise_recipe		50							Rebel lifeday tokens and cannot be purchased by Imperialls
item_event_lifeday_proton_chair		50							unless also sold by the Imperiall lifeday vendor.
item_event_lifeday_aquarium		25							
item_event_lifeday_decorated_tree		25							
item_event_lifeday_tree		25							
item_event_lifeday_present_pile		25							
item_event_lifeday_gcw_rebel_disk		50					11		
item_lifeday_09_wookiee_cookie_decorative		10							
item_lifeday_09_hoth_chocolate_decorative		10							
item_lifeday_09_jacket_01		75							
item_lifeday_09_fireplace_01		60
item_lifeday_09_fireplace_02		50
item_lifeday_09_lamp_01		40
item_lifeday_09_lamp_02		30
item_lifeday_09_painting		50
item_lifeday_costume_lifeday_monkeylizard		15
item_costume_kit_holiday		2
