quest_name	completion_number	note
s	i[required]	s
restuss_imperial_carbine_crafting_1	500	Lt Pofko - Barracks
restuss_imperial_carbine_crafting_2	250	
restuss_imperial_soldier_1	1200	Lt Gregor - Command
restuss_imperial_soldier_2	500	
restuss_imperial_space_destroy_1	600	Lt Wulf - Comm
restuss_imperial_space_destroy_2	300	
restuss_imperial_space_mining_1	300	Lt Wholding - Logistics
restuss_imperial_space_mining_2	150	
restuss_rebel_carbine_crafting_1	500	Lt Ingri - Barracks
restuss_rebel_carbine_crafting_2	250	
restuss_rebel_space_destroy_1	600	Lt Grollo - Communications
restuss_rebel_space_destroy_2	300	
restuss_rebel_space_mining_1	300	Lt Romer - Logistics
restuss_rebel_space_mining_2	150	
restuss_rebel_stormtrooper_1	1200	Lt Olvog - Command
restuss_rebel_stormtrooper_2	500	
