TEMPLATE	COMMAND
s	s
object/tangible/furniture/city/fountain_brazier_round.iff	place_fountain
object/tangible/furniture/city/fountain_brazier_square.iff	place_fountain
object/tangible/furniture/city/fountain_circle.iff	place_fountain
object/tangible/furniture/city/fountain_contemplate.iff	place_fountain
object/tangible/furniture/city/fountain_generic.iff	place_fountain
object/tangible/furniture/city/fountain_heroic.iff	place_fountain
object/tangible/furniture/city/fountain_rectangle.iff	place_fountain
object/tangible/furniture/city/statue_gungan_head.iff	place_statue
object/tangible/furniture/city/statue_sentinel_01.iff	place_statue
object/tangible/furniture/city/statue_sentinel_02.iff	place_statue
object/tangible/furniture/city/statue_tatooine_sunball.iff	place_statue
object/tangible/furniture/city/statue_weird_01.iff	place_statue
object/tangible/furniture/city/statue_weird_02.iff	place_statue
object/tangible/furniture/city/streetlamp_large_01.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_large_02.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_large_blue_01.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_large_blue_02.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_large_green_01.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_large_green_02.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_large_red_01.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_large_red_02.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_med_01.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_med_02.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_med_blue_01.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_med_blue_02.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_med_green_01.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_med_green_02.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_med_red_01.iff	place_streetlamp
object/tangible/furniture/city/streetlamp_med_red_02.iff	place_streetlamp
object/tangible/furniture/city/tie_bomber_event_reward.iff	place_statue
object/tangible/furniture/city/xwing_event_reward.iff	place_statue
object/tangible/furniture/decorative/streetlamp.iff	place_streetlamp
object/tangible/furniture/city/flag_city_01.iff	place_streetlamp
object/tangible/furniture/city/flag_city_02.iff	place_streetlamp
object/tangible/furniture/city/flag_city_03.iff	place_streetlamp
object/tangible/furniture/city/flag_city_04.iff	place_streetlamp
object/tangible/furniture/city/flag_city_05.iff	place_streetlamp
object/tangible/furniture/city/flag_city_06.iff	place_streetlamp
object/tangible/furniture/city/flag_city_07.iff	place_streetlamp
object/tangible/furniture/city/flag_city_08.iff	place_streetlamp
object/tangible/furniture/city/flag_city_09.iff	place_streetlamp
object/tangible/furniture/city/flag_city_10.iff	place_streetlamp
object/tangible/furniture/city/flag_city_11.iff	place_streetlamp
object/tangible/furniture/city/flag_city_12.iff	place_streetlamp
object/tangible/holiday/empire_day/empire_day_imperial_banner.iff	place_streetlamp
object/tangible/holiday/empire_day/remembrance_day_rebel_banner.iff	place_streetlamp
object/tangible/tcg/series5/combine_object_itv_atat_head.iff	place_statue
