STRING	TEMPLATE
s	s
@city/city:st_architect	object/tangible/skill_trainer/architect_trainer.iff
@city/city:st_armorsmith	object/tangible/skill_trainer/armorsmith_trainer.iff
@city/city:st_artisan	object/tangible/skill_trainer/artisan_trainer.iff
@city/city:st_bioengineer	object/tangible/skill_trainer/farmer_trainer.iff
@city/city:st_bountyhunter	object/tangible/skill_trainer/bountyhunter_trainer.iff
@city/city:st_brawler	object/tangible/skill_trainer/brawler_trainer.iff
@city/city:st_carbine	object/tangible/skill_trainer/carbine_trainer.iff
@city/city:st_chef	object/tangible/skill_trainer/chef_trainer.iff
@city/city:st_combatmedic	object/tangible/skill_trainer/combatmedic_trainer.iff
@city/city:st_commando	object/tangible/skill_trainer/commando_trainer.iff
@city/city:st_creaturehandler	object/tangible/skill_trainer/creaturehandler_trainer.iff
@city/city:st_dancer	object/tangible/skill_trainer/dancer_trainer.iff
@city/city:st_doctor	object/tangible/skill_trainer/doctor_trainer.iff
@city/city:st_droidengineer	object/tangible/skill_trainer/droidengineer_trainer.iff
@city/city:st_entertainer	object/tangible/skill_trainer/entertainer_trainer.iff
@city/city:st_1hsword	object/tangible/skill_trainer/1hsword_trainer.iff
@city/city:st_imagedesigner	object/tangible/skill_trainer/imagedesigner_trainer.iff
@city/city:st_marksman	object/tangible/skill_trainer/marksman_trainer.iff
@city/city:st_medic	object/tangible/skill_trainer/medic_trainer.iff
@city/city:st_merchant	object/tangible/skill_trainer/merchant_trainer.iff
@city/city:st_musician	object/tangible/skill_trainer/musician_trainer.iff
@city/city:st_pistol	object/tangible/skill_trainer/pistol_trainer.iff
@city/city:st_polearm	object/tangible/skill_trainer/polearm_trainer.iff
@city/city:st_politician	object/tangible/skill_trainer/politician_trainer.iff
@city/city:st_ranger	object/tangible/skill_trainer/ranger_trainer.iff
@city/city:st_rifleman	object/tangible/skill_trainer/rifleman_trainer.iff
@city/city:st_scout	object/tangible/skill_trainer/scout_trainer.iff
@city/city:st_smuggler	object/tangible/skill_trainer/smuggler_trainer.iff
@city/city:st_squadleader	object/tangible/skill_trainer/squadleader_trainer.iff
@city/city:st_2hsword	object/tangible/skill_trainer/2hsword_trainer.iff
@city/city:st_tailor	object/tangible/skill_trainer/tailor_trainer.iff
@city/city:st_unarmed	object/tangible/skill_trainer/unarmed_trainer.iff
@city/city:st_weaponsmith	object/tangible/skill_trainer/weaponsmith_trainer.iff
