creation time	creation time epoch	cluster	city id	city hall id
c	i	s	i	c
Thu Nov 13 11:22:46 2003 Pacific Standard Time	1068751366	Ahazi	69001	14270723837
Thu Nov 13 11:36:20 2003 Pacific Standard Time	1068752180	Ahazi	53003	14272789705
Thu Nov 13 11:55:06 2003 Pacific Standard Time	1068753306	Ahazi	76004	14286754435
Thu Nov 13 12:00:08 2003 Pacific Standard Time	1068753608	Ahazi	51002	14253755477
Thu Nov 13 12:35:52 2003 Pacific Standard Time	1068755752	Ahazi	44001	14263799155
Thu Nov 13 12:38:36 2003 Pacific Standard Time	1068755916	Ahazi	76007	14286832008
Thu Nov 13 12:56:31 2003 Pacific Standard Time	1068756991	Ahazi	64001	14281814905
Thu Nov 13 13:16:05 2003 Pacific Standard Time	1068758165	Ahazi	44003	14263852676
Thu Nov 13 13:55:03 2003 Pacific Standard Time	1068760503	Ahazi	46005	14279880878
Thu Nov 13 14:16:32 2003 Pacific Standard Time	1068761792	Ahazi	53007	14273108569
Thu Nov 13 15:40:11 2003 Pacific Standard Time	1068766811	Ahazi	46007	14279998161
Thu Nov 13 20:17:57 2003 Pacific Standard Time	1068783477	Ahazi	58003	14269328979
Thu Nov 13 20:39:32 2003 Pacific Standard Time	1068784772	Ahazi	58004	14269360105
Thu Nov 13 21:57:47 2003 Pacific Standard Time	1068789467	Ahazi	38004	14290890791
Sun Nov 23 22:39:29 2003 Pacific Standard Time	1069655969	Ahazi	59003	15309487072
Sat Dec 13 20:13:33 2003 Pacific Standard Time	1071375213	Ahazi	60004	16889735146
Tue Dec 16 08:59:38 2003 Pacific Standard Time	1071593978	Ahazi	56001	17119186887
Tue Dec 16 13:39:53 2003 Pacific Standard Time	1071610793	Ahazi	55003	17118674131
Tue Dec 16 19:49:54 2003 Pacific Standard Time	1071632994	Ahazi	44008	17100692648
Fri Dec 19 15:55:43 2003 Pacific Standard Time	1071878143	Ahazi	43002	17379814985
Fri Jan 23 20:08:37 2004 Pacific Standard Time	1074917317	Ahazi	52002	20753513781
Wed Jan 28 18:40:27 2004 Pacific Standard Time	1075344027	Ahazi	67004	21215231681
Fri Feb 13 00:34:36 2004 Pacific Standard Time	1076661276	Ahazi	48006	22638470295
Thu Feb 19 15:58:30 2004 Pacific Standard Time	1077235110	Ahazi	67008	23286952361
Mon Mar 01 22:44:38 2004 Pacific Standard Time	1078209878	Ahazi	69007	24368553314
Tue Mar 23 07:53:48 2004 Pacific Daylight Time	1080053628	Ahazi	61001	26548756437
Mon Mar 29 16:48:51 2004 Pacific Daylight Time	1080604131	Ahazi	49004	27122107013
Sat May 01 18:44:06 2004 Pacific Daylight Time	1083462246	Ahazi	93001	30515840658
Thu May 06 09:18:58 2004 Pacific Daylight Time	1083860338	Ahazi	53011	31111920223
Sat May 08 09:28:00 2004 Pacific Daylight Time	1084033680	Ahazi	59009	31316415358
Mon May 31 17:51:35 2004 Pacific Daylight Time	1086051095	Ahazi	70005	34088572893
Sun Jun 06 16:39:56 2004 Pacific Daylight Time	1086565196	Ahazi	58001	34952314811
Mon Jun 07 00:54:58 2004 Pacific Daylight Time	1086594898	Ahazi	82003	34991731936
Thu Jun 17 21:09:08 2004 Pacific Daylight Time	1087531748	Ahazi	77002	36457928482
Wed Jul 07 21:16:09 2004 Pacific Daylight Time	1089260169	Ahazi	57002	39732917655
Fri Jul 09 20:47:02 2004 Pacific Daylight Time	1089431222	Ahazi	70007	40087182768
Sun Jul 18 19:35:48 2004 Pacific Daylight Time	1090204548	Ahazi	72004	41785171491
Sat Jul 24 21:23:23 2004 Pacific Daylight Time	1090729403	Ahazi	71003	43125876780
Thu Aug 12 22:30:23 2004 Pacific Daylight Time	1092375023	Ahazi	78003	46779826266
Sat Aug 14 07:29:03 2004 Pacific Daylight Time	1092493743	Ahazi	83001	47119432153
Fri Sep 03 17:19:20 2004 Pacific Daylight Time	1094257160	Ahazi	66005	51112507473
Thu Sep 09 20:46:00 2004 Pacific Daylight Time	1094787960	Ahazi	52004	52550158160
Tue Sep 14 16:42:04 2004 Pacific Daylight Time	1095205324	Ahazi	37001	53533801793
Thu Sep 16 11:08:37 2004 Pacific Daylight Time	1095358117	Ahazi	83003	53906529560
Tue Oct 19 13:21:33 2004 Pacific Daylight Time	1098217293	Ahazi	43006	60368452963
Tue Nov 09 17:37:41 2004 Pacific Standard Time	1100050661	Ahazi	96001	64235323879
Sat Nov 13 00:44:45 2004 Pacific Standard Time	1100335485	Ahazi	109001	64909397449
Sat Dec 18 15:11:19 2004 Pacific Standard Time	1103411479	Ahazi	102002	69502085674
Wed Jan 05 19:15:01 2005 Pacific Standard Time	1104981301	Ahazi	102004	71823272449
Fri Feb 11 07:56:01 2005 Pacific Standard Time	1108137361	Ahazi	91001	77816464953
Wed Feb 23 23:12:47 2005 Pacific Standard Time	1109229167	Ahazi	87004	79539874677
Thu Feb 24 15:54:50 2005 Pacific Standard Time	1109289290	Ahazi	82004	79695333487
Fri Feb 25 11:43:13 2005 Pacific Standard Time	1109360593	Ahazi	89002	79828779386
Sun Feb 27 18:55:27 2005 Pacific Standard Time	1109559327	Ahazi	102003	80251093380
Tue Mar 01 20:22:43 2005 Pacific Standard Time	1109737363	Ahazi	93004	80595212051
Wed Mar 02 16:01:32 2005 Pacific Standard Time	1109808092	Ahazi	101002	80729421713
Tue Mar 08 14:05:39 2005 Pacific Standard Time	1110319539	Ahazi	82001	81599524483
Sat Mar 12 03:35:06 2005 Pacific Standard Time	1110627306	Ahazi	71010	82256866129
Tue Mar 15 14:06:45 2005 Pacific Daylight Time	1110920805	Ahazi	104002	82864376475
Tue Mar 22 13:51:37 2005 Pacific Daylight Time	1111524697	Ahazi	76006	84089014139
Mon Mar 28 22:52:43 2005 Pacific Daylight Time	1112075563	Ahazi	67003	85220208154
Sun Apr 03 07:52:08 2005 Pacific Daylight Time	1112539928	Ahazi	82005	86219073216
Sun May 08 19:49:47 2005 Pacific Daylight Time	1115606987	Ahazi	96003	92569240082
Tue May 24 11:53:53 2005 Pacific Daylight Time	1116960833	Ahazi	124001	95098760741
Sun Jun 05 12:17:10 2005 Pacific Daylight Time	1117999030	Ahazi	108001	96899639612
Sun Jun 05 14:12:20 2005 Pacific Daylight Time	1118005940	Ahazi	91007	96934482320
Sat Jun 11 16:26:35 2005 Pacific Daylight Time	1118532395	Ahazi	102001	97946898994
Wed Jun 15 18:07:56 2005 Pacific Daylight Time	1118884076	Ahazi	118001	98525745355
Sat Jun 25 10:06:04 2005 Pacific Daylight Time	1119719164	Ahazi	99004	99932727373
Sun Jun 26 10:45:40 2005 Pacific Daylight Time	1119807940	Ahazi	89005	100109070968
Fri Jul 01 06:18:19 2005 Pacific Daylight Time	1120223899	Ahazi	123002	100873933734
Sun Jul 10 20:38:31 2005 Pacific Daylight Time	1121053111	Ahazi	92001	102199566995
Thu Jul 21 09:15:30 2005 Pacific Daylight Time	1121962530	Ahazi	112003	103674091824
Fri Jul 29 08:39:12 2005 Pacific Daylight Time	1122651552	Ahazi	104001	104745400771
Wed Aug 03 15:09:05 2005 Pacific Daylight Time	1123106945	Ahazi	88006	105454441491
Sun Aug 07 21:08:04 2005 Pacific Daylight Time	1123474084	Ahazi	122001	106062178806
Sun Aug 21 23:04:40 2005 Pacific Daylight Time	1124690680	Ahazi	118006	108160694339
Thu Sep 01 10:33:27 2005 Pacific Daylight Time	1125596007	Ahazi	107001	109717883906
Mon Sep 05 14:13:49 2005 Pacific Daylight Time	1125954829	Ahazi	104006	110313074057
Wed Sep 07 18:34:26 2005 Pacific Daylight Time	1126143266	Ahazi	96006	110617160304
Sat Sep 10 09:04:18 2005 Pacific Daylight Time	1126368258	Ahazi	119004	111083664746
Sat Sep 10 11:05:16 2005 Pacific Daylight Time	1126375516	Ahazi	92002	111065033504
Wed Sep 28 00:01:18 2005 Pacific Daylight Time	1127890878	Ahazi	125004	113262132081
Mon Oct 03 17:08:46 2005 Pacific Daylight Time	1128384526	Ahazi	120007	114041655205
Thu Oct 06 19:25:34 2005 Pacific Daylight Time	1128651934	Ahazi	89006	114443744784
Thu Oct 06 20:43:25 2005 Pacific Daylight Time	1128656605	Ahazi	89007	114490888758
Wed Oct 12 20:57:25 2005 Pacific Daylight Time	1129175845	Ahazi	103001	115315835725
Wed Oct 12 21:21:56 2005 Pacific Daylight Time	1129177316	Ahazi	93005	115290322362
Fri Dec 09 04:00:42 2005 Pacific Standard Time	1134129642	Ahazi	139001	122245709986
Wed Dec 14 07:04:18 2005 Pacific Standard Time	1134572658	Ahazi	126002	122863403634
Fri Jan 06 18:57:24 2006 Pacific Standard Time	1136602644	Ahazi	146001	125410185741
Wed Mar 22 15:10:09 2006 Pacific Daylight Time	1143065409	Ahazi	107004	133484484854
Mon Apr 03 16:48:09 2006 Pacific Daylight Time	1144108089	Ahazi	109003	134635198481
Thu May 18 14:05:38 2006 Pacific Daylight Time	1147986338	Ahazi	115005	139116907763
Tue May 23 16:48:07 2006 Pacific Daylight Time	1148428087	Ahazi	146002	139609887920
Mon Jun 05 14:05:41 2006 Pacific Daylight Time	1149541541	Ahazi	145003	140778425246
Sun Jul 02 19:57:23 2006 Pacific Daylight Time	1151895443	Ahazi	119007	143430716493
Thu Jul 13 18:17:38 2006 Pacific Daylight Time	1152839858	Ahazi	128002	144537305355
Thu Aug 24 13:03:01 2006 Pacific Daylight Time	1156449781	Ahazi	140002	148906182540
Fri Sep 15 12:51:20 2006 Pacific Daylight Time	1158349880	Ahazi	107005	151016662321
Sun Sep 24 01:01:54 2006 Pacific Daylight Time	1159084914	Ahazi	140003	151771178392
Sun Oct 01 20:35:30 2006 Pacific Daylight Time	1159760130	Ahazi	119003	152488963530
Mon Nov 06 19:10:56 2006 Pacific Standard Time	1162869056	Ahazi	135001	155544045724
Thu Nov 23 11:08:53 2006 Pacific Standard Time	1164308933	Ahazi	144004	157055709876
Fri Nov 24 20:37:18 2006 Pacific Standard Time	1164429438	Ahazi	69003	157108441783
Sat Dec 02 20:51:14 2006 Pacific Standard Time	1165121474	Ahazi	140004	157833234373
Sun Dec 31 16:54:41 2006 Pacific Standard Time	1167612881	Ahazi	135004	160246684926
Sat Jan 13 12:43:11 2007 Pacific Standard Time	1168720991	Ahazi	108002	161386481555
Sun Feb 11 19:17:59 2007 Pacific Standard Time	1171250279	Ahazi	127001	163806633957
Fri Apr 06 22:00:52 2007 Pacific Daylight Time	1175922052	Ahazi	79001	168748195378
Mon Apr 23 16:36:44 2007 Pacific Daylight Time	1177371404	Ahazi	127002	170542981784
Mon May 21 13:24:30 2007 Pacific Daylight Time	1179779070	Ahazi	112002	173045326476
Wed Jun 06 21:05:03 2007 Pacific Daylight Time	1181189103	Ahazi	138005	174569268945
Fri Jun 22 00:15:57 2007 Pacific Daylight Time	1182496557	Ahazi	147001	176102338040
Sun Jun 24 02:44:58 2007 Pacific Daylight Time	1182678298	Ahazi	92005	176343584591
Thu Jul 05 16:37:03 2007 Pacific Daylight Time	1183678623	Ahazi	125001	177756441551
Sun Jul 15 01:44:11 2007 Pacific Daylight Time	1184489051	Ahazi	126005	178706721320
Mon Jul 23 23:28:31 2007 Pacific Daylight Time	1185258511	Ahazi	139004	179520430989
Sun Jul 29 17:42:58 2007 Pacific Daylight Time	1185756178	Ahazi	135003	179999040349
Mon Jul 30 20:11:37 2007 Pacific Daylight Time	1185851497	Ahazi	81001	180060088727
Tue Jul 31 22:02:57 2007 Pacific Daylight Time	1185944577	Ahazi	144003	180176051871
Thu Aug 09 23:39:31 2007 Pacific Daylight Time	1186727971	Ahazi	133001	181003453898
Tue Aug 14 10:49:14 2007 Pacific Daylight Time	1187113754	Ahazi	74002	181340569177
Wed Aug 15 13:37:17 2007 Pacific Daylight Time	1187210237	Ahazi	80002	181442155795
Sat Aug 25 02:26:51 2007 Pacific Daylight Time	1188034011	Ahazi	133002	182261422145
Sat Sep 01 04:12:06 2007 Pacific Daylight Time	1188645126	Ahazi	105005	182804761326
Mon Sep 03 07:56:20 2007 Pacific Daylight Time	1188831380	Ahazi	136002	183026889763
