ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	COUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	s	s	s	s	s	i	i	i	i	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,7,8		itp_hethrir_01_00	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																									
quest.task.ground.wait_for_tasks	@quest/ground/itp_hethrir_01:task01_journal_entry_title	@quest/ground/itp_hethrir_01:task01_journal_entry_description	1			0	2		itp_hethrir_01_01	1				0	none	none				1		1			1	talus	-2277	20	2245			@quest/ground/itp_hethrir_01:task01_waypoint_name	0	0.0	0.0	0.0		quest/itp_hethrir_01	itp_hethrir_01_01a	@quest/ground/itp_hethrir_01:task01_task_display_string_1	quest/itp_hethrir_01	itp_hethrir_01_01b	@quest/ground/itp_hethrir_01:task01_task_display_string_2													0																					
quest.task.ground.comm_player	@quest/ground/itp_hethrir_01:task02_journal_entry_title	@quest/ground/itp_hethrir_01:task02_journal_entry_description	1			0	3		itp_hethrir_01_02a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					@quest/ground/itp_hethrir_01:task02_comm_message_text	object/mobile/lord_hethrir.iff																			
quest.task.ground.destroy_multi_and_loot	@quest/ground/itp_hethrir_01:task03_journal_entry_title	@quest/ground/itp_hethrir_01:task03_journal_entry_description	1			0	4		itp_hethrir_01_02	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0			itp_hethrir_rebel_nashal_camper			You get a Rebel helmet	1	45	12	12	0										
quest.task.ground.destroy_multi	@quest/ground/itp_hethrir_01:task04_journal_entry_title	@quest/ground/itp_hethrir_01:task04_journal_entry_description	1			0	5		itp_hethrir_01_03	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0			itp_hethrir_selonian_advocate								0	1									
quest.task.ground.wait_for_signal	@quest/ground/itp_hethrir_01:task05_journal_entry_title	@quest/ground/itp_hethrir_01:task05_journal_entry_description	1			0	6		itp_hethrir_01_04	1				0	none	none				1		1			1	talus	4520	2	5236			@quest/ground/itp_hethrir_01:task05_waypoint_name	0	0.0	0.0	0.0																				0													itp_hethrir_01_04	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/itp_hethrir_01:task06_journal_entry_title	@quest/ground/itp_hethrir_01:task06_journal_entry_description	1			0			itp_hethrir_01_05	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0													itp_hethrir_01_05	0			0		0	0	0
quest.task.ground.destroy_multi	@quest/ground/itp_hethrir_01:task07_journal_entry_title	@quest/ground/itp_hethrir_01:task07_journal_entry_description	1			0			itp_hethrir_01_01b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0			itp_hethrir_rebel_commando								0	1									
quest.task.ground.destroy_multi	@quest/ground/itp_hethrir_01:task08_journal_entry_title	@quest/ground/itp_hethrir_01:task08_journal_entry_description	1			0			itp_hethrir_01_01a	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0			itp_rebel_trooper_elite_88								0	14									
