ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	i	s	i	i	i	i	s	s	s	s	i	i	i	i	s	s
quest.task.ground.wait_for_signal	@quest/ground/corellia_disappearances_1_discovery:task00_journal_entry_title	@quest/ground/corellia_disappearances_1_discovery:task00_journal_entry_description	1			0	1		disappear_1_angela	1				0	none	none				1		1			1	corellia	3166	290	4989			@quest/ground/corellia_disappearances_1_discovery:task00_waypoint_name	0	0.0	0.0	0.0		corellia_disappearances_1_angela	0			0		0	0	0	0																		
quest.task.ground.wait_for_signal	@quest/ground/corellia_disappearances_1_discovery:task01_journal_entry_title	@quest/ground/corellia_disappearances_1_discovery:task01_journal_entry_description	1			0	2		disappear_1_hike_master	1				0	none	none				1		1			1	corellia	3871.13989257812	269.269989013672	5626.52978515625			@quest/ground/corellia_disappearances_1_discovery:task01_waypoint_name	0	0.0	0.0	0.0		corellia_disappearances_1_hike_master	0			0		0	0	0	0																		
quest.task.ground.go_to_location	@quest/ground/corellia_disappearances_1_discovery:task02_journal_entry_title	@quest/ground/corellia_disappearances_1_discovery:task02_journal_entry_description	1			0	3			1				0	none	none				1		1			1	corellia	3904	276	5761			@quest/ground/corellia_disappearances_1_discovery:task02_waypoint_name	0	0.0	0.0	0.0											0	10.0																	
quest.task.ground.retrieve_item	@quest/ground/corellia_disappearances_1_discovery:task03_journal_entry_title	@quest/ground/corellia_disappearances_1_discovery:task03_journal_entry_description	1			0	4			0				0	none	none				1		1			1	corellia	3904	276	5761			@quest/ground/corellia_disappearances_1_discovery:task03_waypoint_name	0	0.0	0.0	0.0											0		object/tangible/quest/corellia_disappearances_1_first_stop.iff	1	@quest/ground/corellia_disappearances_1_discovery:task03_item_name	100	0	0	0	@quest/ground/corellia_disappearances_1_discovery:task03_retrieve_menu_text									
quest.task.ground.show_message_box	@quest/ground/corellia_disappearances_1_discovery:task04_journal_entry_title	@quest/ground/corellia_disappearances_1_discovery:task04_journal_entry_description	1			0	5			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					@quest/ground/corellia_disappearances_1_discovery:task04_message_box_title	@quest/ground/corellia_disappearances_1_discovery:task04_message_box_text		-1	-1	-1	-1		
quest.task.ground.go_to_location	@quest/ground/corellia_disappearances_1_discovery:task05_journal_entry_title	@quest/ground/corellia_disappearances_1_discovery:task05_journal_entry_description	1			0	6			0				0	none	none				1		1			1	corellia	3933	243	5846			@quest/ground/corellia_disappearances_1_discovery:task05_waypoint_name	0	0.0	0.0	0.0											0	10.0																	
quest.task.ground.show_message_box	@quest/ground/corellia_disappearances_1_discovery:task06_journal_entry_title	@quest/ground/corellia_disappearances_1_discovery:task06_journal_entry_description	1			0	7			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					@quest/ground/corellia_disappearances_1_discovery:task06_message_box_title	@quest/ground/corellia_disappearances_1_discovery:task06_message_box_text		-1	-1	-1	-1		
quest.task.ground.go_to_location	@quest/ground/corellia_disappearances_1_discovery:task07_journal_entry_title	@quest/ground/corellia_disappearances_1_discovery:task07_journal_entry_description	1			0	8			1				0	none	none				1		1			1	corellia	4087	303	5912			@quest/ground/corellia_disappearances_1_discovery:task07_waypoint_name	0	0.0	0.0	0.0											0	10.0																	
quest.task.ground.retrieve_item	@quest/ground/corellia_disappearances_1_discovery:task08_journal_entry_title	@quest/ground/corellia_disappearances_1_discovery:task08_journal_entry_description	1			0	9			0				0	none	none				1		1			1	corellia	4087	303	5912			@quest/ground/corellia_disappearances_1_discovery:task08_waypoint_name	0	0.0	0.0	0.0											0		object/tangible/quest/corellia_disappearances_1_second_stop.iff	1	@quest/ground/corellia_disappearances_1_discovery:task08_item_name	100	0	0	0	@quest/ground/corellia_disappearances_1_discovery:task08_retrieve_menu_text									
