ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	i	i	i	i	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi_and_loot	@quest/ground/jabba_porcellus:task00_journal_entry_title	@quest/ground/jabba_porcellus:task00_journal_entry_description	1			0	1		appetizer	1							1		1			1	tatooine	-5930	56	-5958			@quest/ground/jabba_porcellus:task00_waypoint_name	0	0.0	0.0	0.0			dune_lizard		Dune Lizard Gizzard	13	100	0	0											
quest.task.ground.comm_player			0			0	2			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										@quest/ground/jabba_porcellus:task01_comm_message_text	object/mobile/dressed_porcellus.iff									
quest.task.ground.destroy_multi_and_loot	@quest/ground/jabba_porcellus:task02_journal_entry_title	@quest/ground/jabba_porcellus:task02_journal_entry_description	1			0	3		soup	1							1		1			1	tatooine	-4946	35	-6349			@quest/ground/jabba_porcellus:task02_waypoint_name	0	0.0	0.0	0.0			rock_beetle		Beetle Carcass	15	100	0	0											
quest.task.ground.comm_player			0			0	4			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										@quest/ground/jabba_porcellus:task03_comm_message_text	object/mobile/dressed_porcellus.iff									
quest.task.ground.destroy_multi_and_loot	@quest/ground/jabba_porcellus:task04_journal_entry_title	@quest/ground/jabba_porcellus:task04_journal_entry_description	1			0	5		salad	1							1		1			1	tatooine	-3935	40	-4854			@quest/ground/jabba_porcellus:task04_waypoint_name	0	0.0	0.0	0.0			squill_mountain		Squill Liver	14	100	0	0											
quest.task.ground.comm_player			0			0	6			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										@quest/ground/jabba_porcellus:task05_comm_message_text	object/mobile/dressed_porcellus.iff									
quest.task.ground.destroy_multi_and_loot	@quest/ground/jabba_porcellus:task06_journal_entry_title	@quest/ground/jabba_porcellus:task06_journal_entry_description	1			0	7		entree	1							1		1			1	tatooine	-4643	35	-4727			@quest/ground/jabba_porcellus:task06_waypoint_name	0	0.0	0.0	0.0			dragonet		Dragonet Flanks	16	100	0	0											
quest.task.ground.comm_player			0			0	8			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										@quest/ground/jabba_porcellus:task07_comm_message_text	object/mobile/dressed_porcellus.iff									
quest.task.ground.destroy_multi_and_loot	@quest/ground/jabba_porcellus:task08_journal_entry_title	@quest/ground/jabba_porcellus:task08_journal_entry_description	1			0	9		dessert	1							1		1			1	tatooine	-4517	42	-3997			@quest/ground/jabba_porcellus:task08_waypoint_name	0	0.0	0.0	0.0			zucca_boar		Perfectly Marbled Zucca Boar Meat	2	60	0	0											
quest.task.ground.comm_player			0			0	10			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										@quest/ground/jabba_porcellus:task09_comm_message_text	object/mobile/dressed_porcellus.iff									
quest.task.ground.destroy_multi_and_loot	@quest/ground/jabba_porcellus:task10_journal_entry_title	@quest/ground/jabba_porcellus:task10_journal_entry_description	1			0	11		wine	1							1		1			1	tatooine	-3867	0.0	-4292			@quest/ground/jabba_porcellus:task10_waypoint_name	0	0.0	0.0	0.0			valarian		Corellian Merlot	19	90	0	0											
quest.task.ground.wait_for_signal	@quest/ground/jabba_porcellus:task11_journal_entry_title	@quest/ground/jabba_porcellus:task11_journal_entry_description	1			0			delivery	0							1		1			1	tatooine	-5857	90	-6175			@quest/ground/jabba_porcellus:task11_waypoint_name	0	0.0	0.0	0.0									0			completedPorcellus	0			0		0	0	0
