ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	i	s	i	s	i	s	i	s	s	i	i
quest.task.ground.show_message_box	@quest/ground/tatooine_eisley_answers:task00_journal_entry_title	@quest/ground/tatooine_eisley_answers:task00_journal_entry_description	1			0	1		tat_eisley_answers_e1	0							1		1			1	tatooine	3727	0.0	-4182			@quest/ground/tatooine_eisley_answers:task00_waypoint_name	0	0.0	0.0	0.0		@quest/ground/tatooine_eisley_answers:task00_message_box_title	@quest/ground/tatooine_eisley_answers:task00_message_box_text		-1	-1	-1	-1										
quest.task.ground.retrieve_item	@quest/ground/tatooine_eisley_answers:task01_journal_entry_title	@quest/ground/tatooine_eisley_answers:task01_journal_entry_description	1			0	2		tat_eisley_answers_e2	1							1		1			0	tatooine	3727	0.0	-4182			@quest/ground/tatooine_eisley_answers:task01_waypoint_name	0	0.0	0.0	0.0									object/tangible/quest/frn_all_security_terminal_wall_01.iff	1	@quest/ground/tatooine_eisley_answers:task01_item_name	100	@quest/ground/tatooine_eisley_answers:task01_retrieve_menu_text	0				
quest.task.ground.show_message_box	@quest/ground/tatooine_eisley_answers:task02_journal_entry_title	@quest/ground/tatooine_eisley_answers:task02_journal_entry_description	1			0	3		tat_eisley_answers_e3	0							1		1			1	tatooine	3727	0.0	-4182			@quest/ground/tatooine_eisley_answers:task02_waypoint_name	0	0.0	0.0	0.0		@quest/ground/tatooine_eisley_answers:task02_message_box_title	@quest/ground/tatooine_eisley_answers:task02_message_box_text		-1	-1	-1	-1										
quest.task.ground.retrieve_item	@quest/ground/tatooine_eisley_answers:task03_journal_entry_title	@quest/ground/tatooine_eisley_answers:task03_journal_entry_description	1			0	4		tat_eisley_answers_e4	1							1		1			1	tatooine	3727	0.0	-4182			@quest/ground/tatooine_eisley_answers:task03_waypoint_name	0	0.0	0.0	0.0									object/tangible/quest/frn_all_security_terminal_wall_02.iff	1	@quest/ground/tatooine_eisley_answers:task03_item_name	100	@quest/ground/tatooine_eisley_answers:task03_retrieve_menu_text	0				
quest.task.ground.show_message_box	@quest/ground/tatooine_eisley_answers:task04_journal_entry_title	@quest/ground/tatooine_eisley_answers:task04_journal_entry_description	1			0	5,11		tat_eisley_answers_e5	0							1		1			1	tatooine	3727	0.0	-4182			@quest/ground/tatooine_eisley_answers:task04_waypoint_name	0	0.0	0.0	0.0		@quest/ground/tatooine_eisley_answers:task04_message_box_title	@quest/ground/tatooine_eisley_answers:task04_message_box_text		-1	-1	-1	-1										
quest.task.ground.retrieve_item	@quest/ground/tatooine_eisley_answers:task05_journal_entry_title	@quest/ground/tatooine_eisley_answers:task05_journal_entry_description	1			0	6		tat_eisley_answers_e6	1							1		1			1	tatooine	3727	0.0	-4182			@quest/ground/tatooine_eisley_answers:task05_waypoint_name	0	0.0	0.0	0.0									object/tangible/quest/frn_all_security_terminal_wall_03.iff	1	@quest/ground/tatooine_eisley_answers:task05_item_name	100	@quest/ground/tatooine_eisley_answers:task05_retrieve_menu_text	0				
quest.task.ground.show_message_box	@quest/ground/tatooine_eisley_answers:task06_journal_entry_title	@quest/ground/tatooine_eisley_answers:task06_journal_entry_description	1			0	7		tat_eisley_answers_e7	0							1		1			1	tatooine	3727	0.0	-4182			@quest/ground/tatooine_eisley_answers:task06_waypoint_name	0	0.0	0.0	0.0		@quest/ground/tatooine_eisley_answers:task06_message_box_title	@quest/ground/tatooine_eisley_answers:task06_message_box_text		-1	-1	-1	-1										
quest.task.ground.retrieve_item	@quest/ground/tatooine_eisley_answers:task07_journal_entry_title	@quest/ground/tatooine_eisley_answers:task07_journal_entry_description	1			0	8		tat_eisley_answers_e8	1							1		1			1	tatooine	3727	0.0	-4182			@quest/ground/tatooine_eisley_answers:task07_waypoint_name	0	0.0	0.0	0.0									object/tangible/quest/frn_all_security_terminal_wall_04.iff	1	@quest/ground/tatooine_eisley_answers:task07_item_name	100	@quest/ground/tatooine_eisley_answers:task07_retrieve_menu_text	0				
quest.task.ground.show_message_box	@quest/ground/tatooine_eisley_answers:task08_journal_entry_title	@quest/ground/tatooine_eisley_answers:task08_journal_entry_description	1			0	9		tat_eisley_answers_e9	0							1		1			1	tatooine	3727	0.0	-4182			@quest/ground/tatooine_eisley_answers:task08_waypoint_name	0	0.0	0.0	0.0		@quest/ground/tatooine_eisley_answers:task08_message_box_title	@quest/ground/tatooine_eisley_answers:task08_message_box_text		-1	-1	-1	-1										
quest.task.ground.comm_player	@quest/ground/tatooine_eisley_answers:task09_journal_entry_title	@quest/ground/tatooine_eisley_answers:task09_journal_entry_description	1			0	10		tat_eisley_answers_e10	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0															@quest/ground/tatooine_eisley_answers:task09_comm_message_text	object/mobile/bib_fortuna.iff		
quest.task.ground.complete_quest	@quest/ground/tatooine_eisley_answers:task10_journal_entry_title	@quest/ground/tatooine_eisley_answers:task10_journal_entry_description	1			0			tat_eisley_answers_e11	1						tatooine_eisley_faceevil	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																		
quest.task.ground.timer	@quest/ground/tatooine_eisley_answers:task11_journal_entry_title	@quest/ground/tatooine_eisley_answers:task11_journal_entry_description	0			0	12		tat_eisley_answers_e5a	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																	10	14
quest.task.ground.comm_player	@quest/ground/tatooine_eisley_answers:task12_journal_entry_title	@quest/ground/tatooine_eisley_answers:task12_journal_entry_description	1			0			tat_eisley_answers_e5b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0															@quest/ground/tatooine_eisley_answers:task12_comm_message_text	object/mobile/dressed_noble_old_human_female_02.iff		
