ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	COUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	i	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	i	s
quest.task.ground.destroy_multi_and_loot	@quest/ground/jabba_ree_yees_v2:task00_journal_entry_title	@quest/ground/jabba_ree_yees_v2:task00_journal_entry_description	1			0	1		collectingBell	1							1		1			1	tatooine	-6740	52	-5647			@quest/ground/jabba_ree_yees_v2:task00_waypoint_name	0	0.0	0.0	0.0		tatooine_sand_splitter_knave			Gem Encrusted Bell	1	40	0	0																																				
quest.task.ground.comm_player	@quest/ground/jabba_ree_yees_v2:task01_journal_entry_title	@quest/ground/jabba_ree_yees_v2:task01_journal_entry_description	1			0	2,9,10			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										@quest/ground/jabba_ree_yees_v2:task01_comm_message_text	object/mobile/gran_male.iff																																		
quest.task.ground.wait_for_tasks	@quest/ground/jabba_ree_yees_v2:task02_journal_entry_title	@quest/ground/jabba_ree_yees_v2:task02_journal_entry_description	1			0	3		collectingBook	1							1		1			1	tatooine	-6740	52	-5647			@quest/ground/jabba_ree_yees_v2:task02_waypoint_name	0	0.0	0.0	0.0									0			quest/jabba_ree_yees_v2	collectingBook_b	@quest/ground/jabba_ree_yees_v2:task02_task_display_string_1	quest/jabba_ree_yees_v2	collectingBook_a	@quest/ground/jabba_ree_yees_v2:task02_task_display_string_2																												
quest.task.ground.comm_player	@quest/ground/jabba_ree_yees_v2:task03_journal_entry_title	@quest/ground/jabba_ree_yees_v2:task03_journal_entry_description	1			0	4,6,7,8			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										@quest/ground/jabba_ree_yees_v2:task03_comm_message_text	object/mobile/gran_male.iff																																		
quest.task.ground.wait_for_tasks	@quest/ground/jabba_ree_yees_v2:task04_journal_entry_title	@quest/ground/jabba_ree_yees_v2:task04_journal_entry_description	1			0	5		collectingCandle	1							1		1			1	tatooine	-6740	52	-5647			@quest/ground/jabba_ree_yees_v2:task04_waypoint_name	0	0.0	0.0	0.0									0			quest/jabba_ree_yees_v2	collectingCandle_a	@quest/ground/jabba_ree_yees_v2:task04_task_display_string_1	quest/jabba_ree_yees_v2	collectingCandle_b	@quest/ground/jabba_ree_yees_v2:task04_task_display_string_2	quest/jabba_ree_yees_v2	collectingCandle_c	@quest/ground/jabba_ree_yees_v2:task04_task_display_string_3																									
quest.task.ground.wait_for_signal	@quest/ground/jabba_ree_yees_v2:task05_journal_entry_title	@quest/ground/jabba_ree_yees_v2:task05_journal_entry_description	1			0			completedMission	1							1		1			1	tatooine	-5857	90	-6175			@quest/ground/jabba_ree_yees_v2:task05_waypoint_name	0	0.0	0.0	0.0									0																					reeYeesSaysYoureAWinner	0			0		0	0	0							
quest.task.ground.destroy_multi	@quest/ground/jabba_ree_yees_v2:task06_journal_entry_title	@quest/ground/jabba_ree_yees_v2:task06_journal_entry_description	1			0			collectingCandle_c	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		tatooine_sand_splitter_erib_kurrugh						0	0																														1						
quest.task.ground.destroy_multi	@quest/ground/jabba_ree_yees_v2:task07_journal_entry_title	@quest/ground/jabba_ree_yees_v2:task07_journal_entry_description	1			0			collectingCandle_b	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		tatooine_sand_splitter_saul_rouse						0	0																														1						
quest.task.ground.retrieve_item	@quest/ground/jabba_ree_yees_v2:task08_journal_entry_title	@quest/ground/jabba_ree_yees_v2:task08_journal_entry_description	1			0			collectingCandle_a	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0									0																															object/tangible/quest/tatooine_reeyees_warhead.iff	1	@quest/ground/jabba_ree_yees_v2:task08_item_name	100	0	@quest/ground/jabba_ree_yees_v2:task08_retrieve_menu_text
