ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	RADIUS	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	i	i	s	i	i	i	s	s	s	s	s	s	i
quest.task.ground.wait_for_tasks			0			0	1		tasklist	0						som_kenobi_main_quest_3_visible	1		1	0	tatooine	0.0	0.0	0.0				quest/som_kenobi_main_quest_spared	conduit1		quest/som_kenobi_main_quest_spared	conduit2		quest/som_kenobi_main_quest_spared	conduit3											0																						
quest.task.ground.wait_for_signal	@quest/ground/som_kenobi_main_quest_3:task01_journal_entry_title	@quest/ground/som_kenobi_main_quest_3:task01_journal_entry_description	0			0	2,5,8,10		talkKenobi2	0							1		1	0	tatooine	0.0	0.0	0.0																						0	talkedKenobi2	0			0		0	0	0													
quest.task.ground.timer			0			0	3,4			0							1		1	0	tatooine	0.0	0.0	0.0																																340	460											
quest.task.ground.encounter			0			0			encounter5	0							1		1	0	tatooine	0.0	0.0	0.0																						0												som_kenobi_dark_jedi_minion_4	1	20	30	0.0	0.0					
quest.task.ground.encounter			0			0			encounter4	0							1		1	0	tatooine	0.0	0.0	0.0																						0												som_kenobi_dark_jedi_minion_4	1	20	30	0.0	0.0					
quest.task.ground.timer			0			0	6,7			0							1		1	0	tatooine	0.0	0.0	0.0																																200	320											
quest.task.ground.encounter			0			0			encounter3	0							1		1	0	tatooine	0.0	0.0	0.0																						0												som_kenobi_dark_jedi_minion_2	1	20	30	0.0	0.0					
quest.task.ground.encounter			0			0			encounter2	0							1		1	0	tatooine	0.0	0.0	0.0																						0												som_kenobi_dark_jedi_minion_3	1	20	30	0.0	0.0					
quest.task.ground.timer			0			0	9			0							1		1	0	tatooine	0.0	0.0	0.0																																120	180											
quest.task.ground.encounter			0			0			encounter1	0							1		1	0	tatooine	0.0	0.0	0.0																						0												som_kenobi_dark_jedi_minion_1	1	20	30	0.0	0.0					
quest.task.ground.go_to_location	@quest/ground/som_kenobi_main_quest_3:task10_journal_entry_title	@quest/ground/som_kenobi_main_quest_3:task10_journal_entry_description	0			0	11			0							1		1	0	mustafar	-2694	42	6077																																								10				
quest.task.ground.wait_for_signal			0			0	12		talkKenobi3	0							1		1	0	tatooine	0.0	0.0	0.0																						0	talkedKenobi3	0			0		0	0	0													
quest.task.ground.destroy_multi			0			0	13		killSinistro	0							1		1	0	tatooine	0.0	0.0	0.0																						0													1						som_kenobi_dark_jedi_boss			0
quest.task.ground.complete_quest			0			0				0							1		1	0	tatooine	0.0	0.0	0.0																																												
