ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	i	i	i	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing			0			0	1,2,3,4,5,6			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																								
quest.task.ground.retrieve_item	@quest/ground/ep3_kachirho_survey_data:task01_journal_entry_title	@quest/ground/ep3_kachirho_survey_data:task01_journal_entry_description	1			0			beachData	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/survey_data_05.iff	1	@quest/ground/ep3_kachirho_survey_data:task01_item_name	100	0	0	0	@quest/ground/ep3_kachirho_survey_data:task01_retrieve_menu_text	0																																														
quest.task.ground.retrieve_item	@quest/ground/ep3_kachirho_survey_data:task02_journal_entry_title	@quest/ground/ep3_kachirho_survey_data:task02_journal_entry_description	1			0			rryattData	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/survey_data_04.iff	1	@quest/ground/ep3_kachirho_survey_data:task02_item_name	100	0	0	0	@quest/ground/ep3_kachirho_survey_data:task02_retrieve_menu_text	0																																														
quest.task.ground.retrieve_item	@quest/ground/ep3_kachirho_survey_data:task03_journal_entry_title	@quest/ground/ep3_kachirho_survey_data:task03_journal_entry_description	1			0			slaverData	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/survey_data_03.iff	1	@quest/ground/ep3_kachirho_survey_data:task03_item_name	100	0	0	0	@quest/ground/ep3_kachirho_survey_data:task03_retrieve_menu_text	0																																														
quest.task.ground.retrieve_item	@quest/ground/ep3_kachirho_survey_data:task04_journal_entry_title	@quest/ground/ep3_kachirho_survey_data:task04_journal_entry_description	1			0			etyyyData	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/survey_data_02.iff	1	@quest/ground/ep3_kachirho_survey_data:task04_item_name	100	0	0	0	@quest/ground/ep3_kachirho_survey_data:task04_retrieve_menu_text	0																																														
quest.task.ground.retrieve_item	@quest/ground/ep3_kachirho_survey_data:task05_journal_entry_title	@quest/ground/ep3_kachirho_survey_data:task05_journal_entry_description	1			0			kkowirData	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/quest/survey_data.iff	1	@quest/ground/ep3_kachirho_survey_data:task05_item_name	100	0	0	0	@quest/ground/ep3_kachirho_survey_data:task05_retrieve_menu_text	0																																														
quest.task.ground.wait_for_tasks	@quest/ground/ep3_kachirho_survey_data:task06_journal_entry_title	@quest/ground/ep3_kachirho_survey_data:task06_journal_entry_description	1			0	7			1	sound/music_themequest_acc_general.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										0	quest/ep3_kachirho_survey_data	kkowirData	@quest/ground/ep3_kachirho_survey_data:task06_task_display_string_1	quest/ep3_kachirho_survey_data	etyyyData	@quest/ground/ep3_kachirho_survey_data:task06_task_display_string_2	quest/ep3_kachirho_survey_data	slaverData	@quest/ground/ep3_kachirho_survey_data:task06_task_display_string_3	quest/ep3_kachirho_survey_data	rryattData	@quest/ground/ep3_kachirho_survey_data:task06_task_display_string_4	quest/ep3_kachirho_survey_data	beachData	@quest/ground/ep3_kachirho_survey_data:task06_task_display_string_5																															
quest.task.ground.wait_for_signal	@quest/ground/ep3_kachirho_survey_data:task07_journal_entry_title	@quest/ground/ep3_kachirho_survey_data:task07_journal_entry_description	1			0	8		dataCollected	1		sound/music_themequest_acc_general.snd		0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										0																			dataReward	0			0		0	0	0																			
quest.task.ground.reward	@quest/ground/ep3_kachirho_survey_data:task08_journal_entry_title		0			0				1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																							0	Rebel	0	10000		1	object/tangible/painting/painting_clone_trooper_01.iff	1		1	0.1	0.1	0.1	0.1		1	0.1	
