ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	s	s	s	i	i	i	s	i	s	i	s
quest.task.ground.go_to_location	@quest/ground/naboo_theed_hugo_rescue_skaak:task00_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task00_journal_entry_description	1			0	1,12,13		theed_hugo_rescue_skaak_00	0							1		1			1	naboo	-4753	-196	4869			@quest/ground/naboo_theed_hugo_rescue_skaak:task00_waypoint_name	0	0.0	0.0	0.0		20	0																																									
quest.task.ground.wait_for_tasks	@quest/ground/naboo_theed_hugo_rescue_skaak:task01_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task01_journal_entry_description	0			0	2		theed_hugo_rescue_skaak_03	0							1		1			1	naboo	-4747.39990234375	-196.300003051758	4857.89990234375			@quest/ground/naboo_theed_hugo_rescue_skaak:task01_waypoint_name	0	0.0	0.0	0.0			0	quest/naboo_theed_hugo_rescue_skaak	theed_hugo_rescue_skaak_02	@quest/ground/naboo_theed_hugo_rescue_skaak:task01_task_display_string_1	quest/naboo_theed_hugo_rescue_skaak	theed_hugo_rescue_skaak_01	@quest/ground/naboo_theed_hugo_rescue_skaak:task01_task_display_string_2																																			
quest.task.ground.comm_player	@quest/ground/naboo_theed_hugo_rescue_skaak:task02_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task02_journal_entry_description	1			0	3		theed_hugo_rescue_skaak_04	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						@quest/ground/naboo_theed_hugo_rescue_skaak:task02_comm_message_text	object/mobile/hugo_eckener.iff																					
quest.task.ground.go_to_location	@quest/ground/naboo_theed_hugo_rescue_skaak:task03_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task03_journal_entry_description	1			0	4		theed_hugo_rescue_00	1							1		1			1	naboo	-4290.39990234375	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_hugo_rescue_skaak:task03_waypoint_name	0	0.0	0.0	0.0		10.0	0																																									
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_rescue_skaak:task04_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task04_journal_entry_description	1			0	5		theed_hugo_rescue_01	1							1		1			1	naboo	-4290.39990234375	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_hugo_rescue_skaak:task04_waypoint_name	0	0.0	0.0	0.0			0																					theed_hugo_rescue_01	0			0		0	0	0												
quest.task.ground.destroy_multi_and_loot	@quest/ground/naboo_theed_hugo_rescue_skaak:task05_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task05_journal_entry_description	1			0	6		theed_hugo_rescue_02	1							1		1			1	naboo	-4290.39990234375	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_hugo_rescue_skaak:task05_waypoint_name	0	0.0	0.0	0.0			0																														naboo_darkwalker_solon_gaw			Cell Code #1	1	100	0					
quest.task.ground.destroy_multi_and_loot	@quest/ground/naboo_theed_hugo_rescue_skaak:task06_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task06_journal_entry_description	1			0	7		theed_hugo_rescue_03	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																														naboo_darkwalker_critolus_masse			Cell Code #2	1	100	0					
quest.task.ground.destroy_multi_and_loot	@quest/ground/naboo_theed_hugo_rescue_skaak:task07_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task07_journal_entry_description	1			0	8		theed_hugo_rescue_04	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																														naboo_darkwalker_marcus_gaw			Cell Code #3	1	100	0					
quest.task.ground.retrieve_item	@quest/ground/naboo_theed_hugo_rescue_skaak:task08_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task08_journal_entry_description	1			0	9		theed_hugo_rescue_05	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																																					object/tangible/quest/naboo_theed_prisoner_control_panel.iff	1	@quest/ground/naboo_theed_hugo_rescue_skaak:task08_item_name	100	@quest/ground/naboo_theed_hugo_rescue_skaak:task08_retrieve_menu_text
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_rescue_skaak:task09_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task09_journal_entry_description	1			0	10		theed_hugo_rescue_06	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																					theed_hugo_rescue_06	0			0		0	0	0												
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_rescue_skaak:task10_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task10_journal_entry_description	1			0	11		theed_hugo_rescue_07	1							1		1			1	naboo	-5496.10009765625	14	4477.10009765625			@quest/ground/naboo_theed_hugo_rescue_skaak:task10_waypoint_name	0	0.0	0.0	0.0			0																					theed_hugo_rescue_07	0			0		0	0	0												
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_rescue_skaak:task11_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task11_journal_entry_description	1			0			theed_hugo_rescue_08	1							1		1			1	naboo	-5479.39990234375	14	4467.10009765625			@quest/ground/naboo_theed_hugo_rescue_skaak:task11_waypoint_name	0	0.0	0.0	0.0			0																					theed_hugo_rescue_08	0			0		0	0	0												
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_rescue_skaak:task12_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task12_journal_entry_description	1			0			theed_hugo_rescue_skaak_01	1							1		1			0	naboo	-4755.7998046875	-192.199996948242	4882.89990234375				0	0.0	0.0	0.0			0																					entered_hugo_rescue_skaak_01_cell4	0			0		0	0	0												
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_hugo_rescue_skaak:task13_journal_entry_title	@quest/ground/naboo_theed_hugo_rescue_skaak:task13_journal_entry_description	1			0			theed_hugo_rescue_skaak_02	1							1		1			0	naboo	-4768	-192.199996948242	4871.7998046875				0	0.0	0.0	0.0			0																					entered_hugo_rescue_skaak_02_war_room	0			0		0	0	0												
