ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,2,3,4,5,6,7		boss_nass_artifacts_scattered_00	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																		
quest.task.ground.retrieve_item	@quest/ground/naboo_boss_nass_artifacts_scattered:task01_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_scattered:task01_journal_entry_description	1			0			boss_nass_artifacts_scattered_01f	0							1		1			1	naboo	-4526.2998046875	9.69999980926514	3650.19995117188			@quest/ground/naboo_boss_nass_artifacts_scattered:task01_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/naboo_boss_nass_gungan_artifact_piece_6.iff	1	@quest/ground/naboo_boss_nass_artifacts_scattered:task01_item_name	100	@quest/ground/naboo_boss_nass_artifacts_scattered:task01_retrieve_menu_text	0																											
quest.task.ground.retrieve_item	@quest/ground/naboo_boss_nass_artifacts_scattered:task02_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_scattered:task02_journal_entry_description	1			0			boss_nass_artifacts_scattered_01e	0							1		1			1	naboo	5051.5	262.399993896484	-2084.80004882812			@quest/ground/naboo_boss_nass_artifacts_scattered:task02_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/naboo_boss_nass_gungan_artifact_piece_5.iff	1	@quest/ground/naboo_boss_nass_artifacts_scattered:task02_item_name	100	@quest/ground/naboo_boss_nass_artifacts_scattered:task02_retrieve_menu_text	0																											
quest.task.ground.retrieve_item	@quest/ground/naboo_boss_nass_artifacts_scattered:task03_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_scattered:task03_journal_entry_description	1			0			boss_nass_artifacts_scattered_01d	0							1		1			1	naboo	4805.89990234375	3.79999995231628	-4966.89990234375			@quest/ground/naboo_boss_nass_artifacts_scattered:task03_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/naboo_boss_nass_gungan_artifact_piece_4.iff	1	@quest/ground/naboo_boss_nass_artifacts_scattered:task03_item_name	100	@quest/ground/naboo_boss_nass_artifacts_scattered:task03_retrieve_menu_text	0																											
quest.task.ground.retrieve_item	@quest/ground/naboo_boss_nass_artifacts_scattered:task04_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_scattered:task04_journal_entry_description	1			0			boss_nass_artifacts_scattered_01c	0							1		1			1	naboo	1787.09997558594	12.5	2609.80004882812			@quest/ground/naboo_boss_nass_artifacts_scattered:task04_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/naboo_boss_nass_gungan_artifact_piece_3.iff	1	@quest/ground/naboo_boss_nass_artifacts_scattered:task04_item_name	100	@quest/ground/naboo_boss_nass_artifacts_scattered:task04_retrieve_menu_text	0																											
quest.task.ground.retrieve_item	@quest/ground/naboo_boss_nass_artifacts_scattered:task05_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_scattered:task05_journal_entry_description	1			0			boss_nass_artifacts_scattered_01b	0							1		1			1	naboo	6699	-209	7187			@quest/ground/naboo_boss_nass_artifacts_scattered:task05_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/naboo_boss_nass_gungan_artifact_piece_2.iff	1	@quest/ground/naboo_boss_nass_artifacts_scattered:task05_item_name	100	@quest/ground/naboo_boss_nass_artifacts_scattered:task05_retrieve_menu_text	0																											
quest.task.ground.retrieve_item	@quest/ground/naboo_boss_nass_artifacts_scattered:task06_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_scattered:task06_journal_entry_description	1			0			boss_nass_artifacts_scattered_01a	0							1		1			1	naboo	2858.39990234375	94.3000030517578	1085.09997558594			@quest/ground/naboo_boss_nass_artifacts_scattered:task06_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/naboo_boss_nass_gungan_artifact_piece.iff	1	@quest/ground/naboo_boss_nass_artifacts_scattered:task06_item_name	100	@quest/ground/naboo_boss_nass_artifacts_scattered:task06_retrieve_menu_text	0																											
quest.task.ground.wait_for_tasks	@quest/ground/naboo_boss_nass_artifacts_scattered:task07_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_scattered:task07_journal_entry_description	1			0	8		boss_nass_artifacts_scattered_01	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0							0	quest/naboo_boss_nass_artifacts_scattered	boss_nass_artifacts_scattered_01a	@quest/ground/naboo_boss_nass_artifacts_scattered:task07_task_display_string_1	quest/naboo_boss_nass_artifacts_scattered	boss_nass_artifacts_scattered_01b	@quest/ground/naboo_boss_nass_artifacts_scattered:task07_task_display_string_2	quest/naboo_boss_nass_artifacts_scattered	boss_nass_artifacts_scattered_01c	@quest/ground/naboo_boss_nass_artifacts_scattered:task07_task_display_string_3	quest/naboo_boss_nass_artifacts_scattered	boss_nass_artifacts_scattered_01d	@quest/ground/naboo_boss_nass_artifacts_scattered:task07_task_display_string_4	quest/naboo_boss_nass_artifacts_scattered	boss_nass_artifacts_scattered_01e	@quest/ground/naboo_boss_nass_artifacts_scattered:task07_task_display_string_5	quest/naboo_boss_nass_artifacts_scattered	boss_nass_artifacts_scattered_01f	@quest/ground/naboo_boss_nass_artifacts_scattered:task07_task_display_string_6									
quest.task.ground.wait_for_signal	@quest/ground/naboo_boss_nass_artifacts_scattered:task08_journal_entry_title	@quest/ground/naboo_boss_nass_artifacts_scattered:task08_journal_entry_description	1			0			boss_nass_artifacts_scattered_02	1							1		1			1	naboo	-1992.19995117188	5.19999980926514	-5422.2001953125			@quest/ground/naboo_boss_nass_artifacts_scattered:task08_waypoint_name	0	0.0	0.0	0.0							0																			boss_nass_artifacts_scattered_02	0			0		0	0	0
