ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	i	i	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1			0	sound/mus_mustafar_quest_exception.snd						1		1			0	tatooine	0.0	0.0	0.0																																						
quest.task.ground.go_to_location	@quest/ground/som_lava_beetle_nest_destroy:task01_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy:task01_journal_entry_description	1			0	2,6,8,10,12		mustafar_lava_beetle_nest_one	1							1		1			1	mustafar	-3386	33	5331			@quest/ground/som_lava_beetle_nest_destroy:task01_waypoint_name	50	0																																	
quest.task.ground.wait_for_tasks	@quest/ground/som_lava_beetle_nest_destroy:task02_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy:task02_journal_entry_description	1			0	3		lava_beetle_nest_tasks	1							1		1			0	tatooine	0.0	0.0	0.0					0	quest/som_lava_beetle_nest_destroy	destroyed_beetle_soldiers_one	@quest/ground/som_lava_beetle_nest_destroy:task02_task_display_string_1	quest/som_lava_beetle_nest_destroy	destroyed_beetle_soldiers_two	@quest/ground/som_lava_beetle_nest_destroy:task02_task_display_string_2	quest/som_lava_beetle_nest_destroy	destroyed_beetle_soldier_three	@quest/ground/som_lava_beetle_nest_destroy:task02_task_display_string_3	quest/som_lava_beetle_nest_destroy	destroyed_beetle_soldier_four	@quest/ground/som_lava_beetle_nest_destroy:task02_task_display_string_4																					
quest.task.ground.encounter	@quest/ground/som_lava_beetle_nest_destroy:task03_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy:task03_journal_entry_description	1			0	4		mustafar_lava_beetle_nest_two	1							1		1			0	tatooine	0.0	0.0	0.0					0																			som_link_lava_beetle_soldier	8	15	35	0.0	0.0									
quest.task.ground.wait_for_signal	@quest/ground/som_lava_beetle_nest_destroy:task04_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy:task04_journal_entry_description	1			0	5		mustafar_lava_beetle_nest_four	1							1		1			0	tatooine	0.0	0.0	0.0					0																									mustafar_lava_beetle_nest_reward	0			0		0	0	0
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0																																						
quest.task.ground.wait_for_signal	@quest/ground/som_lava_beetle_nest_destroy:task06_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy:task06_journal_entry_description	1			0	7		destroy_lava_beetle_nest_four	1							1		1			0	tatooine	0.0	0.0	0.0					0																									lava_beetle_nest_four_destroyed	0			0		0	0	0
quest.task.ground.encounter	@quest/ground/som_lava_beetle_nest_destroy:task07_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy:task07_journal_entry_description	1			0			destroyed_beetle_soldier_four	1							1		1			0	tatooine	0.0	0.0	0.0					0																			som_burning_plains_lava_beetle_soldier	5	15	25	0.0	0.0									
quest.task.ground.wait_for_signal	@quest/ground/som_lava_beetle_nest_destroy:task08_journal_entry_title	@quest/ground/som_lava_beetle_nest_destroy:task08_journal_entry_description	1			0	9		destroy_lava_beetle_nest_three	1							1		1			0	tatooine	0.0	0.0	0.0					0																									lava_beetle_nest_three_destroyed	0			0		0	0	0
