ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_OBJECT_TEMPLATE	COUNT	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,2,3,4,5,6,7,8			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													
quest.task.ground.craft	@quest/ground/c_prof_arti:task01_journal_entry_title	@quest/ground/c_prof_arti:task01_journal_entry_description	1			0			windtool	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/survey_tool/survey_tool_wind.iff	1	0									
quest.task.ground.craft	@quest/ground/c_prof_arti:task02_journal_entry_title	@quest/ground/c_prof_arti:task02_journal_entry_description	1			0			solartool	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/survey_tool/survey_tool_solar.iff	1	0									
quest.task.ground.craft	@quest/ground/c_prof_arti:task03_journal_entry_title	@quest/ground/c_prof_arti:task03_journal_entry_description	1			0			floratool	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/survey_tool/survey_tool_lumber.iff	1	0									
quest.task.ground.craft	@quest/ground/c_prof_arti:task04_journal_entry_title	@quest/ground/c_prof_arti:task04_journal_entry_description	1			0			watertool	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/survey_tool/survey_tool_moisture.iff	1	0									
quest.task.ground.craft	@quest/ground/c_prof_arti:task05_journal_entry_title	@quest/ground/c_prof_arti:task05_journal_entry_description	1			0			mineraltool	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/survey_tool/survey_tool_mineral.iff	1	0									
quest.task.ground.craft	@quest/ground/c_prof_arti:task06_journal_entry_title	@quest/ground/c_prof_arti:task06_journal_entry_description	1			0			chemicaltool	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/survey_tool/survey_tool_liquid.iff	1	0									
quest.task.ground.craft	@quest/ground/c_prof_arti:task07_journal_entry_title	@quest/ground/c_prof_arti:task07_journal_entry_description	1			0			gastool	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object/tangible/survey_tool/survey_tool_gas.iff	1	0									
quest.task.ground.wait_for_signal	@quest/ground/c_prof_arti:task08_journal_entry_title	@quest/ground/c_prof_arti:task08_journal_entry_description	1			0	9		craftdone	0							1		1			1	tatooine	3513	0.0	-4814			@quest/ground/c_prof_arti:task08_waypoint_name	0	0.0	0.0	0.0				0	c_prof_arti_finished	0			0		0	0	0
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													
