ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,2,3,4,5,6,7,8,10,11,12,13,14		publishClickCollectionNothinTask	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													
quest.task.ground.wait_for_tasks			0			0			publishClickCollectionFirstTaskSet	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		quest/publishClickCollection	publishClickCollectionCollectedTransmitter	@quest/ground/publish_click_collection:task01_task_display_string_1	quest/publishClickCollection	publishClickCollectionCollectedSequencer	@quest/ground/publish_click_collection:task01_task_display_string_2	quest/publishClickCollection	publishClickCollectionCollectedPowerPack	@quest/ground/publish_click_collection:task01_task_display_string_3	quest/publishClickCollection	publishClickCollectionCollectedHousing	@quest/ground/publish_click_collection:task01_task_display_string_4	quest/publishClickCollection	publishClickCollectionCollectedTools	@quest/ground/publish_click_collection:task01_task_display_string_5	quest/publishClickCollection	publishClickCollectionCollectedTransducer	@quest/ground/publish_click_collection:task01_task_display_string_6	0									
quest.task.ground.wait_for_signal	@quest/ground/publish_click_collection:task02_journal_entry_title	@quest/ground/publish_click_collection:task02_journal_entry_description	1			0			publishClickCollectionCollectedTransducer	0				0	none	none				1		1			1	tatooine	3306	5	-4913			@quest/ground/publish_click_collection:task02_waypoint_name	0	0.0	0.0	0.0																				0	publishClickCollectionCollectedTransducer	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/publish_click_collection:task03_journal_entry_title	@quest/ground/publish_click_collection:task03_journal_entry_description	1			0			publishClickCollectionCollectedTools	0				0	none	none				1		1			1	tatooine	3265	5	-4853			@quest/ground/publish_click_collection:task03_waypoint_name	0	0.0	0.0	0.0																				0	publishClickCollectionCollectedTools	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/publish_click_collection:task04_journal_entry_title	@quest/ground/publish_click_collection:task04_journal_entry_description	1			0			publishClickCollectionCollectedHousing	0				0	none	none				1		1			1	tatooine	3357	5	-4776			@quest/ground/publish_click_collection:task04_waypoint_name	0	0.0	0.0	0.0																				0	publishClickCollectionCollectedHousing	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/publish_click_collection:task05_journal_entry_title	@quest/ground/publish_click_collection:task05_journal_entry_description	1			0			publishClickCollectionCollectedPowerPack	0				0	none	none				1		1			1	tatooine	3330	5	-4816			@quest/ground/publish_click_collection:task05_waypoint_name	0	0.0	0.0	0.0																				0	publishClickCollectionCollectedPowerPack	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/publish_click_collection:task06_journal_entry_title	@quest/ground/publish_click_collection:task06_journal_entry_description	1			0			publishClickCollectionCollectedSequencer	0				0	none	none				1		1			1	tatooine	3354	5	-4838			@quest/ground/publish_click_collection:task06_waypoint_name	0	0.0	0.0	0.0																				0	publishClickCollectionCollectedSequencer	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/publish_click_collection:task07_journal_entry_title	@quest/ground/publish_click_collection:task07_journal_entry_description	1			0			publishClickCollectionCollectedTransmitter	0				0	none	none				1		1			1	tatooine	3396	5	-4794			@quest/ground/publish_click_collection:task07_waypoint_name	0	0.0	0.0	0.0																				0	publishClickCollectionCollectedTransmitter	0			0		0	0	0
quest.task.ground.wait_for_tasks			0			0	9		publishClickCollectionFinalWaitForTask	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		quest/publishClickCollection	publishClickCollectionFirstTaskSet	@quest/ground/publish_click_collection:task08_task_display_string_1	quest/publishClickCollection	publishClickCollectionSecondTask	@quest/ground/publish_click_collection:task08_task_display_string_2													0									
