ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_OBJECT_TEMPLATE	ITEM_TO_GIVE	NUM_TO_GIVE	CREATE_ITEM	DESTROY_ITEM	REMAINING_TIME	FAIL_ON_LOGOUT	TRAVEL_BLOCK	TRAVEL_BLOCK_ALLOW_LAUNCH	TEXT_TYPE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	s	i	i	i	i	s	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	b	b	i	b	b	b	e(give=0,deliver=1)[give]
quest.task.ground.go_to_location	@quest/ground/crash_site_03_imp_munitions:task00_journal_entry_title	@quest/ground/crash_site_03_imp_munitions:task00_journal_entry_description	1			0	1,3,5,7,11,13		goToSite	0				0	none	none				1		1			1	rori	-7530	124	-7626			@quest/ground/crash_site_03_imp_munitions:task00_waypoint_name	0	0.0	0.0	0.0		20	0																																																									
quest.task.ground.retrieve_item	@quest/ground/crash_site_03_imp_munitions:task01_journal_entry_title	@quest/ground/crash_site_03_imp_munitions:task01_journal_entry_description	0			0	2		getComponent03	0				0	none	none				1		1	getComponent03		0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	object/tangible/quest/empire_day/crash_site_03_crate_03_container.iff	1	@quest/ground/crash_site_03_imp_munitions:task01_item_name	100	0	0	0	@quest/ground/crash_site_03_imp_munitions:task01_retrieve_menu_text																																																	
quest.task.ground.reward	@quest/ground/crash_site_03_imp_munitions:task02_journal_entry_title	@quest/ground/crash_site_03_imp_munitions:task02_journal_entry_description	0			0			giveComp3	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													0	Rebel	0	0	item_empire_day_component_e11_valve	1		1		1	0.1	0.1	0.1	0.1		1	1																															
quest.task.ground.retrieve_item	@quest/ground/crash_site_03_imp_munitions:task03_journal_entry_title	@quest/ground/crash_site_03_imp_munitions:task03_journal_entry_description	0			0	4		getComponent02	0				0	none	none				1		1	getComponent02		0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	object/tangible/quest/empire_day/crash_site_03_crate_02_container.iff	1	@quest/ground/crash_site_03_imp_munitions:task03_item_name	100	0	0	0	@quest/ground/crash_site_03_imp_munitions:task03_retrieve_menu_text																																																	
quest.task.ground.reward	@quest/ground/crash_site_03_imp_munitions:task04_journal_entry_title	@quest/ground/crash_site_03_imp_munitions:task04_journal_entry_description	0			0			giveComp2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													0	Rebel	0	0	item_empire_day_component_e11_grip	1		1		1	0.1	0.1	0.1	0.1		1	1																															
quest.task.ground.retrieve_item	@quest/ground/crash_site_03_imp_munitions:task05_journal_entry_title	@quest/ground/crash_site_03_imp_munitions:task05_journal_entry_description	0			0	6		getComponent01	0				0	none	none				1		1	getComponent01		0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	object/tangible/quest/empire_day/crash_site_03_crate_01_container.iff	1	@quest/ground/crash_site_03_imp_munitions:task05_item_name	100	0	0	0	@quest/ground/crash_site_03_imp_munitions:task05_retrieve_menu_text																																																	
quest.task.ground.reward	@quest/ground/crash_site_03_imp_munitions:task06_journal_entry_title	@quest/ground/crash_site_03_imp_munitions:task06_journal_entry_description	0			0			giveComp1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													0	Rebel	0	0	item_empire_day_component_e11_gas	1		1		1	0.1	0.1	0.1	0.1		1	1																															
quest.task.ground.wait_for_tasks	@quest/ground/crash_site_03_imp_munitions:task07_journal_entry_title	@quest/ground/crash_site_03_imp_munitions:task07_journal_entry_description	1			0	8		waitingForTasks	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																												quest/crash_site_03_imp_munitions	getComponent01	@quest/ground/crash_site_03_imp_munitions:task07_task_display_string_1	quest/crash_site_03_imp_munitions	getComponent02	@quest/ground/crash_site_03_imp_munitions:task07_task_display_string_2	quest/crash_site_03_imp_munitions	getComponent03	@quest/ground/crash_site_03_imp_munitions:task07_task_display_string_3	quest/crash_site_03_imp_munitions	getComponent04	@quest/ground/crash_site_03_imp_munitions:task07_task_display_string_4	quest/crash_site_03_imp_munitions	getRequisition	@quest/ground/crash_site_03_imp_munitions:task07_task_display_string_5															
quest.task.ground.comm_player	@quest/ground/crash_site_03_imp_munitions:task08_journal_entry_title	@quest/ground/crash_site_03_imp_munitions:task08_journal_entry_description	0			0	9			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																	@quest/ground/crash_site_03_imp_munitions:task08_comm_message_text	object/mobile/kaythree_protocol_droid.iff										
