ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	START_MESSAGE	PRIMARY_TARGET_WAVE_1	UTTERANCE_WAVE_1	RADIUS_WAVE_1	GUARDS_SPAWNED_WAVE_1	NUM_GUARDS_WAVE_1	DELAY_WAVE_1	PRIMARY_TARGET_WAVE_2	UTTERANCE_WAVE_2	RADIUS_WAVE_2	GUARDS_SPAWNED_WAVE_2	NUM_GUARDS_WAVE_2	DELAY_WAVE_2	PRIMARY_TARGET_WAVE_3	UTTERANCE_WAVE_3	RADIUS_WAVE_3	GUARDS_SPAWNED_WAVE_3	NUM_GUARDS_WAVE_3	DELAY_WAVE_3	PRIMARY_TARGET_WAVE_4	UTTERANCE_WAVE_4	RADIUS_WAVE_4	GUARDS_SPAWNED_WAVE_4	NUM_GUARDS_WAVE_4	DELAY_WAVE_4	PRIMARY_TARGET_WAVE_5	UTTERANCE_WAVE_5	RADIUS_WAVE_5	GUARDS_SPAWNED_WAVE_5	NUM_GUARDS_WAVE_5	DELAY_WAVE_5	PRIMARY_TARGET_WAVE_6	UTTERANCE_WAVE_6	RADIUS_WAVE_6	GUARDS_SPAWNED_WAVE_6	NUM_GUARDS_WAVE_6	DELAY_WAVE_6	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s	i	i	i	i	s	s	b	s	s	s	s	f	f	f	s	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	s	i	i
quest.task.ground.nothing			0			0	1,7,8		mtp_hideout_access_04_00	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																																															
quest.task.ground.wait_for_tasks	@quest/ground/mtp_hideout_access_04:task01_journal_entry_title	@quest/ground/mtp_hideout_access_04:task01_journal_entry_description	1			0	2		mtp_hideout_access_04_01	1				0	none	none				1		1			1	corellia	6354	340	7380			@quest/ground/mtp_hideout_access_04:task01_waypoint_name	0	0.0	0.0	0.0		quest/mtp_hideout_access_04	mtp_hideout_access_04_01a	@quest/ground/mtp_hideout_access_04:task01_task_display_string_1	quest/mtp_hideout_access_04	mtp_hideout_access_04_01b	@quest/ground/mtp_hideout_access_04:task01_task_display_string_2													0																																																											
quest.task.ground.retrieve_item	@quest/ground/mtp_hideout_access_04:task02_journal_entry_title	@quest/ground/mtp_hideout_access_04:task02_journal_entry_description	1			0	3,6		mtp_hideout_access_04_02	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/meatlump/mtp_hideout_quest04_stash.iff	1	@quest/ground/mtp_hideout_access_04:task02_item_name	100	0	0	3	@quest/ground/mtp_hideout_access_04:task02_retrieve_menu_text																																																			
quest.task.ground.wait_for_signal	@quest/ground/mtp_hideout_access_04:task03_journal_entry_title	@quest/ground/mtp_hideout_access_04:task03_journal_entry_description	1			0	4		mtp_hideout_access_04_03	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0									mtp_hideout_access_04_03	0			0		0	0	0																																										
quest.task.ground.wait_for_signal	@quest/ground/mtp_hideout_access_04:task04_journal_entry_title	@quest/ground/mtp_hideout_access_04:task04_journal_entry_description	1			0	5		mtp_hideout_access_04_04	1				0	none	none				1		1			1	corellia	-107	28	-4465			@quest/ground/mtp_hideout_access_04:task04_waypoint_name	0	0.0	0.0	0.0																				0									mtp_hideout_access_04_04	0			0		0	0	0																																										
quest.task.ground.complete_quest			0			0			mtp_hideout_access_04_05	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																																															
quest.task.ground.wave_event_player			0			0			mtp_hideout_access_04_03a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/meatlump/mtp_hideout_quest03_radio.iff							@quest/ground/mtp_hideout_access_04:task06_retrieve_menu_text										@quest/ground/mtp_hideout_access_04:task06_start_message	mtp_quest_strilath_farles_convo	@quest/ground/mtp_hideout_access_04:task06_utterance_wave_1	3		0	2			1.0		0	0			1.0		0	0			1.0		0	0			1.0		0	0			1.0		0	0					
quest.task.ground.destroy_multi	@quest/ground/mtp_hideout_access_04:task07_journal_entry_title	@quest/ground/mtp_hideout_access_04:task07_journal_entry_description	1			0			mtp_hideout_access_04_01b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0																																																							mtp_quest_farles_ragtag			13	0
quest.task.ground.destroy_multi	@quest/ground/mtp_hideout_access_04:task08_journal_entry_title	@quest/ground/mtp_hideout_access_04:task08_journal_entry_description	1			0			mtp_hideout_access_04_01a	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0																																																							mtp_quest_farles_ragtag_leader			1	0
