ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SPACE_QUEST_NAME	SPACE_QUEST_TYPE	IGNORE_SPLIT	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	s	b	i	s	b	s	s	s	s	f	f	f	s	s	s	i	i	s	s	s	i	i	i	i	s	i	s	i	s
quest.task.ground.grant_space_quest	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task00_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task00_journal_entry_description	1			0	1	11	givespacequest	1							1		1			1	corellia	-137	28	-4723			@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task00_waypoint_name	corellia_find_missing_shipment_a	patrol	0	0																										
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task01_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task01_journal_entry_description	1			0	2		ralMundi_traceTransportRoute	1							1		1			1	corellia	-138.800003051758	28	-4719.10009765625			@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task01_waypoint_name				0	ralMundi_traceTransportRoute	0			0		0	0	0																	
quest.task.ground.destroy_multi	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task02_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task02_journal_entry_description	1			0	3		ralMundi_intimidateRagtags	1							1		1			0	tatooine	0.0	0.0	0.0							0											ragtag_gang		6	0												
quest.task.ground.show_message_box	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task03_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task03_journal_entry_description	0			0	4		ralMundi_foundTomiBunkerMessage	0							1		1			0	tatooine	0.0	0.0	0.0																						@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task03_message_box_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task03_message_box_text		-1	-1	-1	-1					
quest.task.ground.destroy_multi	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task04_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task04_journal_entry_description	1			0	5		ralMundi_defeatTomi	1							1		1			1	corellia	-528	2	-5054			@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task04_waypoint_name				0										corellia_ragtag_tomi_jinsin			1	0												
quest.task.ground.show_message_box	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task05_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task05_journal_entry_description	0			0	6		ralMundi_tomiRemainsMessage	0							1		1			0	tatooine	0.0	0.0	0.0																						@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task05_message_box_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task05_message_box_text		-1	-1	-1	-1					
quest.task.ground.retrieve_item	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task06_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task06_journal_entry_description	1			0	7		ralMundi_shipmentAtCapitol	1							1		1			1	corellia	-211	28	-4506			@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task06_waypoint_name				0																						object/tangible/quest/corellia_coronet_meatlump_act1_shipment.iff	1	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task06_item_name	100	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task06_retrieve_menu_text
quest.task.ground.show_message_box	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task07_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task07_journal_entry_description	0			0	8		ralMundi_crateMessage	0							1		1			0	tatooine	0.0	0.0	0.0																						@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task07_message_box_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task07_message_box_text		-1	-1	-1	-1					
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task08_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task08_journal_entry_description	1			0	9		ralMundi_shipmentFound	1							1		1			1	corellia	-138.800003051758	28	-4719.10009765625			@quest/ground/corellia_coronet_capitol_problems_missing_shipment:task08_waypoint_name				0	ralMundi_shipmentFound	0			0		0	0	0																	
