ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	SERVER_OBJECT_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	i	i	i	s	s	i	s	i	i	s	i	s	i	S	S	S	S	s	i	i	s	s	b	s	s	s	s	f	f	f
quest.task.ground.retrieve_item	@quest/ground/npe_artisan_1:task00_journal_entry_title	@quest/ground/npe_artisan_1:task00_journal_entry_description	1			0	1		getMetal	0							1		1	0	tatooine	0.0	0.0	0.0			3	@quest/ground/npe_artisan_1:task00_item_name	100	@quest/ground/npe_artisan_1:task00_retrieve_menu_text																										
quest.task.ground.reward			1			0	2			0							1		1	0	tatooine	0.0	0.0	0.0								0	Rebel	0	0		1		1	0.1	0.1	0.1	0.1		1	0.1										
quest.task.ground.retrieve_item	@quest/ground/npe_artisan_1:task02_journal_entry_title	@quest/ground/npe_artisan_1:task02_journal_entry_description	1			0	3		getArmor	0							1		1	0	tatooine	0.0	0.0	0.0			3	@quest/ground/npe_artisan_1:task02_item_name	100	@quest/ground/npe_artisan_1:task02_retrieve_menu_text																										
quest.task.ground.reward			1			0	4			0							1		1	0	tatooine	0.0	0.0	0.0								0	Rebel	0	0		1		1	0.1	0.1	0.1	0.1		1	0.1										
quest.task.ground.retrieve_item	@quest/ground/npe_artisan_1:task04_journal_entry_title	@quest/ground/npe_artisan_1:task04_journal_entry_description	1			0	5		getRivet	0							1		1	0	tatooine	0.0	0.0	0.0			3	@quest/ground/npe_artisan_1:task04_item_name	100																											
quest.task.ground.reward			1			0	6			0							1		1	0	tatooine	0.0	0.0	0.0								0	Rebel	0	0		1		1	0.1	0.1	0.1	0.1		1	0.1										
quest.task.ground.craft			1			0	7		makeArmor	0							1		1	0	tatooine	0.0	0.0	0.0													1																			
quest.task.ground.nothing			1			0	8		giveNPCitem	0							1		1	0	tatooine	0.0	0.0	0.0																																
quest.task.ground.wait_for_signal	@quest/ground/npe_artisan_1:task08_journal_entry_title	@quest/ground/npe_artisan_1:task08_journal_entry_description	1			0	9		returnSignal	1							1		1	0	tatooine	0.0	0.0	0.0																								npe_artisan_1_reward	0			0		0	0	0
quest.task.ground.reward			1			0				0							1		1	0	tatooine	0.0	0.0	0.0							crafting_general	100	Rebel	0	100		1		1	0.1	0.1	0.1	0.1		1	0.1										
