ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	s	i	i	i	i	s	s	b	s	s	s	s	f	f	f	s	s	s	s	s	s	i	i	i
quest.task.ground.go_to_location	@quest/ground/outbreak_quest_facility_02:task00_journal_entry_title	@quest/ground/outbreak_quest_facility_02:task00_journal_entry_description	1			0	1		gotoLocationTask	0				0	none	none				1		1			1	dathomir	-7287	536	-7470			@quest/ground/outbreak_quest_facility_02:task00_waypoint_name	0	0.0	0.0	0.0		10.0	0																										
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_facility_02:task01_journal_entry_title	@quest/ground/outbreak_quest_facility_02:task01_journal_entry_description	1			0	2		searchStores	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	object/tangible/quest/outbreak/cryogenics_storage_unit.iff	6	@quest/ground/outbreak_quest_facility_02:task01_item_name	100	0	0	0	@quest/ground/outbreak_quest_facility_02:task01_retrieve_menu_text																		
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_02:task02_journal_entry_title	@quest/ground/outbreak_quest_facility_02:task02_journal_entry_description	1			0	3		searchJinOffice	0				0	none	none				1		1			1	dathomir	-7289	536	-7443			@quest/ground/outbreak_quest_facility_02:task02_waypoint_name	0	0.0	0.0	0.0			0									hasFoundComputerSystem	0			0		0	0	0									
quest.task.ground.comm_player			0			0	4		commTask	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					@quest/ground/outbreak_quest_facility_02:task03_comm_message_text	object/mobile/dressed_imperial_inquisitor_human_male_02.iff							
quest.task.ground.destroy_multi_and_loot	@quest/ground/outbreak_quest_facility_02:task04_journal_entry_title	@quest/ground/outbreak_quest_facility_02:task04_journal_entry_description	1			0	5		killBossScientist	0				0	none	none				1		1			1	dathomir	-7270	535	-7451			@quest/ground/outbreak_quest_facility_02:task04_waypoint_name	0	0.0	0.0	0.0			0					0	0														outbreak_afflicted_scientist_key_drop			Science Access Key	1	100	0
quest.task.ground.comm_player			0			0	6		commTask2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					@quest/ground/outbreak_quest_facility_02:task05_comm_message_text	object/mobile/dressed_imperial_inquisitor_human_male_02.iff							
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_02:task06_journal_entry_title	@quest/ground/outbreak_quest_facility_02:task06_journal_entry_description	1			0	7,9,11		useScienceConsole	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0									scienceConsoleUsed	0			0		0	0	0									
quest.task.ground.wait_for_signal			0			0	8		isNeutralTask	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0									neutralPlayerSignal	0			0		0	0	0									
quest.task.ground.complete_quest			0			0				0				0	none	none			quest/outbreak_quest_facility_02_neutral	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													
