ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	s	s	s	i	i	i	s	i	s	i	i	s	i	s	i	S	S	S	S	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/emp_day_imperial:task00_journal_entry_title	@quest/ground/emp_day_imperial:task00_journal_entry_description	1			0	1,2		converseHistorian	0							1		1	0	tatooine	0.0	0.0	0.0		historian_conversed	0			0		0	0	0																							
quest.task.ground.destroy_multi_and_loot	@quest/ground/emp_day_imperial:task01_journal_entry_title	@quest/ground/emp_day_imperial:task01_journal_entry_description	1			0			killRebels	1							1		1	0	tatooine	0.0	0.0	0.0												rebel		Stolen Historical Data Disk	3	33	0																
quest.task.ground.wait_for_signal	@quest/ground/emp_day_imperial:task02_journal_entry_title	@quest/ground/emp_day_imperial:task02_journal_entry_description	1			0	3		diskGuy1	0							1		1	0	tatooine	0.0	0.0	0.0		disk_guy_1	0			0		0	0	0																							
quest.task.ground.wait_for_signal	@quest/ground/emp_day_imperial:task03_journal_entry_title	@quest/ground/emp_day_imperial:task03_journal_entry_description	1			0	4		diskGuy2	0							1		1	0	tatooine	0.0	0.0	0.0		disk_guy_2	0			0		0	0	0																							
quest.task.ground.wait_for_signal	@quest/ground/emp_day_imperial:task04_journal_entry_title	@quest/ground/emp_day_imperial:task04_journal_entry_description	1			0	5		diskGuy3	0							1		1	0	tatooine	0.0	0.0	0.0		disk_guy_3	0			0		0	0	0																							
quest.task.ground.wait_for_signal	@quest/ground/emp_day_imperial:task05_journal_entry_title	@quest/ground/emp_day_imperial:task05_journal_entry_description	1			0	6		disksToHistorian	1							1		1	1	rori	-5186	81	-2443	@quest/ground/emp_day_imperial:task05_waypoint_name	disk_to_historian	0			0		0	0	0																							
quest.task.ground.wait_for_signal	@quest/ground/emp_day_imperial:task06_journal_entry_title	@quest/ground/emp_day_imperial:task06_journal_entry_description	1			0	7		toDataOfficer	0							1		1	0	tatooine	0.0	0.0	0.0		to_data_officer	0			0		0	0	0																							
quest.task.ground.wait_for_signal	@quest/ground/emp_day_imperial:task07_journal_entry_title	@quest/ground/emp_day_imperial:task07_journal_entry_description	1			0	8		toCommander	0							1		1	0	tatooine	0.0	0.0	0.0		to_commander	0			0		0	0	0																							
quest.task.ground.reward	@quest/ground/emp_day_imperial:task08_journal_entry_title	@quest/ground/emp_day_imperial:task08_journal_entry_description	0			0	9		get200Faction	0							1		1	0	tatooine	0.0	0.0	0.0																			0	Imperial	200	2500		1		1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.wait_for_signal	@quest/ground/emp_day_imperial:task09_journal_entry_title	@quest/ground/emp_day_imperial:task09_journal_entry_description	0			0	10		toVader	0							1		1	0	tatooine	0.0	0.0	0.0		to_vader	0			0		0	0	0																							
quest.task.ground.wait_for_signal	@quest/ground/emp_day_imperial:task10_journal_entry_title	@quest/ground/emp_day_imperial:task10_journal_entry_description	1			0			empDayComplete	1							1		1	0	tatooine	0.0	0.0	0.0		emp_day_complete	0			0		0	0	0																							
