ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	RADIUS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	i	i	i	s	s	b	s	s	s	s	f	f	f	s	i	i	i	s	s	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
quest.task.ground.destroy_multi_and_loot	@quest/ground/event_cantina_bossk_2:task00_journal_entry_title	@quest/ground/event_cantina_bossk_2:task00_journal_entry_description	1			0	1		killTuskens	1							1		1	0	tatooine	0.0	0.0	0.0			tusken_raider		Clue	1	4	0																															
quest.task.ground.go_to_location	@quest/ground/event_cantina_bossk_2:task01_journal_entry_title	@quest/ground/event_cantina_bossk_2:task01_journal_entry_description	1			0	2		goJawaLocation	1							1		1	1	tatooine	-2888	5	2591	@quest/ground/event_cantina_bossk_2:task01_waypoint_name								10.0																														
quest.task.ground.wait_for_signal	@quest/ground/event_cantina_bossk_2:task02_journal_entry_title	@quest/ground/event_cantina_bossk_2:task02_journal_entry_description	1			0	3		talkToJawa	1							1		1	0	tatooine	0.0	0.0	0.0										talkToJawa	0			0		0	0	0																					
quest.task.ground.go_to_location	@quest/ground/event_cantina_bossk_2:task03_journal_entry_title	@quest/ground/event_cantina_bossk_2:task03_journal_entry_description	1			0	4		tuskenLocation	0							1		1	1	tatooine	-3900	40	-4544	@quest/ground/event_cantina_bossk_2:task03_waypoint_name								10.0																														
quest.task.ground.encounter	@quest/ground/event_cantina_bossk_2:task04_journal_entry_title	@quest/ground/event_cantina_bossk_2:task04_journal_entry_description	1			0	7	5	tuskenEncounter	1							1		1	0	tatooine	0.0	0.0	0.0																			tusken_berserker	1	5	50	10	10															
quest.task.ground.wait_for_signal	@quest/ground/event_cantina_bossk_2:task05_journal_entry_title	@quest/ground/event_cantina_bossk_2:task05_journal_entry_description	1			0	6		q2Failed	0							1		1	0	tatooine	0.0	0.0	0.0										q2Failed	0			0		0	0	0																					
quest.task.ground.complete_quest			1			0				0							1		1	0	tatooine	0.0	0.0	0.0																																							
quest.task.ground.reward			0			0	8		tuskenReward	0							1		1	0	tatooine	0.0	0.0	0.0																				1						0	jabba	500	20000		object/weapon/ranged/rifle/event_rifle_tusken_berserker.iff	1	0.65	0.88	0.6	0.1		1	0.1
quest.task.ground.complete_quest			1			0			happyEnding	0							1		1	0	tatooine	0.0	0.0	0.0																																							
