ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f
quest.task.ground.comm_player			0			0	1,7,8		factionalComm	0				0	none	none				1		1			1	dathomir	-7286	536	-7451			@quest/ground/outbreak_quest_facility_02_neutral:task00_waypoint_name	0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_02_neutral:task00_comm_message_text	object/mobile/dressed_guri.iff																												
quest.task.ground.wait_for_tasks	@quest/ground/outbreak_quest_facility_02_neutral:task01_journal_entry_title	@quest/ground/outbreak_quest_facility_02_neutral:task01_journal_entry_description	1			0	2		waitForTasks	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				quest/outbreak_quest_facility_02_neutral	body1HasBeenSearched	@quest/ground/outbreak_quest_facility_02_neutral:task01_task_display_string_1	quest/outbreak_quest_facility_02_neutral	body2HasBeenSearched	@quest/ground/outbreak_quest_facility_02_neutral:task01_task_display_string_2													0									
quest.task.ground.comm_player			0			0	3		commFromSurvivor	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_02_neutral:task02_comm_message_text	object/mobile/dressed_twi_female_scientist_01.iff																												
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_02_neutral:task03_journal_entry_title	@quest/ground/outbreak_quest_facility_02_neutral:task03_journal_entry_description	1			0	4		useConsole	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						0	hasUsedCommandConsole	0			0		0	0	0
quest.task.ground.comm_player			0			0	5		comm2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_02_neutral:task04_comm_message_text	object/mobile/dressed_twi_female_scientist_01.iff																												
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_02_neutral:task05_journal_entry_title	@quest/ground/outbreak_quest_facility_02_neutral:task05_journal_entry_description	1			0	6		shutDownTask	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						0	hasDoneShutDown	0			0		0	0	0
quest.task.ground.complete_quest			0			0			completeMe	0				0	none	none			quest/outbreak_quest_facility_03	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																															
quest.task.ground.wait_for_signal			0			0			body2HasBeenSearched	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						0	scientist_body_searched_2	0			0		0	0	0
quest.task.ground.wait_for_signal			0			0			body1HasBeenSearched	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																						0	scientist_body_searched_1	0			0		0	0	0
