ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	COUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	b	s	s	s	s	f	f	f	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	i	i	i	i	i
quest.task.ground.go_to_location	@quest/ground/corellia_cb_2:task00_journal_entry_title	@quest/ground/corellia_cb_2:task00_journal_entry_description	1			0	1		investigate	0				0	none	none				1		1			1	corellia	-6153	36	-2834			@quest/ground/corellia_cb_2:task00_waypoint_name	0	0.0	0.0	0.0		40	0																																							
quest.task.ground.comm_player			0			0	2,3,4		cb_2_courier	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/corellia_cb_2:task01_comm_message_text	object/mobile/cb_cora.iff																																					
quest.task.ground.go_to_location			0			0			cb_track	0				0	none	none				1		1	cb_2_bunker_found		0	corellia	-6379	2	-2946			@quest/ground/corellia_cb_2:task02_waypoint_name	0	0.0	0.0	0.0		25	0																																							
quest.task.ground.wait_for_signal			0			0			find_bunker	0				0	none	none				1		1			0		0	0	0			@quest/ground/corellia_cb_2:task03_waypoint_name	0	0.0	0.0	0.0			0			cb_2_bunker_found	0			0		0	0	0																												
quest.task.ground.wait_for_tasks	@quest/ground/corellia_cb_2:task04_journal_entry_title	@quest/ground/corellia_cb_2:task04_journal_entry_description	1			0	5		cb_2_courier_leg	0				0	none	none				1		1			1	corellia	-6163	36	-2827			@quest/ground/corellia_cb_2:task04_waypoint_name	0	0.0	0.0	0.0			0												quest/corellia_cb_2	find_bunker	@quest/ground/corellia_cb_2:task04_task_display_string_1	quest/corellia_cb_2	cb_track	@quest/ground/corellia_cb_2:task04_task_display_string_2																						
quest.task.ground.destroy_multi_and_loot	@quest/ground/corellia_cb_2:task05_journal_entry_title	@quest/ground/corellia_cb_2:task05_journal_entry_description	1			0	6		cb_2_kill_courier	0				0	none	none				1		1			1	corellia	-6379	2	-2946			@quest/ground/corellia_cb_2:task05_waypoint_name	0	0.0	0.0	0.0			0																														deflarian_courier			Courier Log Book	1	100	0	0	0	
quest.task.ground.comm_player			0			0	7		cb_courier_log	0				0	none	none				1		1			0	corellia	-6309	15	-3185			@quest/ground/corellia_cb_2:task06_waypoint_name	0	0.0	0.0	0.0				@quest/ground/corellia_cb_2:task06_comm_message_text	object/mobile/cb_cora.iff																																					
quest.task.ground.wait_for_signal	@quest/ground/corellia_cb_2:task07_journal_entry_title	@quest/ground/corellia_cb_2:task07_journal_entry_description	1			0	8		cb_2_donovan	0				0	none	none				1		1			1	corellia	-6379	2	-2946			@quest/ground/corellia_cb_2:task07_waypoint_name	0	0.0	0.0	0.0			0			cb_2_talkto_donovan	0			0		0	0	0																												
quest.task.ground.comm_player			0			0	9,12,13,14		cb_2_cora_final_tasks	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/corellia_cb_2:task08_comm_message_text	object/mobile/cb_cora.iff																																					
