ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	i	s	s	s	i	i	s	s	s	i	s	i	s
quest.task.ground.go_to_location	@quest/ground/corellia_disappearances_4_cave:task00_journal_entry_title	@quest/ground/corellia_disappearances_4_cave:task00_journal_entry_description	1			0	1			1							1		1			1	corellia	3641	420	6637			@quest/ground/corellia_disappearances_4_cave:task00_waypoint_name	25	0												
quest.task.ground.destroy_multi	@quest/ground/corellia_disappearances_4_cave:task01_journal_entry_title	@quest/ground/corellia_disappearances_4_cave:task01_journal_entry_description	1			0	2		killhunters	0							1		1			1	corellia	3641	420	6637			@quest/ground/corellia_disappearances_4_cave:task01_waypoint_name		0		disappearances		5	0							
quest.task.ground.comm_player	@quest/ground/corellia_disappearances_4_cave:task02_journal_entry_title	@quest/ground/corellia_disappearances_4_cave:task02_journal_entry_description	1			0	3			0							1		1			0	tatooine	0.0	0.0	0.0											@quest/ground/corellia_disappearances_4_cave:task02_comm_message_text	object/mobile/dressed_disappearances_questgiver.iff					
quest.task.ground.retrieve_item	@quest/ground/corellia_disappearances_4_cave:task03_journal_entry_title	@quest/ground/corellia_disappearances_4_cave:task03_journal_entry_description	1			0	4			0							1		1			1	corellia	3965	474	6404			@quest/ground/corellia_disappearances_4_cave:task03_waypoint_name		0								object/tangible/quest/corellia_disappearances_4_first_antenna.iff	1	@quest/ground/corellia_disappearances_4_cave:task03_item_name	100	@quest/ground/corellia_disappearances_4_cave:task03_retrieve_menu_text
quest.task.ground.comm_player	@quest/ground/corellia_disappearances_4_cave:task04_journal_entry_title	@quest/ground/corellia_disappearances_4_cave:task04_journal_entry_description	1			0	5			0							1		1			0	tatooine	0.0	0.0	0.0											@quest/ground/corellia_disappearances_4_cave:task04_comm_message_text	object/mobile/dressed_disappearances_questgiver.iff					
quest.task.ground.retrieve_item	@quest/ground/corellia_disappearances_4_cave:task05_journal_entry_title	@quest/ground/corellia_disappearances_4_cave:task05_journal_entry_description	1			0	6			0							1		1			1	corellia	3947	459	6622			@quest/ground/corellia_disappearances_4_cave:task05_waypoint_name		0								object/tangible/quest/corellia_disappearances_4_second_antenna.iff	1	@quest/ground/corellia_disappearances_4_cave:task05_item_name	100	@quest/ground/corellia_disappearances_4_cave:task05_retrieve_menu_text
quest.task.ground.comm_player	@quest/ground/corellia_disappearances_4_cave:task06_journal_entry_title	@quest/ground/corellia_disappearances_4_cave:task06_journal_entry_description	1			0	7			0							1		1			0	tatooine	0.0	0.0	0.0											@quest/ground/corellia_disappearances_4_cave:task06_comm_message_text	object/mobile/dressed_disappearances_questgiver.iff					
quest.task.ground.retrieve_item	@quest/ground/corellia_disappearances_4_cave:task07_journal_entry_title	@quest/ground/corellia_disappearances_4_cave:task07_journal_entry_description	1			0	8			0							1		1			1	corellia	4123	437	6650			@quest/ground/corellia_disappearances_4_cave:task07_waypoint_name		0								object/tangible/quest/corellia_disappearances_4_third_antenna.iff	1	@quest/ground/corellia_disappearances_4_cave:task07_item_name	100	@quest/ground/corellia_disappearances_4_cave:task07_retrieve_menu_text
quest.task.ground.comm_player	@quest/ground/corellia_disappearances_4_cave:task08_journal_entry_title	@quest/ground/corellia_disappearances_4_cave:task08_journal_entry_description	1			0	9			0							1		1			0	tatooine	0.0	0.0	0.0											@quest/ground/corellia_disappearances_4_cave:task08_comm_message_text	object/mobile/dressed_disappearances_questgiver.iff					
