ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	s	s	s	i	i	i	i	i	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i
quest.task.ground.go_to_location	@quest/ground/corellia_cb_1:task00_journal_entry_title	@quest/ground/corellia_cb_1:task00_journal_entry_description	1			0	1		investigate	0				0	none	none				1		1			1	corellia	-4284	5	-2566			@quest/ground/corellia_cb_1:task00_waypoint_name	0	0.0	0.0	0.0		40	0																																													
quest.task.ground.comm_player			0			0	2		cb_1_sinis_comm_1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/corellia_cb_1:task01_comm_message_text	object/mobile/cb_sinis_questgiver.iff																																											
quest.task.ground.destroy_multi_and_loot	@quest/ground/corellia_cb_1:task02_journal_entry_title	@quest/ground/corellia_cb_1:task02_journal_entry_description	1			0	3		scavengers	1				0	none	none				1		1			1	corellia	-4313	5	-2533			@quest/ground/corellia_cb_1:task02_waypoint_name	0	0.0	0.0	0.0			0			deflarian_scavenger			Damaged Flight Recorder	1	20	0	0	0																																		
quest.task.ground.comm_player			0			0	4		cb_1_sinis_comm_2	0				0	none	none				1		1			0		0	0	0				0	0.0	0.0	0.0				@quest/ground/corellia_cb_1:task03_comm_message_text	object/mobile/cb_sinis_questgiver.iff																																											
quest.task.ground.wait_for_signal	@quest/ground/corellia_cb_1:task04_journal_entry_title	@quest/ground/corellia_cb_1:task04_journal_entry_description	1			0	5		cb_yorick	0				0	none	none				1		1			1	corellia	-5197	21	-2273			@quest/ground/corellia_cb_1:task04_waypoint_name	0	0.0	0.0	0.0			0												cb_yorick_pointer	0			0		0	0	0																									
quest.task.ground.comm_player			0			0	6		cb_1_sinis_comm_3	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/corellia_cb_1:task05_comm_message_text	object/mobile/cb_sinis_questgiver.iff																																											
quest.task.ground.destroy_multi_and_loot	@quest/ground/corellia_cb_1:task06_journal_entry_title	@quest/ground/corellia_cb_1:task06_journal_entry_description	1			0	7		cb_1_kill_guards	0				0	none	none				1		1			1	corellia	-5956	39	-2375			@quest/ground/corellia_cb_1:task06_waypoint_name	0	0.0	0.0	0.0			0			deflarian_guard			Deflarian access card	6	50	0	0	0																																		
quest.task.ground.retrieve_item	@quest/ground/corellia_cb_1:task07_journal_entry_title	@quest/ground/corellia_cb_1:task07_journal_entry_description	1			0	8		cb_1_comm_terminal	0				0	none	none				1		1			1	corellia	-5960	39	-2384			@quest/ground/corellia_cb_1:task07_waypoint_name	0	0.0	0.0	0.0			0									0	0											object/tangible/quest/cb_1_deflarian_communication_terminal.iff	1	@quest/ground/corellia_cb_1:task07_item_name	100	0	@quest/ground/corellia_cb_1:task07_retrieve_menu_text																			
quest.task.ground.comm_player			0			0	9		cb_1_sinis_comm_4	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/corellia_cb_1:task08_comm_message_text	object/mobile/cb_sinis_questgiver.iff																																											
