ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i
quest.task.ground.nothing			0			0	1,2,5,6,7,8,9,10		ac_repeater_loruna_enf_30_null	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30:task01_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30:task01_journal_entry_description	1			0			ac_repeater_loruna_enf_30_WFS_complete	0				0	complete	none				1		1			0	naboo	-5150	6	4285			@quest/ground/ac_repeater_loruna_enf_30:task01_waypoint_name	0	0.0	0.0	0.0		ac_repeater_loruna_enf_30_signal_quest_complete	0			0		0	0	0	0
quest.task.ground.wait_for_signal			0			0	3		ac_repeater_loruna_enf_30_WFS_clear	0				0	clear	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		ac_repeater_loruna_enf_30_signal_quest_aborted	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30:task03_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30:task03_journal_entry_description	1			0	4		ac_repeater_loruna_enf_30_WFS_rayxeen_01	0				3	clear	none				1		1			1	naboo	5970	155	-1074			@quest/ground/ac_repeater_loruna_enf_30:task03_waypoint_name	0	0.0	0.0	0.0		ac_repeater_loruna_enf_30_signal_clear_quest	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30:task04_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30:task04_journal_entry_description	1			0			ac_repeater_loruna_enf_30_WFS_rayxeen_02	0				2	clear	none				1		1			1	naboo	5970	155	-1074			@quest/ground/ac_repeater_loruna_enf_30:task04_waypoint_name	0	0.0	0.0	0.0		ac_repeater_loruna_enf_30_signal_clear_quest	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30:task05_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30:task05_journal_entry_description	1			0			ac_repeater_loruna_enf_30_WFS_camdoen_02	0				2	clear	none				1		1			1	naboo	1775	12	2623			@quest/ground/ac_repeater_loruna_enf_30:task05_waypoint_name	0	0.0	0.0	0.0		ac_repeater_loruna_enf_30_signal_clear_quest	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30:task06_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30:task06_journal_entry_description	1			0			ac_repeater_loruna_enf_30_WFS_camdoen_01	0				1	clear	none				1		1			1	naboo	1775	12	2623			@quest/ground/ac_repeater_loruna_enf_30:task06_waypoint_name	0	0	0	0		ac_repeater_loruna_enf_30_signal_clear_quest	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30:task07_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30:task07_journal_entry_description	1			0			ac_repeater_loruna_enf_30_WFS_hoolar_02	0				2	clear	none				1		1			1	corellia	-4795	4	-1951			@quest/ground/ac_repeater_loruna_enf_30:task07_waypoint_name	0	0.0	0.0	0.0		ac_repeater_loruna_enf_30_signal_clear_quest	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30:task08_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30:task08_journal_entry_description	1			0			ac_repeater_loruna_enf_30_WFS_hoolar_01	0				3	clear	none				1		1			1	corellia	-4795	4	-1951			@quest/ground/ac_repeater_loruna_enf_30:task08_waypoint_name	0	0.0	0.0	0.0		ac_repeater_loruna_enf_30_signal_clear_quest	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30:task09_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30:task09_journal_entry_description	1			0			ac_repeater_loruna_enf_30_WFS_haadj_02	0				2	clear	none				1		1			1	corellia	-3116	31	2792			@quest/ground/ac_repeater_loruna_enf_30:task09_waypoint_name	0	0.0	0.0	0.0		ac_repeater_loruna_enf_30_signal_clear_quest	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30:task10_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30:task10_journal_entry_description	1			0			ac_repeater_loruna_enf_30_WFS_haadj_01	0				3	clear	none				1		1			1	corellia	-3116	31	2792			@quest/ground/ac_repeater_loruna_enf_30:task10_waypoint_name	0	0.0	0.0	0.0		ac_repeater_loruna_enf_30_signal_clear_quest	0			0		0	0	0	0
