ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	i	s	i	s	i	s	i	i	i	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s	s	s	s	i	i	i	i
quest.task.ground.retrieve_item	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task00_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task00_journal_entry_description	1			0	1		government_work_6	1							1		1			1	corellia	-208	0.0	-4115			@quest/ground/corellia_coronet_capitol_problems_government_work_b:task00_waypoint_name	object/tangible/quest/corellia_coronet_government_work_courier.iff	1	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task00_item_name	100	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task00_retrieve_menu_text	0																																								
quest.task.ground.encounter	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task01_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task01_journal_entry_description	1			0	6	2	government_work_7	1							1		1			0	tatooine	0.0	0.0	0.0									0	corellia_vicious_thug	2	3	6	0.0	0.0																																		
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task02_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task02_journal_entry_description	1			0	3		government_work_9b	1							1		1			0	tatooine	0.0	0.0	0.0									0							government_work_9b	0			0		0	0	0																									
quest.task.ground.reward			0			0	4			0							1		1			0	tatooine	0.0	0.0	0.0											1															0	Rebel	0	6900		1			1	0.1	0.1	0.1	0.1		1	0.1								
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task04_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task04_journal_entry_description	1			0	5		government_work_10b	1							1		1			0	tatooine	0.0	0.0	0.0									0							government_work_10b	0			0		0	0	0																									
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0																																																	
quest.task.ground.show_message_box			0			0	7		government_work_8	0							1		1			0	tatooine	0.0	0.0	0.0																																											@quest/ground/corellia_coronet_capitol_problems_government_work_b:task06_message_box_title	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task06_message_box_text		-1	-1	-1	-1
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task07_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task07_journal_entry_description	1			0	8		government_work_9	1							1		1			0	tatooine	0.0	0.0	0.0									0							government_work_9	0			0		0	0	0																									
quest.task.ground.reward			0			0	9			0							1		1			0	tatooine	0.0	0.0	0.0											1															0	Rebel	0	9400		1			1	0.1	0.1	0.1	0.1		1	0.1								
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task09_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_government_work_b:task09_journal_entry_description	1			0	10		government_work_10	1							1		1			0	tatooine	0.0	0.0	0.0									0							government_work_10	0			0		0	0	0																									
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0																																																	
