ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	i	i	i	i	i
quest.task.ground.nothing			0			0	1,3,4,7,9,11			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				
quest.task.ground.wait_for_signal	@quest/ground/heroic_echo_rebel_phase_2:task01_journal_entry_title		0			0	2		end_quest	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		reb_generator_end	0			0		0	0	0	0									
quest.task.ground.clear_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_phase_2:task03_journal_entry_title	@quest/ground/heroic_echo_rebel_phase_2:task03_journal_entry_description	1			0			reb_phase2_nonessential_personnel_task	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	aakuan_warder			A Non-Essential Crew Member has been loaded onto a transport	8	100	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/heroic_echo_rebel_phase_2:task04_journal_entry_title	@quest/ground/heroic_echo_rebel_phase_2:task04_journal_entry_description	1			0	5,6		p2_rebel_secure_command_center	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		p2_rebel_secure_command_center	0			0		0	0	0	0									
quest.task.ground.wait_for_signal	@quest/ground/heroic_echo_rebel_phase_2:task05_journal_entry_title	@quest/ground/heroic_echo_rebel_phase_2:task05_journal_entry_description	1			0			reb_phase2_command_center_task	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		reb_phase2_command	0			0		0	0	0	0									
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_phase_2:task06_journal_entry_title	@quest/ground/heroic_echo_rebel_phase_2:task06_journal_entry_description	1			0			reb_phase2_command_personnel_task	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	aakuan_sentinal			A Command Officer has been loaded onto a transport	7	100	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/heroic_echo_rebel_phase_2:task07_journal_entry_title	@quest/ground/heroic_echo_rebel_phase_2:task07_journal_entry_description	1			0	8		p2_rebel_secure_med_bay	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		p2_rebel_secure_med_bay	0			0		0	0	0	0									
quest.task.ground.destroy_multi_and_loot	@quest/ground/heroic_echo_rebel_phase_2:task08_journal_entry_title	@quest/ground/heroic_echo_rebel_phase_2:task08_journal_entry_description	1			0			reb_phase2_medical_personnel_task	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	aakuan_spice_guard			A Medical Staff Worker has been loaded onto a transport	7	100	0	0	0
